,instance,method,budget,fitness,makespan,lateness,costs,l1,l2,seed
0,20_1_factory_1,iterated_greedy,200.0,876.5,1046,707,876.5,0.5,0.5,4
1,20_1_factory_1,iterated_greedy,200.0,912.0,1018,806,912.0,0.5,0.5,4
2,20_2_factory_1,iterated_greedy,200.0,546.5,893,200,546.5,0.5,0.5,4
3,20_2_factory_1,iterated_greedy,200.0,466.5,813,120,466.5,0.5,0.5,4
4,20_3_factory_1,iterated_greedy,200.0,1491.0,1271,1711,1491.0,0.5,0.5,4
5,20_3_factory_1,iterated_greedy,200.0,1402.5,1296,1509,1402.5,0.5,0.5,4
6,20_4_factory_1,iterated_greedy,200.0,734.5,978,491,734.5,0.5,0.5,4
7,20_4_factory_1,iterated_greedy,200.0,723.5,990,457,723.5,0.5,0.5,4
