,task,earliest_start,start,end,product_index,activity_id,product_id
0,0,165,165,315,0,0,14
1,1,207,207,231,0,1,14
2,2,207,207,265,0,2,14
3,3,296,296,333,0,3,14
4,4,286,286,357,0,4,14
5,5,296,296,370,0,5,14
6,6,286,286,370,0,6,14
7,7,265,265,374,0,7,14
8,8,207,207,374,0,8,14
9,9,274,274,399,0,9,14
10,10,265,265,390,0,10,14
11,11,275,275,401,0,11,14
12,12,275,275,401,0,12,14
13,13,296,296,445,0,13,14
14,14,357,357,494,0,14,14
15,15,976,976,1093,1,0,1
16,16,1021,1021,1077,1,1,1
17,17,1021,1021,1082,1,2,1
18,18,1057,1057,1109,1,3,1
19,19,1021,1021,1109,1,4,1
20,20,1057,1057,1121,1,5,1
21,21,1093,1093,1126,1,6,1
22,22,1092,1092,1126,1,7,1
23,23,1093,1093,1132,1,8,1
24,24,1075,1075,1132,1,9,1
25,25,1089,1089,1151,1,10,1
26,26,1058,1058,1151,1,11,1
27,27,1090,1090,1244,1,12,1
28,28,1354,1354,1513,2,0,25
29,29,1444,1444,1468,2,1,25
30,30,1468,1468,1512,2,2,25
31,31,1468,1468,1512,2,3,25
32,32,1468,1468,1514,2,4,25
33,33,1444,1444,1514,2,5,25
34,34,1498,1498,1537,2,6,25
35,35,1498,1498,1537,2,7,25
36,36,1489,1489,1626,2,8,25
37,37,740,740,859,3,0,9
38,38,874,874,900,3,1,9
39,39,874,874,900,3,2,9
40,40,840,840,900,3,3,9
41,41,840,840,900,3,4,9
42,42,874,874,928,3,5,9
43,43,874,874,928,3,6,9
44,44,874,874,928,3,7,9
45,45,874,874,928,3,8,9
46,46,928,928,1017,3,9,9
47,47,0,0,102,4,0,2
48,48,117,117,148,4,1,2
49,49,119,119,148,4,2,2
50,50,117,117,158,4,3,2
51,51,71,71,158,4,4,2
52,52,132,132,160,4,5,2
53,53,132,132,160,4,6,2
54,54,145,145,171,4,7,2
55,55,145,145,171,4,8,2
56,56,148,148,264,4,9,2
57,57,465,465,590,5,0,10
58,58,519,519,577,5,1,10
59,59,519,519,580,5,2,10
60,60,593,593,611,5,3,10
61,61,572,572,611,5,4,10
62,62,557,557,612,5,5,10
63,63,558,558,612,5,6,10
64,64,593,593,621,5,7,10
65,65,593,593,626,5,8,10
66,66,572,572,626,5,9,10
67,67,593,593,635,5,10,10
68,68,557,557,638,5,11,10
69,69,519,519,638,5,12,10
70,70,606,606,646,5,13,10
71,71,594,594,643,5,14,10
72,72,588,588,736,5,15,10
73,73,0,0,158,6,0,28
74,74,72,72,132,6,1,28
75,75,150,150,171,6,2,28
76,76,72,72,171,6,3,28
77,77,160,160,192,6,4,28
78,78,171,171,193,6,5,28
79,79,160,160,198,6,6,28
80,80,168,168,203,6,7,28
81,81,135,135,203,6,8,28
82,82,185,185,224,6,9,28
83,83,182,182,215,6,10,28
84,84,182,182,304,6,11,28
85,85,93,93,262,7,0,32
86,86,155,155,180,7,1,32
87,87,155,155,250,7,2,32
88,88,250,250,265,7,3,32
89,89,155,155,265,7,4,32
90,90,256,256,267,7,5,32
91,91,240,240,267,7,6,32
92,92,250,250,275,7,7,32
93,93,250,250,275,7,8,32
94,94,256,256,278,7,9,32
95,95,263,263,281,7,10,32
96,96,256,256,281,7,11,32
97,97,275,275,370,7,12,32
98,98,522,522,650,8,0,43
99,99,574,574,591,8,1,43
100,100,574,574,635,8,2,43
101,101,611,611,650,8,3,43
102,102,577,577,650,8,4,43
103,103,645,645,650,8,5,43
104,104,621,621,655,8,6,43
105,105,643,643,667,8,7,43
106,106,574,574,667,8,8,43
107,107,621,621,668,8,9,43
108,108,608,608,668,8,10,43
109,109,612,612,682,8,11,43
110,110,645,645,678,8,12,43
111,111,629,629,767,8,13,43
112,112,360,360,522,9,0,27
113,113,499,499,549,9,1,27
114,114,520,520,578,9,2,27
115,115,520,520,578,9,3,27
116,116,524,524,593,9,4,27
117,117,499,499,583,9,5,27
118,118,549,549,606,9,6,27
119,119,549,549,606,9,7,27
120,120,572,572,699,9,8,27
121,121,262,262,387,10,0,34
122,122,294,294,326,10,1,34
123,123,294,294,357,10,2,34
124,124,379,379,405,10,3,34
125,125,294,294,405,10,4,34
126,126,394,394,413,10,5,34
127,127,370,370,413,10,6,34
128,128,379,379,417,10,7,34
129,129,381,381,417,10,8,34
130,130,399,399,425,10,9,34
131,131,417,417,435,10,10,34
132,132,395,395,428,10,11,34
133,133,394,394,432,10,12,34
134,134,396,396,432,10,13,34
135,135,417,417,521,10,14,34
136,136,315,315,465,11,0,14
137,137,357,357,381,11,1,14
138,138,357,357,415,11,2,14
139,139,446,446,483,11,3,14
140,140,436,436,507,11,4,14
141,141,446,446,520,11,5,14
142,142,436,436,520,11,6,14
143,143,415,415,524,11,7,14
144,144,357,357,524,11,8,14
145,145,415,415,540,11,9,14
146,146,415,415,540,11,10,14
147,147,425,425,551,11,11,14
148,148,425,425,551,11,12,14
149,149,446,446,595,11,13,14
150,150,507,507,644,11,14,14
151,151,0,0,165,12,0,40
152,152,150,150,248,12,1,40
153,153,135,135,248,12,2,40
154,154,150,150,274,12,3,40
155,155,150,150,274,12,4,40
156,156,274,274,363,12,5,40
157,157,387,387,480,13,0,33
158,158,501,501,538,13,1,33
159,159,455,455,538,13,2,33
160,160,507,507,578,13,3,33
161,161,503,503,572,13,4,33
162,162,572,572,661,13,5,33
163,163,650,650,808,14,0,28
164,164,722,722,782,14,1,28
165,165,800,800,821,14,2,28
166,166,722,722,821,14,3,28
167,167,800,800,832,14,4,28
168,168,818,818,840,14,5,28
169,169,802,802,840,14,6,28
170,170,818,818,853,14,7,28
171,171,785,785,853,14,8,28
172,172,826,826,865,14,9,28
173,173,832,832,865,14,10,28
174,174,832,832,954,14,11,28
175,175,590,590,740,15,0,14
176,176,632,632,656,15,1,14
177,177,632,632,690,15,2,14
178,178,721,721,758,15,3,14
179,179,711,711,782,15,4,14
180,180,721,721,795,15,5,14
181,181,711,711,795,15,6,14
182,182,690,690,799,15,7,14
183,183,632,632,799,15,8,14
184,184,690,690,815,15,9,14
185,185,690,690,815,15,10,14
186,186,700,700,826,15,11,14
187,187,700,700,826,15,12,14
188,188,721,721,870,15,13,14
189,189,782,782,919,15,14,14
190,190,0,0,93,16,0,33
191,191,114,114,151,16,1,33
192,192,68,68,151,16,2,33
193,193,114,114,185,16,3,33
194,194,116,116,185,16,4,33
195,195,185,185,274,16,5,33
196,196,1093,1093,1195,17,0,41
197,197,1210,1210,1239,17,1,41
198,198,1212,1212,1239,17,2,41
199,199,1210,1210,1243,17,3,41
200,200,1164,1164,1243,17,4,41
201,201,1224,1224,1249,17,5,41
202,202,1224,1224,1249,17,6,41
203,203,1224,1224,1251,17,7,41
204,204,1210,1210,1251,17,8,41
205,205,1164,1164,1251,17,9,41
206,206,1224,1224,1251,17,10,41
207,207,1210,1210,1266,17,11,41
208,208,1212,1212,1266,17,12,41
209,209,1224,1224,1359,17,13,41
210,210,859,859,976,18,0,1
211,211,904,904,960,18,1,1
212,212,904,904,965,18,2,1
213,213,940,940,992,18,3,1
214,214,904,904,992,18,4,1
215,215,940,940,1004,18,5,1
