,task,earliest_start,start,end,product_index,activity_id,product_id
0,0,653,653,755,0,0,36
1,1,781,781,839,0,1,36
2,2,784,784,839,0,2,36
3,3,781,781,845,0,3,36
4,4,724,724,845,0,4,36
5,5,814,814,869,0,5,36
6,6,814,814,869,0,6,36
7,7,839,839,958,0,7,36
8,8,1369,1369,1494,1,0,34
9,9,1401,1401,1433,1,1,34
10,10,1401,1401,1464,1,2,34
11,11,1486,1486,1512,1,3,34
12,12,1401,1401,1512,1,4,34
13,13,1501,1501,1520,1,5,34
14,14,1477,1477,1520,1,6,34
15,15,1486,1486,1524,1,7,34
16,16,1488,1488,1524,1,8,34
17,17,1502,1502,1528,1,9,34
18,18,1524,1524,1542,1,10,34
19,19,1502,1502,1535,1,11,34
20,20,1505,1505,1543,1,12,34
21,21,1503,1503,1539,1,13,34
22,22,1524,1524,1628,1,14,34
23,23,315,315,496,2,0,7
24,24,373,373,437,2,1,7
25,25,373,373,485,2,2,7
26,26,491,491,509,2,3,7
27,27,373,373,509,2,4,7
28,28,495,495,513,2,5,7
29,29,472,472,513,2,6,7
30,30,491,491,525,2,7,7
31,31,492,492,525,2,8,7
32,32,495,495,529,2,9,7
33,33,496,496,529,2,10,7
34,34,525,525,622,2,11,7
35,35,148,148,306,3,0,29
36,36,309,309,337,3,1,29
37,37,309,309,337,3,2,29
38,38,299,299,329,3,3,29
39,39,284,284,329,3,4,29
40,40,322,322,350,3,5,29
41,41,322,322,350,3,6,29
42,42,327,327,435,3,7,29
43,43,0,0,96,4,0,17
44,44,90,90,102,4,1,17
45,45,81,81,102,4,2,17
46,46,90,90,119,4,3,17
47,47,90,90,119,4,4,17
48,48,119,119,208,4,5,17
49,49,91,91,203,5,0,6
50,50,204,204,227,5,1,6
51,51,185,185,227,5,2,6
52,52,204,204,230,5,3,6
53,53,205,205,230,5,4,6
54,54,216,216,240,5,5,6
55,55,216,216,240,5,6,6
56,56,230,230,333,5,7,6
57,57,551,551,653,6,0,2
58,58,678,678,709,6,1,2
59,59,670,670,699,6,2,2
60,60,668,668,709,6,3,2
61,61,632,632,719,6,4,2
62,62,683,683,711,6,5,2
63,63,683,683,711,6,6,2
64,64,696,696,722,6,7,2
65,65,696,696,722,6,8,2
66,66,699,699,815,6,9,2
67,67,608,608,720,7,0,18
68,68,705,705,720,7,1,18
69,69,695,695,720,7,2,18
70,70,705,705,724,7,3,18
71,71,705,705,724,7,4,18
72,72,710,710,728,7,5,18
73,73,710,710,728,7,6,18
74,74,715,715,732,7,7,18
75,75,715,715,732,7,8,18
76,76,724,724,821,7,9,18
77,77,306,306,412,8,0,0
78,78,423,423,451,8,1,0
79,79,392,392,451,8,2,0
80,80,423,423,460,8,3,0
81,81,423,423,460,8,4,0
82,82,423,423,460,8,5,0
83,83,392,392,460,8,6,0
84,84,424,424,460,8,7,0
85,85,424,424,460,8,8,0
86,86,435,435,469,8,9,0
87,87,435,435,469,8,10,0
88,88,435,435,471,8,11,0
89,89,435,435,471,8,12,0
90,90,435,435,560,8,13,0
91,91,61,61,232,9,0,39
92,92,233,233,269,9,1,39
93,93,208,208,269,9,2,39
94,94,233,233,277,9,3,39
95,95,233,233,277,9,4,39
96,96,251,251,295,9,5,39
97,97,251,251,295,9,6,39
98,98,277,277,384,9,7,39
99,99,1287,1287,1393,10,0,42
100,100,1404,1404,1432,10,1,42
101,101,1373,1373,1432,10,2,42
102,102,1404,1404,1441,10,3,42
103,103,1404,1404,1441,10,4,42
104,104,1404,1404,1441,10,5,42
105,105,1373,1373,1441,10,6,42
106,106,1405,1405,1441,10,7,42
107,107,1405,1405,1441,10,8,42
108,108,1416,1416,1450,10,9,42
109,109,1416,1416,1450,10,10,42
110,110,1416,1416,1452,10,11,42
111,111,1416,1416,1452,10,12,42
112,112,1416,1416,1541,10,13,42
113,113,1467,1467,1573,11,0,0
114,114,1584,1584,1612,11,1,0
115,115,1553,1553,1612,11,2,0
116,116,1584,1584,1621,11,3,0
117,117,1584,1584,1621,11,4,0
118,118,1584,1584,1621,11,5,0
119,119,1553,1553,1621,11,6,0
120,120,1585,1585,1621,11,7,0
121,121,1585,1585,1621,11,8,0
122,122,1596,1596,1630,11,9,0
123,123,1596,1596,1630,11,10,0
124,124,1596,1596,1632,11,11,0
125,125,1596,1596,1632,11,12,0
126,126,1596,1596,1721,11,13,0
127,127,1152,1152,1287,12,0,5
128,128,1193,1193,1213,12,1,5
129,129,1193,1193,1247,12,2,5
130,130,1273,1273,1321,12,3,5
131,131,1255,1255,1311,12,4,5
132,132,1247,1247,1321,12,5,5
133,133,1273,1273,1331,12,6,5
134,134,1247,1247,1324,12,7,5
135,135,1193,1193,1324,12,8,5
136,136,1277,1277,1335,12,9,5
137,137,1277,1277,1335,12,10,5
138,138,1255,1255,1342,12,11,5
139,139,1247,1247,1342,12,12,5
140,140,1271,1271,1422,12,13,5
141,141,1306,1306,1422,12,14,5
142,142,1342,1342,1435,12,15,5
143,143,1434,1434,1532,13,0,26
144,144,1434,1434,1515,13,1,26
145,145,1524,1524,1552,13,2,26
146,146,1515,1515,1552,13,3,26
147,147,1524,1524,1561,13,4,26
148,148,1515,1515,1561,13,5,26
149,149,1525,1525,1573,13,6,26
150,150,1528,1528,1582,13,7,26
151,151,1558,1558,1578,13,8,26
152,152,1534,1534,1588,13,9,26
153,153,1524,1524,1578,13,10,26
154,154,1572,1572,1667,13,11,26
155,155,720,720,901,14,0,7
156,156,778,778,842,14,1,7
157,157,778,778,890,14,2,7
158,158,896,896,914,14,3,7
159,159,778,778,914,14,4,7
160,160,900,900,918,14,5,7
161,161,877,877,918,14,6,7
162,162,896,896,930,14,7,7
163,163,897,897,930,14,8,7
164,164,900,900,934,14,9,7
165,165,901,901,934,14,10,7
166,166,930,930,1027,14,11,7
167,167,1021,1021,1123,15,0,2
168,168,1148,1148,1179,15,1,2
169,169,1140,1140,1169,15,2,2
170,170,1138,1138,1179,15,3,2
171,171,1092,1092,1179,15,4,2
172,172,1153,1153,1181,15,5,2
173,173,1153,1153,1181,15,6,2
174,174,1166,1166,1192,15,7,2
175,175,1166,1166,1192,15,8,2
176,176,1169,1169,1285,15,9,2
177,177,901,901,1063,16,0,12
178,178,1055,1055,1085,16,1,12
179,179,1040,1040,1085,16,2,12
180,180,1055,1055,1108,16,3,12
181,181,1055,1055,1108,16,4,12
182,182,1108,1108,1201,16,5,12
183,183,807,807,924,17,0,15
184,184,852,852,908,17,1,15
185,185,852,852,913,17,2,15
186,186,888,888,940,17,3,15
187,187,852,852,940,17,4,15
188,188,888,888,952,17,5,15
189,189,934,934,967,17,6,15
190,190,930,930,964,17,7,15
191,191,924,924,963,17,8,15
192,192,914,914,971,17,9,15
193,193,920,920,982,17,10,15
194,194,889,889,982,17,11,15
195,195,921,921,1075,17,12,15
196,196,1194,1194,1316,18,0,37
197,197,1221,1221,1261,18,1,37
198,198,1221,1221,1289,18,2,37
199,199,1311,1311,1334,18,3,37
200,200,1221,1221,1334,18,4,37
201,201,1323,1323,1340,18,5,37
202,202,1290,1290,1340,18,6,37
203,203,1321,1321,1357,18,7,37
204,204,1313,1313,1347,18,8,37
205,205,1335,1335,1360,18,9,37
206,206,1342,1342,1363,18,10,37
207,207,1331,1331,1364,18,11,37
208,208,1323,1323,1359,18,12,37
209,209,1335,1335,1369,18,13,37
210,210,1347,1347,1448,18,14,37
211,211,1557,1557,1655,19,0,26
212,212,1557,1557,1638,19,1,26
213,213,1647,1647,1675,19,2,26
214,214,1638,1638,1675,19,3,26
215,215,1647,1647,1684,19,4,26
216,216,1638,1638,1684,19,5,26
217,217,1650,1650,1698,19,6,26
218,218,1657,1657,1711,19,7,26
219,219,1681,1681,1701,19,8,26
220,220,1647,1647,1701,19,9,26
221,221,1655,1655,1709,19,10,26
222,222,1695,1695,1790,19,11,26
223,223,522,522,647,20,0,10
224,224,576,576,634,20,1,10
225,225,576,576,637,20,2,10
226,226,650,650,668,20,3,10
227,227,629,629,668,20,4,10
228,228,624,624,679,20,5,10
229,229,624,624,678,20,6,10
230,230,650,650,678,20,7,10
231,231,650,650,683,20,8,10
232,232,629,629,683,20,9,10
233,233,650,650,692,20,10,10
234,234,614,614,695,20,11,10
235,235,576,576,695,20,12,10
236,236,660,660,700,20,13,10
237,237,651,651,700,20,14,10
238,238,645,645,793,20,15,10
239,239,1063,1063,1244,21,0,7
240,240,1121,1121,1185,21,1,7
241,241,1121,1121,1233,21,2,7
242,242,1239,1239,1257,21,3,7
243,243,1121,1121,1257,21,4,7
244,244,1243,1243,1261,21,5,7
245,245,1220,1220,1261,21,6,7
246,246,1239,1239,1273,21,7,7
247,247,1240,1240,1273,21,8,7
248,248,1243,1243,1277,21,9,7
249,249,1244,1244,1277,21,10,7
250,250,1273,1273,1370,21,11,7
251,251,956,956,1114,22,0,28
252,252,1028,1028,1088,22,1,28
253,253,1116,1116,1137,22,2,28
254,254,1028,1028,1127,22,3,28
255,255,1106,1106,1138,22,4,28
256,256,1126,1126,1148,22,5,28
257,257,1108,1108,1146,22,6,28
258,258,1131,1131,1166,22,7,28
259,259,1091,1091,1159,22,8,28
260,260,1138,1138,1177,22,9,28
261,261,1138,1138,1171,22,10,28
262,262,1138,1138,1260,22,11,28
263,263,970,970,1095,23,0,10
264,264,1024,1024,1082,23,1,10
265,265,1024,1024,1085,23,2,10
266,266,1098,1098,1116,23,3,10
267,267,1077,1077,1116,23,4,10
268,268,1062,1062,1117,23,5,10
269,269,1063,1063,1117,23,6,10
