instance_folder,instance_id,method,time_limit_pi,time_limit_cp_stnu,obj,obj_pi,feasibility,feasibility_pi,rel_regret,real_durations,start_times,time_offline,time_online
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 20, 9, 24, 13, 6, 26]",0.5188043117523193,0.0050051212310791016
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 18, 8, 24, 13, 6, 26]",0.5188043117523193,0.005311012268066406
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 9, 24, 13, 6, 26]",0.5188043117523193,0.005141019821166992
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 12, 24, 13, 6, 26]",0.5188043117523193,0.00521087646484375
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 8, 24, 13, 6, 26]",0.5188043117523193,0.005224943161010742
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]","[0, 4, 0, 0, 0, 7, 20, 9, 24, 13, 6, 26]",0.5188043117523193,0.005166769027709961
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 19, 8, 24, 13, 6, 26]",0.5188043117523193,0.0051898956298828125
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 17, 10, 24, 13, 6, 26]",0.5188043117523193,0.005113124847412109
j10,1,STNU,60,60,28.0,28.0,True,True,0.0,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]","[0, 4, 0, 0, 0, 7, 23, 11, 24, 13, 6, 28]",0.5188043117523193,0.0050928592681884766
j10,1,STNU,60,60,26.0,26.0,True,True,0.0,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]","[0, 4, 0, 0, 0, 7, 17, 10, 24, 13, 6, 26]",0.5188043117523193,0.00512385368347168
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 3, 11, 9, 1, 6, 6, 2, 11, 9, 11, 0]",,0.04604291915893555,0.0
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 4, 8, 10, 1, 9, 11, 2, 11, 5, 9, 0]",,0.04604291915893555,0.0
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 2, 9, 10, 1, 10, 11, 1, 7, 5, 10, 0]",,0.04604291915893555,0.0
j10,2,STNU,60,60,inf,inf,False,False,0.0,"[0, 4, 6, 11, 1, 8, 10, 2, 7, 5, 8, 0]",,0.04604291915893555,0.0
