instance_name,method,nr_samples,test_sample_id,obj,obj_pi,rel_regret,time_limit_SAA
j30_4,proactive,1,33,inf,92.0,100.0,
j30_4,proactive,1,34,inf,86.0,100.0,
j30_4,proactive,1,35,inf,87.0,100.0,
j30_4,proactive,1,36,inf,92.0,100.0,
j30_4,proactive,1,37,inf,97.0,100.0,
j30_4,proactive,1,38,inf,90.0,100.0,
j30_4,proactive,1,39,inf,97.0,100.0,
j30_4,proactive,1,40,inf,81.0,100.0,
j30_4,proactive,1,41,inf,83.0,100.0,
j30_4,proactive,1,42,inf,86.0,100.0,
j30_4,proactive,1,43,inf,89.0,100.0,
j30_4,proactive,1,44,inf,91.0,100.0,
j30_4,proactive,1,45,inf,91.0,100.0,
j30_4,proactive,1,46,inf,82.0,100.0,
j30_4,proactive,1,47,inf,84.0,100.0,
j30_4,proactive,1,48,inf,83.0,100.0,
j30_4,proactive,1,49,inf,80.0,100.0,
j30_5,proactive,1,0,inf,88.0,100.0,600.0
j30_5,proactive,1,1,inf,inf,0.0,600.0
j30_5,proactive,1,2,inf,inf,0.0,600.0
j30_5,proactive,1,3,inf,inf,0.0,600.0
j30_5,proactive,1,4,inf,inf,0.0,600.0
j30_5,proactive,1,5,inf,92.0,100.0,600.0
j30_5,proactive,1,6,inf,89.0,100.0,600.0
j30_5,proactive,1,7,inf,inf,0.0,600.0
j30_5,proactive,1,8,inf,inf,0.0,600.0
j30_5,proactive,1,9,inf,inf,0.0,600.0
j30_5,proactive,1,10,inf,inf,0.0,600.0
j30_5,proactive,1,11,inf,inf,0.0,600.0
j30_5,proactive,1,12,inf,inf,0.0,600.0
j30_5,proactive,1,13,inf,inf,0.0,600.0
j30_5,proactive,1,14,inf,inf,0.0,600.0
j30_5,proactive,1,15,inf,inf,0.0,600.0
j30_5,proactive,1,16,inf,inf,0.0,600.0
j30_5,proactive,1,17,inf,94.0,100.0,600.0
j30_5,proactive,1,18,inf,inf,0.0,600.0
j30_5,proactive,1,19,inf,inf,0.0,600.0
j30_5,proactive,1,20,inf,inf,0.0,600.0
j30_5,proactive,1,21,inf,92.0,100.0,600.0
j30_5,proactive,1,22,inf,inf,0.0,600.0
j30_5,proactive,1,23,inf,inf,0.0,600.0
j30_5,proactive,1,24,inf,inf,0.0,600.0
j30_5,proactive,1,25,inf,inf,0.0,600.0
j30_5,proactive,1,26,inf,inf,0.0,600.0
j30_5,proactive,1,27,inf,inf,0.0,600.0
