instance_folder,instance_id,method,nr_samples,obj,obj_pi,rel_regret,time_limit_SAA,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online,time_limit_pi
j20,1,proactive,10,inf,48.0,100.0,600,False,True,"[0, 4, 1, 8, 3, 3, 1, 9, 2, 8, 2, 2, 9, 1, 7, 1, 2, 2, 6, 4, 5, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,inf,0.0,600,False,False,"[0, 8, 3, 12, 3, 3, 1, 10, 2, 8, 1, 1, 8, 1, 5, 1, 2, 1, 4, 4, 3, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,inf,0.0,600,False,False,"[0, 4, 3, 8, 2, 3, 1, 11, 1, 8, 2, 3, 11, 1, 5, 1, 3, 1, 4, 5, 2, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,45.0,100.0,600,False,True,"[0, 8, 2, 8, 2, 2, 2, 6, 1, 7, 2, 3, 9, 1, 3, 1, 3, 3, 7, 4, 5, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,45.0,100.0,600,False,True,"[0, 6, 1, 8, 3, 2, 1, 6, 2, 8, 1, 3, 9, 1, 4, 1, 2, 2, 5, 3, 3, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,47.0,100.0,600,False,True,"[0, 8, 2, 10, 2, 3, 2, 9, 2, 7, 2, 2, 6, 1, 5, 1, 1, 2, 4, 4, 2, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,53.0,100.0,600,False,True,"[0, 6, 2, 9, 2, 1, 3, 11, 1, 8, 1, 3, 9, 1, 7, 1, 3, 3, 8, 6, 4, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,inf,0.0,600,False,False,"[0, 8, 3, 7, 2, 2, 2, 11, 2, 8, 2, 1, 10, 1, 5, 1, 2, 2, 5, 3, 4, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,47.0,100.0,600,False,True,"[0, 5, 1, 10, 2, 3, 2, 8, 1, 5, 1, 1, 6, 1, 7, 1, 2, 3, 7, 2, 5, 0]",,0.09899115562438965,0.0,60.0
j20,1,proactive,10,inf,48.0,100.0,600,False,True,"[0, 8, 1, 12, 2, 1, 1, 9, 1, 6, 2, 3, 8, 1, 4, 1, 3, 3, 7, 2, 5, 0]",,0.09899115562438965,0.0,60.0
