,instance_folder,instance_id,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
25,j30,3,5,"[0, 5, 6, 2, 1, 2, 1, 1, 5, 2, 4, 1, 2, 2, 4, 7, 1, 1, 2, 3, 7, 6, 6, 4, 3, 5, 7, 12, 1, 1, 2, 0]",10,0.00999999,Infeasible,,
26,j30,3,6,"[0, 5, 4, 2, 1, 6, 1, 1, 2, 2, 3, 1, 3, 2, 2, 6, 1, 1, 5, 3, 6, 8, 10, 5, 2, 6, 3, 9, 2, 1, 2, 0]",10,0.0,Infeasible,,
27,j30,3,7,"[0, 8, 2, 2, 1, 2, 2, 1, 5, 2, 3, 2, 3, 1, 2, 9, 1, 1, 4, 5, 9, 6, 6, 3, 5, 6, 4, 8, 1, 2, 1, 0]",10,0.00999999,Infeasible,,
28,j30,3,8,"[0, 4, 6, 2, 1, 4, 2, 1, 6, 1, 4, 1, 3, 2, 2, 5, 1, 1, 6, 4, 6, 4, 10, 5, 2, 4, 5, 10, 1, 2, 3, 0]",10,0.0,Infeasible,,
29,j30,3,9,"[0, 7, 5, 2, 1, 5, 1, 1, 5, 1, 5, 2, 3, 2, 6, 8, 1, 1, 4, 6, 9, 4, 9, 5, 2, 6, 4, 6, 1, 1, 3, 0]",10,0.0,Infeasible,,
30,j30,4,0,"[0, 11, 7, 2, 6, 1, 5, 4, 5, 3, 2, 2, 4, 10, 11, 10, 3, 8, 8, 5, 10, 9, 7, 7, 8, 11, 4, 1, 1, 1, 5, 0]",10,0.73,Optimal,0.0,96.0
31,j30,4,1,"[0, 7, 5, 5, 6, 1, 4, 4, 3, 5, 3, 3, 3, 10, 7, 6, 2, 11, 7, 5, 7, 6, 6, 6, 5, 9, 2, 1, 1, 2, 5, 0]",10,0.32,Optimal,0.0,80.0
32,j30,4,2,"[0, 10, 6, 2, 6, 1, 3, 6, 3, 4, 2, 2, 4, 8, 8, 7, 2, 12, 5, 6, 12, 11, 7, 8, 5, 9, 4, 1, 1, 1, 4, 0]",10,0.5,Optimal,0.0,97.0
33,j30,4,3,"[0, 8, 5, 5, 9, 1, 2, 5, 4, 4, 2, 2, 4, 7, 11, 9, 2, 6, 8, 5, 10, 9, 6, 5, 7, 10, 5, 1, 1, 3, 2, 0]",10,0.5,Optimal,0.0,89.0
34,j30,4,4,"[0, 11, 8, 3, 6, 1, 2, 5, 2, 3, 4, 5, 7, 7, 7, 6, 4, 10, 8, 3, 10, 7, 7, 6, 4, 8, 5, 1, 2, 3, 2, 0]",10,1.01,Optimal,0.0,90.0
35,j30,4,5,"[0, 10, 6, 4, 6, 1, 3, 5, 4, 4, 4, 5, 3, 12, 11, 7, 4, 10, 4, 4, 8, 7, 7, 7, 4, 11, 2, 1, 2, 2, 5, 0]",10,0.58,Optimal,0.0,93.0
36,j30,4,6,"[0, 6, 5, 5, 7, 1, 3, 7, 2, 5, 2, 5, 3, 9, 7, 8, 6, 11, 4, 3, 11, 9, 4, 6, 4, 11, 5, 1, 1, 1, 4, 0]",10,0.51,Optimal,0.0,90.0
37,j30,4,7,"[0, 11, 7, 2, 8, 1, 4, 3, 3, 5, 5, 5, 4, 8, 10, 9, 2, 12, 4, 7, 8, 10, 5, 5, 7, 6, 2, 1, 1, 2, 4, 0]",10,0.56,Optimal,0.0,86.0
38,j30,4,8,"[0, 7, 4, 2, 9, 1, 2, 4, 4, 2, 6, 5, 6, 12, 9, 9, 5, 8, 7, 6, 11, 10, 6, 7, 8, 10, 2, 1, 2, 1, 5, 0]",10,0.43,Optimal,0.0,95.0
39,j30,4,9,"[0, 11, 5, 5, 6, 1, 4, 5, 4, 2, 4, 4, 4, 10, 6, 10, 6, 12, 5, 6, 7, 10, 4, 7, 5, 6, 2, 1, 1, 3, 2, 0]",10,0.52,Optimal,0.0,87.0
