instance_folder,instance_id,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode,obj_pi
j30,9,STNU_robust,60,,False,inf,False,"[0, 5, 4, 2, 2, 8, 2, 2, 9, 2, 4, 8, 10, 2, 9, 11, 1, 9, 6, 2, 8, 7, 6, 3, 1, 1, 4, 7, 1, 6, 11, 0]",,inf,inf,robust,113.0
j30,9,STNU_robust,60,,False,inf,False,"[0, 7, 8, 2, 2, 5, 4, 6, 9, 1, 2, 7, 12, 1, 7, 6, 1, 9, 3, 1, 8, 7, 4, 4, 1, 1, 4, 4, 1, 8, 6, 0]",,inf,inf,robust,96.0
j30,9,STNU_robust,60,,False,inf,False,"[0, 6, 6, 1, 3, 5, 3, 4, 6, 2, 2, 8, 6, 2, 6, 7, 2, 6, 3, 2, 5, 4, 6, 6, 1, 1, 7, 3, 2, 6, 9, 0]",,inf,inf,robust,85.0
j30,9,STNU_robust,60,,False,inf,False,"[0, 6, 6, 2, 2, 9, 2, 2, 8, 2, 3, 11, 6, 3, 11, 6, 1, 8, 5, 1, 6, 3, 5, 5, 1, 1, 5, 5, 1, 9, 6, 0]",,inf,inf,robust,92.0
j30,9,STNU_robust,60,,False,inf,False,"[0, 5, 8, 3, 1, 7, 2, 5, 5, 1, 2, 11, 8, 2, 6, 10, 2, 6, 3, 1, 8, 7, 5, 5, 1, 1, 7, 6, 1, 9, 12, 0]",,inf,inf,robust,105.0
j30,9,STNU_robust,60,,False,inf,False,"[0, 8, 8, 3, 1, 9, 2, 5, 8, 1, 5, 11, 12, 3, 11, 7, 2, 6, 4, 1, 6, 3, 4, 3, 1, 1, 8, 3, 1, 10, 12, 0]",,inf,inf,robust,110.0
j30,9,STNU_robust,60,,False,inf,False,"[0, 6, 7, 2, 1, 6, 4, 3, 5, 1, 4, 12, 10, 2, 6, 6, 2, 7, 2, 1, 7, 5, 5, 6, 1, 1, 8, 6, 1, 6, 6, 0]",,inf,inf,robust,87.0
j30,10,STNU_robust,60,,False,inf,False,"[0, 2, 7, 2, 4, 4, 7, 3, 6, 2, 8, 8, 1, 2, 5, 6, 6, 1, 5, 7, 5, 1, 1, 3, 4, 1, 5, 6, 7, 3, 1, 0]",,inf,inf,robust,73.0
j30,11,STNU_robust,60,True,True,63.0,True,"[0, 6, 9, 6, 3, 9, 5, 2, 1, 1, 4, 9, 1, 8, 12, 7, 1, 3, 7, 1, 6, 1, 5, 9, 1, 3, 2, 2, 1, 3, 7, 0]","[0, 16, 37, 0, 31, 41, 32, 9, 26, 14, 0, 0, 27, 12, 0, 9, 41, 34, 44, 53, 31, 28, 26, 32, 42, 23, 37, 52, 39, 57, 56, 62]",0.6045780181884766,0.05781674385070801,robust,63.0
j30,11,STNU_robust,60,True,True,62.0,True,"[0, 4, 6, 12, 2, 12, 6, 3, 1, 1, 4, 6, 1, 4, 10, 7, 1, 1, 3, 2, 7, 3, 3, 5, 1, 3, 5, 2, 1, 2, 4, 0]","[0, 15, 38, 0, 31, 40, 32, 6, 26, 14, 0, 0, 27, 12, 0, 6, 42, 33, 44, 53, 31, 28, 26, 32, 42, 23, 37, 52, 39, 57, 56, 62]",0.6045780181884766,0.05725407600402832,robust,62.0
