instance_folder,instance_id,method,nr_samples,obj,obj_pi,rel_regret,time_limit_SAA,feasibility,feasibility_pi,real_durations,start_times
j10,3,proactive,10,inf,39.0,100.0,600,False,True,"[0, 1, 8, 3, 9, 7, 2, 6, 4, 12, 4, 0]","[0, 8, 0, 17, 23, 11, 20, 21, 30, 26, 23, 36]"
j10,4,proactive,10,40.0,34.0,17.647058823529413,600,True,True,"[0, 6, 2, 5, 2, 8, 1, 3, 6, 9, 7, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,42.0,34.0,23.529411764705884,600,True,True,"[0, 6, 2, 5, 1, 9, 1, 2, 5, 12, 8, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,inf,40.0,100.0,600,False,True,"[0, 9, 1, 2, 3, 8, 1, 4, 7, 11, 4, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,inf,39.0,100.0,600,False,True,"[0, 9, 1, 4, 1, 7, 1, 6, 4, 9, 8, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,42.0,39.0,7.6923076923076925,600,True,True,"[0, 8, 1, 5, 1, 9, 1, 5, 3, 12, 7, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,40.0,35.0,14.285714285714286,600,True,True,"[0, 6, 1, 6, 1, 7, 1, 4, 7, 8, 5, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,40.0,35.0,14.285714285714286,600,True,True,"[0, 7, 2, 3, 2, 8, 1, 5, 3, 10, 7, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,41.0,39.0,5.128205128205129,600,True,True,"[0, 8, 2, 5, 3, 5, 1, 4, 6, 11, 5, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,40.0,36.0,11.11111111111111,600,True,True,"[0, 8, 1, 5, 3, 7, 1, 2, 7, 6, 5, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,4,proactive,10,42.0,38.0,10.526315789473685,600,True,True,"[0, 8, 1, 2, 1, 6, 1, 4, 7, 12, 8, 0]","[0, 10, 9, 18, 0, 3, 9, 3, 11, 30, 11, 40]"
j10,5,proactive,10,36.0,28.0,28.571428571428573,600,True,True,"[0, 6, 8, 1, 1, 1, 7, 4, 1, 3, 10, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,36.0,27.0,33.333333333333336,600,True,True,"[0, 9, 7, 1, 1, 1, 5, 5, 1, 4, 10, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,36.0,30.0,20.0,600,True,True,"[0, 7, 10, 1, 3, 2, 8, 5, 2, 4, 7, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,36.0,36.0,0.0,600,True,True,"[0, 11, 9, 2, 2, 2, 6, 5, 2, 5, 11, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,37.0,30.0,23.333333333333332,600,True,True,"[0, 6, 10, 1, 3, 1, 9, 3, 1, 4, 9, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,36.0,29.0,24.137931034482758,600,True,True,"[0, 10, 10, 2, 2, 2, 5, 6, 1, 3, 7, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,37.0,30.0,23.333333333333332,600,True,True,"[0, 8, 9, 1, 2, 1, 9, 3, 2, 3, 7, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,37.0,33.0,12.121212121212121,600,True,True,"[0, 11, 9, 2, 2, 1, 9, 5, 2, 4, 8, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,36.0,34.0,5.882352941176471,600,True,True,"[0, 8, 11, 1, 1, 2, 8, 4, 2, 3, 10, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,5,proactive,10,37.0,31.0,19.35483870967742,600,True,True,"[0, 7, 9, 2, 1, 2, 9, 3, 1, 4, 7, 0]","[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]"
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 2, 6, 3, 4, 11, 6, 3, 1, 6, 4, 0]",
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 1, 4, 4, 4, 6, 9, 2, 1, 11, 3, 0]",
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 1, 4, 5, 6, 7, 9, 5, 1, 8, 5, 0]",
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 2, 3, 5, 6, 8, 8, 5, 1, 11, 5, 0]",
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 2, 5, 5, 4, 11, 9, 6, 1, 6, 4, 0]",
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 1, 6, 4, 7, 7, 11, 6, 1, 9, 5, 0]",
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 2, 5, 4, 3, 12, 9, 4, 1, 10, 3, 0]",
j10,6,proactive,10,inf,inf,0.0,600,False,False,"[0, 2, 3, 4, 7, 7, 10, 4, 1, 7, 7, 0]",
