instance_folder,instance_id,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 7, 1, 11, 1, 4, 2, 6, 2, 8, 7, 2, 6, 6, 2, 12, 3, 6, 2, 2, 8, 0]","[0, 0, 17, 2, 19, 13, 41, 13, 0, 41, 7, 57, 20, 17, 33, 21, 61, 41, 60, 49, 33, 67]",0.480853796005249,0.022958755493164062,robust
j20,7,STNU_robust,30,True,True,67.0,True,"[0, 6, 1, 11, 2, 7, 2, 6, 2, 5, 11, 2, 3, 3, 2, 11, 3, 3, 1, 4, 8, 0]","[0, 0, 20, 2, 21, 13, 41, 13, 0, 41, 6, 57, 23, 20, 32, 21, 61, 41, 60, 46, 33, 67]",0.480853796005249,0.02277374267578125,robust
j20,8,STNU_robust,30,True,True,73.0,True,"[0, 8, 9, 6, 2, 1, 3, 7, 4, 6, 7, 10, 9, 12, 7, 4, 2, 5, 2, 1, 1, 0]","[0, 0, 8, 8, 7, 0, 26, 1, 0, 39, 0, 29, 17, 55, 59, 40, 37, 67, 45, 39, 53, 73]",0.624053955078125,0.027369022369384766,robust
j20,8,STNU_robust,30,True,True,68.0,True,"[0, 7, 9, 11, 1, 1, 4, 8, 5, 7, 12, 6, 6, 7, 11, 3, 3, 3, 2, 1, 2, 0]","[0, 0, 9, 9, 12, 0, 26, 1, 0, 37, 0, 31, 20, 53, 57, 38, 40, 60, 44, 37, 51, 66]",0.624053955078125,0.024314165115356445,robust
j20,8,STNU_robust,30,True,True,67.0,True,"[0, 5, 5, 11, 2, 1, 5, 6, 5, 6, 12, 9, 6, 7, 9, 6, 2, 4, 5, 1, 1, 0]","[0, 0, 7, 7, 12, 0, 24, 1, 0, 38, 0, 29, 18, 54, 58, 39, 38, 61, 45, 38, 52, 67]",0.624053955078125,0.024399995803833008,robust
j20,8,STNU_robust,30,True,True,67.0,True,"[0, 7, 9, 6, 2, 1, 5, 5, 6, 6, 10, 7, 7, 8, 7, 2, 4, 4, 5, 1, 3, 0]","[0, 0, 6, 7, 10, 0, 24, 1, 0, 36, 0, 29, 17, 53, 57, 37, 37, 61, 42, 36, 50, 67]",0.624053955078125,0.02420783042907715,robust
j20,8,STNU_robust,30,True,True,72.0,True,"[0, 9, 8, 11, 2, 1, 5, 4, 4, 8, 8, 7, 8, 10, 8, 2, 2, 4, 3, 1, 2, 0]","[0, 0, 5, 9, 8, 0, 28, 1, 0, 40, 0, 33, 20, 56, 60, 41, 40, 66, 48, 40, 54, 72]",0.624053955078125,0.02467203140258789,robust
j20,8,STNU_robust,30,True,True,73.0,True,"[0, 8, 5, 6, 2, 1, 3, 8, 6, 10, 9, 11, 8, 11, 6, 5, 2, 6, 2, 1, 3, 0]","[0, 0, 9, 9, 9, 0, 25, 1, 0, 39, 0, 28, 17, 56, 60, 40, 37, 67, 49, 39, 53, 73]",0.624053955078125,0.024424076080322266,robust
j20,8,STNU_robust,30,True,True,68.0,True,"[0, 9, 9, 7, 1, 1, 2, 6, 4, 11, 8, 10, 6, 7, 6, 4, 2, 7, 2, 1, 1, 0]","[0, 0, 7, 9, 8, 0, 23, 1, 0, 38, 0, 28, 17, 54, 58, 39, 37, 61, 49, 38, 52, 67]",0.624053955078125,0.024280071258544922,robust
j20,8,STNU_robust,30,True,True,68.0,True,"[0, 6, 9, 7, 1, 1, 4, 7, 5, 8, 10, 10, 7, 8, 6, 3, 4, 5, 5, 1, 1, 0]","[0, 0, 8, 8, 10, 0, 24, 1, 0, 38, 0, 28, 17, 54, 58, 39, 37, 62, 46, 38, 52, 68]",0.624053955078125,0.021638870239257812,robust
j20,8,STNU_robust,30,True,True,69.0,True,"[0, 6, 7, 10, 1, 1, 2, 5, 6, 7, 11, 10, 7, 6, 11, 2, 3, 3, 3, 1, 2, 0]","[0, 0, 6, 6, 11, 0, 24, 1, 0, 38, 0, 28, 17, 54, 58, 39, 37, 60, 45, 38, 52, 67]",0.624053955078125,0.021580934524536133,robust
j20,8,STNU_robust,30,True,True,68.0,True,"[0, 6, 9, 10, 2, 1, 4, 4, 7, 6, 9, 7, 7, 11, 11, 6, 3, 3, 3, 1, 1, 0]","[0, 0, 5, 7, 9, 0, 24, 1, 0, 35, 0, 28, 17, 51, 55, 36, 37, 62, 42, 35, 49, 68]",0.624053955078125,0.021960020065307617,robust
j20,9,STNU_robust,30,,False,inf,False,"[0, 4, 1, 10, 11, 6, 2, 6, 2, 12, 6, 3, 6, 3, 3, 2, 8, 7, 4, 3, 2, 0]",,inf,inf,robust
j20,9,STNU_robust,30,,False,inf,False,"[0, 3, 1, 9, 7, 6, 5, 5, 1, 7, 8, 4, 6, 2, 3, 5, 8, 9, 5, 6, 3, 0]",,inf,inf,robust
