instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode
ubo50,3,proactive_robust,60,True,257.0,60.0466411113739,0.0008111000061035156,"[0, 42, 1, 20, 180, 0, 12, 116, 165, 117, 98, 183, 193, 183, 91, 217, 187, 20, 32, 113, 128, 42, 49, 100, 157, 230, 160, 76, 137, 62, 3, 100, 222, 147, 20, 29, 88, 208, 168, 49, 68, 216, 23, 237, 200, 208, 33, 255, 230, 246, 18, 257]","[0, 4, 6, 8, 2, 1, 6, 10, 10, 5, 1, 8, 4, 1, 5, 9, 7, 9, 5, 2, 6, 3, 9, 6, 1, 2, 4, 10, 6, 5, 7, 7, 5, 5, 1, 1, 1, 6, 8, 10, 6, 4, 6, 7, 3, 7, 4, 1, 6, 5, 1, 0]",robust
ubo50,3,proactive_robust,60,True,257.0,60.0466411113739,0.0008211135864257812,"[0, 42, 1, 20, 180, 0, 12, 116, 165, 117, 98, 183, 193, 183, 91, 217, 187, 20, 32, 113, 128, 42, 49, 100, 157, 230, 160, 76, 137, 62, 3, 100, 222, 147, 20, 29, 88, 208, 168, 49, 68, 216, 23, 237, 200, 208, 33, 255, 230, 246, 18, 257]","[0, 4, 5, 5, 2, 1, 7, 10, 8, 7, 1, 8, 3, 1, 2, 5, 8, 8, 9, 2, 7, 3, 7, 6, 2, 2, 7, 11, 5, 5, 4, 10, 5, 8, 2, 2, 2, 10, 10, 6, 5, 3, 5, 4, 4, 3, 4, 1, 6, 7, 1, 0]",robust
ubo50,3,proactive_robust,60,True,257.0,60.0466411113739,0.0008177757263183594,"[0, 42, 1, 20, 180, 0, 12, 116, 165, 117, 98, 183, 193, 183, 91, 217, 187, 20, 32, 113, 128, 42, 49, 100, 157, 230, 160, 76, 137, 62, 3, 100, 222, 147, 20, 29, 88, 208, 168, 49, 68, 216, 23, 237, 200, 208, 33, 255, 230, 246, 18, 257]","[0, 4, 6, 6, 1, 2, 5, 6, 10, 6, 1, 5, 4, 3, 2, 9, 8, 9, 8, 1, 7, 3, 8, 4, 1, 2, 7, 8, 8, 2, 8, 12, 5, 6, 1, 1, 2, 11, 6, 11, 6, 3, 5, 6, 3, 3, 2, 1, 4, 8, 1, 0]",robust
ubo50,3,proactive_robust,60,True,257.0,60.0466411113739,0.0007898807525634766,"[0, 42, 1, 20, 180, 0, 12, 116, 165, 117, 98, 183, 193, 183, 91, 217, 187, 20, 32, 113, 128, 42, 49, 100, 157, 230, 160, 76, 137, 62, 3, 100, 222, 147, 20, 29, 88, 208, 168, 49, 68, 216, 23, 237, 200, 208, 33, 255, 230, 246, 18, 257]","[0, 2, 8, 5, 1, 2, 5, 10, 7, 8, 1, 6, 3, 3, 6, 6, 5, 8, 6, 1, 4, 2, 11, 7, 1, 2, 3, 10, 5, 4, 7, 8, 7, 8, 1, 1, 1, 10, 6, 6, 7, 4, 4, 8, 5, 6, 2, 2, 2, 8, 1, 0]",robust
ubo50,4,proactive_robust,60,True,293.0,60.05327486991882,0.0008311271667480469,"[0, 169, 17, 66, 181, 50, 10, 0, 27, 157, 227, 72, 92, 169, 148, 217, 194, 139, 227, 203, 139, 255, 123, 79, 186, 271, 177, 223, 167, 229, 130, 98, 76, 79, 37, 186, 53, 261, 110, 253, 19, 253, 163, 273, 207, 273, 184, 241, 283, 291, 194, 293]","[0, 11, 8, 2, 1, 2, 3, 8, 5, 2, 1, 2, 2, 7, 5, 4, 8, 4, 9, 9, 8, 4, 6, 11, 5, 1, 1, 1, 1, 7, 5, 6, 1, 11, 7, 4, 11, 6, 7, 1, 5, 1, 1, 3, 5, 5, 1, 11, 6, 2, 8, 0]",robust
ubo50,4,proactive_robust,60,True,293.0,60.05327486991882,0.0008246898651123047,"[0, 169, 17, 66, 181, 50, 10, 0, 27, 157, 227, 72, 92, 169, 148, 217, 194, 139, 227, 203, 139, 255, 123, 79, 186, 271, 177, 223, 167, 229, 130, 98, 76, 79, 37, 186, 53, 261, 110, 253, 19, 253, 163, 273, 207, 273, 184, 241, 283, 291, 194, 293]","[0, 7, 5, 4, 2, 2, 3, 6, 8, 2, 1, 1, 3, 6, 8, 4, 8, 2, 8, 7, 6, 5, 2, 10, 4, 1, 1, 3, 1, 8, 5, 6, 1, 7, 9, 7, 9, 6, 9, 1, 5, 1, 1, 4, 7, 6, 1, 9, 7, 1, 12, 0]",robust
ubo50,4,proactive_robust,60,True,293.0,60.05327486991882,0.0007829666137695312,"[0, 169, 17, 66, 181, 50, 10, 0, 27, 157, 227, 72, 92, 169, 148, 217, 194, 139, 227, 203, 139, 255, 123, 79, 186, 271, 177, 223, 167, 229, 130, 98, 76, 79, 37, 186, 53, 261, 110, 253, 19, 253, 163, 273, 207, 273, 184, 241, 283, 291, 194, 293]","[0, 6, 5, 5, 2, 2, 3, 8, 5, 2, 1, 2, 3, 7, 6, 2, 7, 5, 5, 9, 8, 5, 6, 12, 7, 1, 1, 2, 1, 10, 5, 6, 1, 8, 6, 5, 10, 6, 7, 1, 5, 1, 3, 2, 9, 5, 1, 10, 4, 1, 10, 0]",robust
ubo50,4,proactive_robust,60,True,293.0,60.05327486991882,0.0007960796356201172,"[0, 169, 17, 66, 181, 50, 10, 0, 27, 157, 227, 72, 92, 169, 148, 217, 194, 139, 227, 203, 139, 255, 123, 79, 186, 271, 177, 223, 167, 229, 130, 98, 76, 79, 37, 186, 53, 261, 110, 253, 19, 253, 163, 273, 207, 273, 184, 241, 283, 291, 194, 293]","[0, 7, 5, 4, 2, 2, 4, 9, 9, 5, 1, 3, 4, 3, 5, 4, 6, 2, 6, 8, 8, 4, 2, 12, 4, 1, 1, 3, 1, 7, 8, 8, 1, 11, 6, 4, 11, 5, 7, 1, 8, 1, 2, 3, 9, 9, 1, 9, 3, 2, 6, 0]",robust
ubo50,4,proactive_robust,60,True,293.0,60.05327486991882,0.0007729530334472656,"[0, 169, 17, 66, 181, 50, 10, 0, 27, 157, 227, 72, 92, 169, 148, 217, 194, 139, 227, 203, 139, 255, 123, 79, 186, 271, 177, 223, 167, 229, 130, 98, 76, 79, 37, 186, 53, 261, 110, 253, 19, 253, 163, 273, 207, 273, 184, 241, 283, 291, 194, 293]","[0, 9, 6, 4, 2, 2, 6, 5, 5, 3, 1, 2, 3, 3, 4, 2, 6, 5, 9, 8, 4, 3, 5, 9, 4, 1, 1, 3, 1, 10, 7, 6, 1, 6, 11, 7, 8, 9, 12, 1, 7, 1, 1, 3, 8, 5, 1, 6, 7, 2, 8, 0]",robust
ubo50,4,proactive_robust,60,True,293.0,60.05327486991882,0.0008141994476318359,"[0, 169, 17, 66, 181, 50, 10, 0, 27, 157, 227, 72, 92, 169, 148, 217, 194, 139, 227, 203, 139, 255, 123, 79, 186, 271, 177, 223, 167, 229, 130, 98, 76, 79, 37, 186, 53, 261, 110, 253, 19, 253, 163, 273, 207, 273, 184, 241, 283, 291, 194, 293]","[0, 7, 5, 2, 2, 1, 3, 7, 9, 2, 1, 3, 5, 6, 7, 5, 6, 5, 8, 11, 8, 5, 4, 10, 7, 1, 1, 1, 1, 9, 7, 6, 2, 11, 12, 4, 6, 7, 8, 1, 7, 1, 1, 4, 6, 9, 1, 6, 7, 1, 12, 0]",robust
