,instance_folder,instance_id,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
0,j10,1,0,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",10,0.0,26.0,0.00999999,Optimal
1,j10,1,1,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",10,0.0,26.0,0.00999999,Optimal
2,j10,1,2,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",10,0.0,26.0,0.00999999,Optimal
3,j10,1,3,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",10,0.0,26.0,0.00999999,Optimal
4,j10,1,4,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",10,0.0,26.0,0.00999999,Optimal
5,j10,1,5,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",10,0.0,26.0,0.0100002,Optimal
6,j10,1,6,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",10,0.0,26.0,0.00999999,Optimal
7,j10,1,7,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",10,0.0,26.0,0.00999999,Optimal
8,j10,1,8,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",10,0.0,28.0,0.00999999,Optimal
9,j10,1,9,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",10,0.0,26.0,0.00999999,Optimal
10,j10,2,0,"[0, 3, 9, 10, 1, 6, 7, 2, 11, 5, 6, 0]",10,,,0.0100002,Infeasible
11,j10,2,1,"[0, 3, 10, 11, 1, 10, 12, 2, 8, 9, 11, 0]",10,,,0.0,Infeasible
12,j10,2,2,"[0, 4, 10, 9, 1, 10, 8, 1, 11, 7, 10, 0]",10,,,0.0,Infeasible
13,j10,2,3,"[0, 5, 7, 7, 1, 6, 12, 2, 7, 6, 11, 0]",10,,,0.00999999,Infeasible
14,j10,2,4,"[0, 4, 7, 7, 1, 6, 10, 2, 6, 5, 11, 0]",10,,,0.0,Infeasible
15,j10,2,5,"[0, 5, 8, 7, 1, 6, 12, 2, 9, 6, 7, 0]",10,,,0.00999999,Infeasible
16,j10,2,6,"[0, 5, 10, 6, 1, 7, 9, 1, 8, 9, 6, 0]",10,,,0.0,Infeasible
17,j10,2,7,"[0, 3, 9, 7, 1, 8, 6, 1, 7, 7, 8, 0]",10,,,0.0,Infeasible
18,j10,2,8,"[0, 3, 6, 12, 1, 7, 9, 2, 11, 9, 9, 0]",10,,,0.00999999,Infeasible
19,j10,2,9,"[0, 3, 7, 9, 1, 6, 6, 1, 8, 6, 9, 0]",10,,,0.0,Infeasible
20,j10,3,0,"[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]",10,0.0,33.0,0.0,Optimal
21,j10,3,1,"[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]",10,0.0,35.0,0.05,Optimal
22,j10,3,2,"[0, 1, 6, 1, 11, 5, 1, 3, 3, 12, 3, 0]",10,0.0,36.0,0.02,Optimal
23,j10,3,3,"[0, 1, 5, 2, 11, 4, 2, 2, 6, 7, 3, 0]",10,0.0,33.0,0.0400002,Optimal
24,j10,3,4,"[0, 1, 4, 2, 9, 5, 2, 2, 5, 12, 4, 0]",10,0.0,35.0,0.0,Optimal
25,j10,3,5,"[0, 1, 5, 1, 6, 4, 1, 4, 6, 6, 6, 0]",10,0.0,35.0,0.02,Optimal
26,j10,3,6,"[0, 1, 5, 3, 6, 7, 2, 4, 4, 7, 3, 0]",10,0.0,35.0,0.00999999,Optimal
27,j10,3,7,"[0, 1, 5, 3, 11, 7, 2, 3, 5, 12, 3, 0]",10,0.0,36.0,0.0100002,Optimal
28,j10,3,8,"[0, 1, 4, 3, 8, 4, 1, 4, 2, 6, 4, 0]",10,0.0,35.0,0.03,Optimal
29,j10,3,9,"[0, 1, 5, 2, 9, 3, 1, 6, 4, 10, 6, 0]",10,0.0,37.0,0.00999999,Optimal
30,j10,4,0,"[0, 8, 1, 2, 2, 8, 1, 2, 3, 7, 8, 0]",10,0.0,35.0,0.00999999,Optimal
31,j10,4,1,"[0, 9, 1, 3, 3, 9, 1, 4, 7, 9, 8, 0]",10,0.0,39.0,0.0,Optimal
32,j10,4,2,"[0, 7, 1, 4, 1, 6, 1, 3, 3, 12, 5, 0]",10,0.0,36.0,0.0,Optimal
33,j10,4,3,"[0, 6, 2, 3, 2, 5, 1, 6, 4, 6, 4, 0]",10,0.0,36.0,0.00999999,Optimal
34,j10,4,4,"[0, 8, 2, 4, 2, 5, 1, 5, 4, 7, 7, 0]",10,0.0,38.0,0.00999999,Optimal
