instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,obj_pi
j10,4,proactive_SAA_smart,60,True,41.0,0.14687299728393555,0.00021719932556152344,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 8, 2, 4, 2, 5, 1, 5, 4, 7, 7, 0]",SAA_smart,38.0
j10,4,proactive_SAA_smart,60,True,42.0,0.14687299728393555,0.0002090930938720703,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 9, 1, 3, 1, 7, 1, 6, 3, 11, 7, 0]",SAA_smart,39.0
j10,4,proactive_SAA_smart,60,True,41.0,0.14687299728393555,0.0002713203430175781,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 6, 1, 2, 1, 6, 1, 4, 5, 7, 4, 0]",SAA_smart,34.0
j10,4,proactive_SAA_smart,60,True,41.0,0.14687299728393555,0.00021386146545410156,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 6, 2, 6, 2, 6, 1, 5, 3, 6, 6, 0]",SAA_smart,36.0
j10,4,proactive_SAA_smart,60,True,41.0,0.14687299728393555,0.0002028942108154297,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 7, 2, 3, 1, 7, 1, 2, 3, 7, 5, 0]",SAA_smart,34.0
j10,4,proactive_SAA_smart,60,True,41.0,0.14687299728393555,0.000225067138671875,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 8, 1, 2, 2, 9, 1, 4, 7, 9, 7, 0]",SAA_smart,37.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.0002570152282714844,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 11, 9, 1, 1, 2, 6, 6, 2, 5, 6, 0]",SAA_smart,30.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.00023102760314941406,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 6, 7, 1, 2, 1, 6, 5, 1, 4, 11, 0]",SAA_smart,27.0
j10,5,proactive_SAA_smart,60,True,37.0,0.16463899612426758,0.00023508071899414062,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 8, 10, 2, 1, 1, 9, 5, 1, 5, 7, 0]",SAA_smart,30.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.00043392181396484375,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 7, 6, 1, 2, 2, 6, 4, 2, 2, 10, 0]",SAA_smart,28.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.0003771781921386719,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 7, 6, 1, 2, 2, 7, 4, 1, 4, 9, 0]",SAA_smart,27.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.0003800392150878906,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 11, 7, 2, 1, 1, 6, 6, 1, 4, 10, 0]",SAA_smart,31.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.00024318695068359375,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 6, 11, 2, 2, 1, 5, 7, 2, 5, 8, 0]",SAA_smart,28.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.0002238750457763672,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 8, 7, 1, 3, 2, 8, 7, 2, 3, 7, 0]",SAA_smart,30.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.00022292137145996094,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 9, 6, 1, 3, 1, 6, 6, 1, 4, 6, 0]",SAA_smart,26.0
j10,5,proactive_SAA_smart,60,True,36.0,0.16463899612426758,0.0002231597900390625,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 6, 7, 2, 2, 2, 5, 3, 2, 3, 10, 0]",SAA_smart,28.0
j10,6,proactive_SAA_smart,60,False,inf,inf,inf,,"[0, 1, 2, 3, 6, 10, 8, 6, 1, 6, 6, 0]",SAA_smart,34.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.00029015541076660156,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 11, 1, 5, 10, 5, 3, 5, 2, 6, 1, 0]",SAA_smart,40.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.00026607513427734375,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 7, 1, 2, 11, 9, 3, 4, 1, 11, 3, 0]",SAA_smart,45.0
j10,7,proactive_SAA_smart,60,True,46.0,0.15860199928283691,0.00027680397033691406,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 10, 1, 5, 10, 7, 6, 4, 1, 7, 2, 0]",SAA_smart,42.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.0002307891845703125,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 6, 1, 4, 11, 6, 3, 3, 2, 6, 1, 0]",SAA_smart,40.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.0002510547637939453,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 7, 1, 2, 6, 8, 4, 3, 1, 9, 3, 0]",SAA_smart,43.0
j10,7,proactive_SAA_smart,60,True,46.0,0.15860199928283691,0.0004010200500488281,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 11, 1, 3, 7, 8, 6, 2, 2, 9, 1, 0]",SAA_smart,44.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.0002491474151611328,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 8, 1, 2, 6, 8, 3, 4, 1, 10, 2, 0]",SAA_smart,44.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.00025010108947753906,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 8, 1, 5, 8, 6, 2, 3, 3, 11, 1, 0]",SAA_smart,45.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.00024700164794921875,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 9, 1, 3, 7, 8, 2, 2, 3, 8, 2, 0]",SAA_smart,42.0
j10,7,proactive_SAA_smart,60,True,45.0,0.15860199928283691,0.000247955322265625,"[0, 3, 28, 0, 0, 14, 40, 29, 30, 29, 0, 45]","[0, 9, 1, 2, 8, 5, 2, 3, 2, 11, 1, 0]",SAA_smart,45.0
j10,8,proactive_SAA_smart,60,True,44.0,0.353118896484375,0.0003390312194824219,"[0, 12, 0, 10, 23, 27, 34, 40, 34, 43, 37, 44]","[0, 11, 9, 2, 6, 4, 2, 1, 1, 1, 2, 0]",SAA_smart,40.0
