instance_id,method,real_durations,rel_regret
14,STNU,"[0, 1, 1, 3, 2, 7, 7, 1, 5, 6, 1, 8, 5, 2, 5, 4, 1, 8, 7, 12, 11, 6, 1, 8, 1, 3, 3, 3, 4, 12, 6, 0]",0.0
14,STNU,"[0, 1, 2, 1, 1, 9, 6, 1, 5, 7, 1, 6, 9, 3, 8, 7, 1, 9, 11, 9, 7, 11, 1, 4, 2, 4, 1, 1, 6, 11, 6, 0]",0.0
14,STNU,"[0, 1, 2, 2, 1, 6, 5, 1, 6, 9, 1, 9, 7, 1, 6, 7, 1, 10, 7, 10, 9, 7, 1, 5, 1, 3, 3, 3, 8, 6, 3, 0]",0.0
14,STNU,"[0, 1, 2, 3, 1, 6, 3, 1, 6, 7, 1, 8, 9, 3, 4, 6, 2, 7, 10, 9, 11, 7, 1, 6, 2, 5, 1, 1, 8, 10, 6, 0]",0.0
14,STNU,"[0, 1, 2, 3, 2, 6, 4, 1, 7, 10, 1, 8, 7, 2, 8, 7, 2, 8, 11, 9, 8, 8, 1, 8, 2, 4, 1, 1, 4, 12, 5, 0]",0.0
14,STNU,"[0, 1, 3, 1, 3, 10, 3, 1, 7, 7, 1, 7, 5, 1, 4, 5, 3, 6, 7, 10, 7, 8, 1, 6, 2, 2, 1, 3, 4, 10, 3, 0]",0.0
14,STNU,"[0, 1, 3, 1, 3, 10, 4, 1, 9, 7, 1, 9, 7, 1, 7, 5, 1, 10, 10, 8, 10, 11, 1, 4, 1, 2, 2, 2, 4, 7, 2, 0]",0.0
14,STNU,"[0, 1, 3, 1, 3, 8, 5, 1, 9, 12, 1, 12, 7, 3, 6, 8, 1, 8, 7, 9, 11, 11, 1, 8, 2, 3, 1, 3, 8, 6, 5, 0]",0.0
14,proactive,"[0, 1, 1, 1, 1, 10, 3, 1, 5, 12, 1, 12, 6, 2, 5, 4, 1, 12, 6, 7, 7, 7, 1, 6, 2, 3, 1, 2, 7, 8, 4, 0]",0.0
14,proactive,"[0, 1, 1, 1, 3, 9, 6, 1, 5, 6, 1, 7, 8, 1, 8, 7, 2, 7, 7, 11, 8, 10, 1, 4, 2, 4, 1, 2, 7, 9, 3, 0]",0.0
14,proactive,"[0, 1, 1, 2, 2, 8, 3, 1, 8, 9, 1, 11, 5, 2, 4, 4, 2, 12, 8, 8, 7, 6, 1, 5, 1, 3, 2, 1, 5, 9, 4, 0]",0.0
14,proactive,"[0, 1, 1, 2, 3, 11, 7, 1, 5, 10, 1, 6, 6, 2, 5, 6, 1, 11, 8, 7, 8, 8, 1, 8, 1, 5, 1, 1, 4, 6, 4, 0]",0.0
