instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,4,robust_quantile_0.9,60,True,41.0,0.047937870025634766,0.00019216537475585938,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 6, 1, 2, 1, 6, 1, 4, 5, 7, 4, 0]"
j10,4,robust_quantile_0.9,60,True,41.0,0.047937870025634766,0.00018310546875,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 6, 2, 6, 2, 6, 1, 5, 3, 6, 6, 0]"
j10,4,robust_quantile_0.9,60,True,41.0,0.047937870025634766,0.00017213821411132812,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 7, 2, 3, 1, 7, 1, 2, 3, 7, 5, 0]"
j10,4,robust_quantile_0.9,60,True,41.0,0.047937870025634766,0.0002028942108154297,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 8, 1, 2, 2, 9, 1, 4, 7, 9, 7, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00023794174194335938,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 11, 9, 1, 1, 2, 6, 6, 2, 5, 6, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00019598007202148438,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 6, 7, 1, 2, 1, 6, 5, 1, 4, 11, 0]"
j10,5,robust_quantile_0.9,60,True,37.0,0.04763507843017578,0.00019288063049316406,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 8, 10, 2, 1, 1, 9, 5, 1, 5, 7, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00021505355834960938,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 7, 6, 1, 2, 2, 6, 4, 2, 2, 10, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00021314620971679688,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 7, 6, 1, 2, 2, 7, 4, 1, 4, 9, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00020313262939453125,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 11, 7, 2, 1, 1, 6, 6, 1, 4, 10, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00020813941955566406,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 6, 11, 2, 2, 1, 5, 7, 2, 5, 8, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.0002040863037109375,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 8, 7, 1, 3, 2, 8, 7, 2, 3, 7, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00019979476928710938,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 9, 6, 1, 3, 1, 6, 6, 1, 4, 6, 0]"
j10,5,robust_quantile_0.9,60,True,36.0,0.04763507843017578,0.00019311904907226562,"[0, 0, 0, 11, 7, 15, 28, 17, 13, 17, 17, 36]","[0, 6, 7, 2, 2, 2, 5, 3, 2, 3, 10, 0]"
j10,6,robust_quantile_0.9,60,False,inf,inf,inf,,"[0, 1, 2, 3, 6, 10, 8, 6, 1, 6, 6, 0]"
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.0002429485321044922,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 11, 1, 5, 10, 5, 3, 5, 2, 6, 1, 0]"
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.0002079010009765625,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 7, 1, 2, 11, 9, 3, 4, 1, 11, 3, 0]"
j10,7,robust_quantile_0.9,60,True,46.0,0.04776406288146973,0.00020194053649902344,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 10, 1, 5, 10, 7, 6, 4, 1, 7, 2, 0]"
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.0001819133758544922,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 6, 1, 4, 11, 6, 3, 3, 2, 6, 1, 0]"
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.00018906593322753906,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 7, 1, 2, 6, 8, 4, 3, 1, 9, 3, 0]"
j10,7,robust_quantile_0.9,60,True,46.0,0.04776406288146973,0.00022912025451660156,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 11, 1, 3, 7, 8, 6, 2, 2, 9, 1, 0]"
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.0002009868621826172,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 8, 1, 2, 6, 8, 3, 4, 1, 10, 2, 0]"
j10,7,robust_quantile_0.9,60,True,45.0,0.04776406288146973,0.00020122528076171875,"[0, 0, 28, 0, 0, 12, 40, 29, 30, 29, 21, 45]","[0, 8, 1, 5, 8, 6, 2, 3, 3, 11, 1, 0]"
