instance_folder,instance_id,method,time_limit_pi,time_limit_cp_stnu,obj,obj_pi,rel_regret,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo100,21,STNU,60,60,inf,262.0,100.0,False,True,"[0, 5, 5, 9, 3, 7, 3, 2, 5, 1, 1, 2, 12, 10, 6, 1, 1, 8, 7, 5, 4, 4, 1, 1, 4, 3, 6, 2, 2, 10, 7, 7, 10, 4, 1, 5, 5, 5, 1, 7, 5, 8, 8, 6, 5, 12, 1, 1, 5, 3, 1, 6, 1, 12, 5, 5, 7, 4, 5, 5, 2, 4, 1, 4, 2, 5, 3, 11, 7, 2, 2, 2, 1, 4, 9, 12, 7, 9, 1, 3, 2, 5, 1, 1, 3, 6, 9, 5, 1, 2, 8, 3, 2, 1, 2, 4, 8, 1, 9, 1, 10, 0]",,1.7710638046264648,0.0
ubo100,22,STNU,60,60,inf,479.0,100.0,False,True,"[0, 8, 2, 1, 3, 1, 1, 7, 2, 2, 5, 11, 2, 3, 7, 10, 11, 3, 1, 1, 2, 8, 8, 3, 1, 5, 2, 1, 2, 1, 3, 1, 1, 8, 2, 3, 6, 6, 8, 12, 2, 1, 2, 5, 8, 9, 6, 1, 1, 2, 1, 10, 9, 2, 2, 6, 1, 7, 9, 2, 1, 11, 7, 2, 2, 8, 1, 3, 11, 8, 6, 8, 7, 6, 2, 7, 1, 6, 9, 4, 5, 11, 1, 7, 12, 1, 1, 6, 1, 6, 2, 2, 6, 8, 4, 1, 5, 3, 1, 2, 1, 0]",,2.98944091796875,0.0
ubo100,23,STNU,60,60,inf,270.0,100.0,False,True,"[0, 3, 3, 4, 2, 9, 5, 4, 6, 1, 6, 4, 3, 6, 1, 6, 9, 6, 1, 1, 2, 6, 6, 1, 2, 8, 3, 2, 1, 7, 11, 3, 9, 1, 2, 8, 7, 6, 9, 2, 5, 5, 12, 1, 11, 2, 8, 2, 1, 1, 12, 7, 3, 7, 2, 3, 1, 11, 2, 2, 1, 5, 10, 2, 6, 8, 11, 9, 3, 5, 9, 6, 1, 1, 8, 9, 10, 2, 1, 7, 2, 6, 1, 1, 3, 5, 6, 6, 1, 6, 8, 6, 3, 8, 5, 4, 6, 8, 8, 5, 5, 0]",,1.8163609504699707,0.0
ubo100,24,STNU,60,60,inf,192.0,100.0,False,True,"[0, 1, 3, 2, 6, 12, 1, 2, 1, 1, 8, 5, 4, 1, 4, 5, 1, 5, 1, 3, 1, 6, 11, 4, 6, 3, 3, 7, 1, 1, 4, 6, 1, 9, 7, 5, 3, 1, 3, 12, 10, 1, 6, 11, 6, 1, 4, 4, 4, 1, 5, 3, 5, 10, 5, 8, 1, 5, 5, 4, 2, 3, 7, 4, 1, 1, 9, 2, 1, 4, 2, 1, 5, 7, 3, 4, 8, 12, 5, 4, 6, 2, 5, 5, 2, 5, 3, 8, 7, 2, 9, 5, 8, 6, 8, 4, 3, 1, 9, 4, 6, 0]",,1.8505668640136719,0.0
ubo100,25,STNU,60,60,inf,194.0,100.0,False,True,"[0, 1, 1, 4, 3, 9, 1, 2, 3, 1, 2, 3, 9, 1, 10, 6, 9, 3, 1, 1, 1, 4, 5, 2, 4, 1, 5, 5, 9, 7, 1, 7, 2, 1, 4, 1, 8, 2, 4, 8, 1, 1, 1, 8, 5, 3, 6, 4, 3, 1, 7, 6, 6, 6, 1, 1, 8, 1, 1, 6, 7, 2, 5, 9, 1, 12, 3, 4, 5, 2, 1, 2, 7, 10, 2, 3, 1, 9, 3, 3, 6, 1, 7, 1, 6, 4, 1, 9, 9, 10, 1, 1, 7, 5, 4, 7, 11, 11, 5, 6, 6, 0]",,1.9741041660308838,0.0
ubo100,26,STNU,60,60,inf,179.0,100.0,False,True,"[0, 9, 1, 5, 9, 5, 8, 3, 8, 5, 5, 6, 7, 5, 2, 1, 2, 1, 5, 2, 1, 6, 2, 11, 6, 6, 4, 1, 6, 3, 3, 1, 4, 2, 3, 6, 4, 6, 2, 5, 8, 8, 2, 5, 5, 2, 2, 1, 4, 4, 7, 3, 3, 1, 11, 1, 9, 1, 12, 5, 4, 6, 8, 5, 5, 4, 2, 9, 3, 7, 6, 1, 11, 4, 5, 5, 4, 2, 3, 6, 2, 1, 9, 10, 6, 2, 5, 1, 3, 5, 4, 7, 10, 1, 8, 10, 9, 5, 1, 1, 1, 0]",,1.8719260692596436,0.0
ubo100,27,STNU,60,60,inf,200.0,100.0,False,True,"[0, 1, 5, 9, 1, 4, 5, 2, 4, 5, 8, 3, 1, 5, 7, 12, 3, 10, 6, 2, 5, 6, 6, 2, 1, 9, 8, 8, 11, 5, 5, 1, 1, 1, 2, 4, 2, 6, 7, 5, 7, 5, 1, 1, 2, 6, 1, 5, 2, 4, 5, 6, 6, 7, 7, 1, 10, 1, 5, 1, 4, 1, 6, 4, 6, 5, 5, 6, 1, 11, 1, 2, 6, 1, 6, 9, 12, 5, 1, 4, 2, 3, 9, 5, 7, 2, 5, 1, 1, 4, 5, 8, 1, 6, 1, 9, 12, 8, 6, 10, 9, 0]",,6.844575881958008,0.0
ubo100,28,STNU,60,60,inf,242.0,100.0,False,True,"[0, 6, 10, 2, 11, 6, 5, 1, 2, 6, 9, 9, 5, 1, 2, 6, 7, 5, 5, 6, 6, 11, 10, 7, 4, 7, 1, 6, 1, 1, 2, 1, 1, 5, 8, 1, 7, 1, 4, 1, 10, 1, 1, 7, 3, 2, 5, 9, 10, 1, 10, 8, 2, 1, 9, 2, 1, 11, 10, 4, 5, 1, 6, 9, 7, 12, 1, 1, 2, 2, 6, 2, 8, 5, 6, 2, 7, 5, 5, 3, 2, 8, 6, 1, 9, 9, 6, 6, 9, 6, 12, 8, 5, 2, 7, 4, 11, 4, 3, 4, 1, 0]",,1.5290920734405518,0.0
ubo100,29,STNU,60,60,inf,285.0,100.0,False,True,"[0, 5, 7, 9, 3, 9, 1, 9, 4, 6, 11, 8, 5, 11, 3, 6, 10, 6, 4, 8, 10, 5, 5, 1, 7, 1, 2, 4, 5, 6, 10, 8, 2, 6, 2, 3, 9, 6, 1, 11, 10, 1, 2, 9, 9, 4, 1, 6, 6, 3, 2, 2, 7, 8, 5, 3, 1, 5, 7, 1, 3, 5, 2, 8, 1, 8, 9, 3, 1, 2, 6, 5, 1, 8, 7, 1, 1, 1, 5, 8, 1, 6, 7, 7, 5, 1, 2, 1, 1, 1, 7, 6, 7, 5, 2, 8, 5, 3, 8, 2, 6, 0]",,1.7311861515045166,0.0
ubo100,30,STNU,60,60,inf,196.0,100.0,False,True,"[0, 6, 7, 3, 7, 5, 1, 11, 6, 7, 5, 9, 8, 1, 5, 1, 1, 8, 6, 8, 7, 1, 4, 10, 1, 4, 4, 11, 1, 11, 2, 1, 1, 7, 9, 10, 5, 8, 6, 1, 2, 8, 2, 1, 6, 10, 1, 6, 9, 1, 8, 6, 1, 9, 1, 1, 5, 6, 1, 3, 6, 11, 3, 2, 11, 7, 8, 5, 3, 12, 11, 9, 3, 1, 5, 1, 1, 7, 9, 1, 6, 1, 5, 5, 1, 5, 6, 4, 4, 6, 8, 5, 3, 1, 6, 6, 12, 1, 3, 3, 4, 0]",,1.525925874710083,0.0
