instance_folder,instance_id,method,time_limit_pi,time_limit_cp_stnu,obj,obj_pi,feasibility,feasibility_pi,rel_regret,real_durations,start_times
j10,7,STNU,60,60,inf,42.0,False,True,100.0,"[0, 10, 1, 3, 6, 9, 4, 5, 1, 8, 1, 0]",
j10,7,STNU,60,60,inf,44.0,False,True,100.0,"[0, 7, 1, 5, 9, 9, 5, 2, 1, 10, 3, 0]",
j10,7,STNU,60,60,inf,45.0,False,True,100.0,"[0, 9, 1, 2, 12, 8, 3, 6, 1, 11, 3, 0]",
j10,7,STNU,60,60,inf,43.0,False,True,100.0,"[0, 8, 1, 3, 11, 7, 6, 4, 2, 8, 2, 0]",
j10,7,STNU,60,60,inf,43.0,False,True,100.0,"[0, 11, 1, 3, 9, 8, 2, 6, 2, 9, 3, 0]",
j10,7,STNU,60,60,inf,45.0,False,True,100.0,"[0, 6, 1, 4, 12, 8, 3, 5, 3, 11, 3, 0]",
j10,7,STNU,60,60,inf,44.0,False,True,100.0,"[0, 11, 1, 5, 8, 5, 6, 2, 2, 9, 1, 0]",
j10,7,STNU,60,60,inf,41.0,False,True,100.0,"[0, 6, 1, 2, 7, 7, 6, 6, 3, 6, 2, 0]",
j10,7,STNU,60,60,inf,43.0,False,True,100.0,"[0, 6, 1, 2, 11, 7, 6, 5, 1, 8, 2, 0]",
j10,7,STNU,60,60,inf,41.0,False,True,100.0,"[0, 9, 1, 5, 7, 9, 6, 6, 2, 6, 2, 0]",
j10,8,STNU,60,60,inf,41.0,False,True,100.0,"[0, 6, 12, 3, 8, 5, 1, 2, 2, 1, 3, 0]",
j10,8,STNU,60,60,inf,39.0,False,True,100.0,"[0, 8, 10, 3, 6, 5, 2, 1, 2, 1, 1, 0]",
j10,8,STNU,60,60,inf,36.0,False,True,100.0,"[0, 7, 7, 5, 7, 4, 2, 1, 1, 1, 2, 0]",
j10,8,STNU,60,60,inf,41.0,False,True,100.0,"[0, 9, 12, 2, 7, 4, 3, 2, 2, 1, 3, 0]",
j10,8,STNU,60,60,inf,39.0,False,True,100.0,"[0, 10, 9, 4, 9, 6, 3, 1, 1, 1, 1, 0]",
j10,8,STNU,60,60,inf,40.0,False,True,100.0,"[0, 7, 11, 2, 11, 3, 1, 1, 1, 1, 2, 0]",
j10,8,STNU,60,60,inf,35.0,False,True,100.0,"[0, 6, 6, 3, 6, 4, 3, 3, 1, 1, 3, 0]",
j10,8,STNU,60,60,inf,37.0,False,True,100.0,"[0, 11, 6, 3, 11, 3, 3, 3, 2, 1, 2, 0]",
j10,8,STNU,60,60,inf,36.0,False,True,100.0,"[0, 6, 6, 3, 7, 6, 2, 1, 2, 1, 2, 0]",
j10,8,STNU,60,60,inf,40.0,False,True,100.0,"[0, 8, 11, 5, 6, 5, 3, 1, 1, 1, 3, 0]",
j10,9,STNU,60,60,51.0,41.0,True,True,24.390243902439025,"[0, 3, 6, 2, 10, 8, 4, 9, 6, 3, 2, 0]","[0, 2, 15, 0, 2, 12, 20, 32, 41, 30, 28, 51]"
j10,9,STNU,60,60,47.0,42.0,True,True,11.904761904761905,"[0, 4, 6, 1, 10, 6, 7, 5, 8, 6, 4, 0]","[0, 1, 14, 0, 1, 11, 17, 31, 37, 31, 27, 47]"
j10,9,STNU,60,60,49.0,41.0,True,True,19.51219512195122,"[0, 3, 12, 2, 9, 6, 4, 7, 11, 3, 5, 0]","[0, 2, 14, 0, 2, 11, 17, 31, 38, 32, 27, 48]"
j10,9,STNU,60,60,46.0,41.0,True,True,12.195121951219512,"[0, 6, 10, 1, 8, 9, 3, 5, 12, 6, 2, 0]","[0, 1, 12, 0, 1, 9, 18, 29, 34, 27, 25, 44]"
j10,9,STNU,60,60,45.0,42.0,True,True,7.142857142857143,"[0, 6, 9, 2, 7, 5, 6, 6, 8, 6, 4, 0]","[0, 2, 12, 0, 2, 9, 16, 29, 35, 29, 25, 45]"
j10,9,STNU,60,60,49.0,41.0,True,True,19.51219512195122,"[0, 5, 7, 1, 10, 5, 4, 6, 12, 6, 3, 0]","[0, 1, 14, 0, 1, 11, 16, 31, 37, 30, 27, 47]"
j10,9,STNU,60,60,49.0,44.0,True,True,11.363636363636363,"[0, 6, 10, 1, 11, 7, 5, 7, 9, 7, 3, 0]","[0, 1, 15, 0, 1, 12, 19, 32, 39, 31, 28, 49]"
j10,9,STNU,60,60,47.0,40.0,True,True,17.5,"[0, 5, 7, 2, 7, 9, 4, 8, 6, 7, 2, 0]","[0, 2, 12, 0, 2, 9, 18, 29, 37, 27, 25, 47]"
j10,9,STNU,60,60,49.0,44.0,True,True,11.363636363636363,"[0, 6, 12, 2, 8, 5, 5, 9, 10, 4, 2, 0]","[0, 2, 13, 0, 2, 10, 16, 30, 39, 28, 26, 49]"
j10,9,STNU,60,60,47.0,39.0,True,True,20.512820512820515,"[0, 3, 10, 2, 9, 5, 5, 6, 7, 4, 4, 0]","[0, 2, 14, 0, 2, 11, 16, 31, 37, 31, 27, 47]"
