instance_folder,instance_id,obj,method,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,real_durations,estimated_start_times,start_times,time_offline,time_online,mode,estimated_durations
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 5, 1, 6, 4, 1, 4, 6, 6, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.048506975173950195,0.45090818405151367,robust,"[0, 1, 5, 1, 6, 4, 1, 4, 6, 6, 6, 0]"
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 5, 3, 6, 7, 2, 4, 4, 7, 3, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.046113014221191406,0.45171308517456055,robust,"[0, 1, 5, 3, 6, 7, 2, 4, 4, 7, 3, 0]"
j10,3,40.0,reactive_robust,2,30,1,True,"[0, 1, 5, 3, 11, 7, 2, 3, 5, 12, 3, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.04763174057006836,0.4078552722930908,robust,"[0, 1, 5, 3, 11, 7, 2, 3, 5, 13, 3, 0]"
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 4, 3, 8, 4, 1, 4, 2, 6, 4, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.04742288589477539,0.4549388885498047,robust,"[0, 1, 4, 3, 8, 4, 1, 4, 2, 6, 4, 0]"
j10,3,38.0,reactive_robust,2,30,1,True,"[0, 1, 5, 2, 9, 3, 1, 6, 4, 10, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.04813504219055176,0.46350812911987305,robust,"[0, 1, 5, 2, 9, 3, 1, 6, 4, 10, 6, 0]"
j10,4,inf,reactive_robust,2,30,1,False,"[0, 8, 1, 2, 2, 8, 1, 2, 3, 7, 8, 0]",,,inf,inf,robust,"[0, 10, 3, 7, 4, 10, 2, 7, 8, 13, 9, 0]"
j10,4,inf,reactive_robust,2,30,1,False,"[0, 9, 1, 3, 3, 9, 1, 4, 7, 9, 8, 0]",,,inf,inf,robust,"[0, 10, 3, 7, 4, 10, 2, 7, 8, 13, 9, 0]"
j10,4,inf,reactive_robust,2,30,1,False,"[0, 7, 1, 4, 1, 6, 1, 3, 3, 12, 5, 0]",,,inf,inf,robust,"[0, 10, 3, 7, 4, 10, 2, 7, 8, 13, 9, 0]"
j10,4,inf,reactive_robust,2,30,1,False,"[0, 6, 2, 3, 2, 5, 1, 6, 4, 6, 4, 0]",,,inf,inf,robust,"[0, 10, 3, 7, 4, 10, 2, 7, 8, 13, 9, 0]"
j10,4,inf,reactive_robust,2,30,1,False,"[0, 8, 2, 4, 2, 5, 1, 5, 4, 7, 7, 0]",,,inf,inf,robust,"[0, 10, 3, 7, 4, 10, 2, 7, 8, 13, 9, 0]"
