instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 8, 3, 5, 1, 8, 2, 2, 8, 2, 6, 5, 2, 8, 5, 4, 10, 3, 4, 7, 9, 2, 7, 3, 11, 1, 1, 2, 8, 6, 1, 6, 1, 3, 1, 9, 6, 9, 5, 1, 4, 7, 3, 2, 1, 7, 9, 3, 2, 2, 6, 2, 1, 2, 5, 6, 9, 6, 3, 7, 4, 5, 5, 9, 8, 1, 2, 8, 8, 7, 1, 3, 2, 7, 1, 7, 10, 2, 1, 5, 6, 5, 6, 1, 9, 6, 1, 7, 1, 3, 2, 9, 10, 8, 6, 6, 3, 5, 8, 12, 6, 0]",,0.06952095031738281,1.0013580322265625e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 8, 4, 9, 1, 9, 1, 2, 6, 3, 6, 5, 5, 4, 7, 4, 12, 7, 4, 7, 7, 1, 7, 3, 9, 2, 3, 2, 7, 11, 1, 4, 1, 4, 1, 6, 6, 12, 5, 1, 4, 3, 3, 4, 1, 7, 6, 3, 3, 1, 7, 3, 1, 5, 7, 11, 8, 8, 2, 6, 4, 5, 2, 6, 9, 1, 2, 9, 5, 5, 2, 1, 1, 8, 1, 9, 8, 5, 1, 3, 6, 3, 7, 1, 9, 4, 1, 3, 1, 5, 2, 11, 11, 8, 4, 2, 3, 5, 4, 8, 5, 0]",,0.06742501258850098,1.52587890625e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 8, 4, 7, 1, 8, 2, 2, 6, 2, 7, 4, 3, 4, 7, 6, 8, 3, 8, 6, 11, 2, 6, 4, 8, 1, 3, 1, 7, 11, 1, 6, 1, 3, 1, 5, 6, 11, 8, 1, 6, 7, 4, 5, 2, 5, 7, 4, 2, 1, 8, 2, 1, 4, 6, 10, 6, 8, 3, 10, 2, 2, 2, 7, 6, 1, 1, 9, 7, 5, 2, 2, 2, 10, 1, 7, 7, 4, 1, 5, 9, 5, 5, 2, 5, 3, 1, 6, 1, 3, 2, 7, 12, 5, 6, 6, 4, 2, 6, 6, 6, 0]",,0.06888031959533691,1.3828277587890625e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 2, 5, 1, 6, 2, 1, 8, 3, 4, 8, 2, 6, 5, 6, 9, 3, 6, 8, 7, 2, 8, 3, 9, 3, 1, 1, 8, 9, 1, 6, 1, 7, 1, 6, 9, 7, 6, 1, 7, 7, 4, 3, 2, 8, 9, 3, 1, 2, 7, 3, 1, 4, 6, 8, 8, 8, 1, 8, 3, 2, 3, 10, 8, 1, 1, 11, 6, 5, 2, 2, 1, 12, 1, 6, 9, 5, 1, 3, 9, 4, 7, 1, 5, 5, 1, 3, 1, 5, 1, 7, 7, 5, 6, 5, 4, 5, 6, 7, 5, 0]",,0.07216572761535645,1.52587890625e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 7, 3, 7, 1, 9, 1, 2, 4, 4, 3, 8, 2, 8, 9, 6, 9, 7, 8, 8, 10, 2, 10, 4, 12, 2, 2, 2, 6, 10, 1, 6, 1, 3, 1, 9, 11, 10, 7, 1, 5, 3, 2, 4, 1, 4, 7, 5, 1, 1, 6, 3, 1, 4, 5, 10, 5, 8, 2, 10, 3, 3, 5, 7, 8, 1, 1, 8, 9, 7, 2, 2, 1, 12, 1, 11, 10, 2, 1, 3, 11, 7, 7, 2, 6, 6, 1, 3, 1, 4, 2, 7, 8, 8, 6, 3, 4, 3, 6, 12, 6, 0]",,0.06794428825378418,1.1682510375976562e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 8, 4, 6, 1, 8, 2, 2, 6, 3, 6, 4, 4, 7, 7, 5, 12, 5, 6, 9, 8, 2, 6, 4, 10, 2, 2, 1, 5, 9, 1, 3, 1, 4, 1, 5, 10, 9, 5, 1, 6, 5, 2, 3, 2, 8, 5, 3, 1, 2, 8, 3, 1, 2, 5, 10, 7, 4, 3, 8, 4, 4, 2, 6, 9, 1, 2, 9, 9, 4, 2, 1, 1, 11, 2, 10, 9, 5, 1, 5, 8, 6, 7, 2, 5, 2, 1, 3, 1, 5, 1, 11, 12, 9, 3, 2, 2, 5, 6, 12, 6, 0]",,0.06902122497558594,1.2874603271484375e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 6, 4, 7, 1, 7, 2, 2, 6, 4, 7, 8, 3, 5, 7, 5, 9, 7, 6, 6, 7, 1, 9, 4, 10, 2, 3, 2, 4, 9, 1, 2, 1, 7, 1, 9, 10, 9, 7, 1, 7, 7, 2, 2, 1, 6, 7, 5, 1, 1, 8, 2, 1, 2, 5, 11, 9, 5, 2, 10, 3, 3, 2, 11, 5, 1, 1, 11, 8, 7, 2, 2, 1, 9, 2, 7, 10, 6, 1, 4, 10, 5, 6, 2, 6, 3, 1, 6, 1, 2, 2, 6, 9, 9, 5, 2, 5, 2, 4, 9, 7, 0]",,0.06717228889465332,1.1920928955078125e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 2, 8, 1, 5, 1, 2, 4, 4, 5, 8, 4, 5, 8, 3, 12, 5, 5, 10, 6, 1, 6, 4, 6, 3, 3, 1, 5, 9, 1, 2, 1, 3, 1, 7, 6, 6, 7, 1, 4, 5, 5, 3, 2, 4, 9, 3, 2, 2, 8, 2, 1, 4, 5, 11, 6, 5, 2, 6, 4, 5, 3, 8, 6, 1, 2, 6, 7, 4, 1, 3, 1, 10, 1, 9, 9, 2, 1, 3, 10, 3, 5, 2, 8, 6, 1, 4, 1, 4, 1, 8, 7, 9, 3, 6, 3, 2, 6, 6, 7, 0]",,0.06644511222839355,1.2159347534179688e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 3, 7, 1, 7, 2, 2, 6, 3, 5, 6, 5, 7, 7, 3, 6, 5, 4, 7, 11, 1, 7, 2, 11, 3, 1, 1, 8, 8, 1, 6, 1, 7, 1, 8, 10, 8, 7, 1, 7, 3, 3, 2, 2, 5, 7, 5, 3, 1, 7, 1, 1, 5, 8, 9, 5, 7, 2, 6, 4, 2, 3, 6, 8, 1, 2, 11, 9, 3, 2, 1, 1, 10, 1, 11, 7, 4, 1, 2, 7, 5, 7, 1, 7, 3, 1, 6, 1, 2, 3, 11, 12, 7, 3, 2, 3, 2, 4, 7, 7, 0]",,0.07100081443786621,1.2874603271484375e-05
ubo100,2,0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 3, 8, 1, 5, 2, 1, 7, 4, 6, 7, 4, 7, 9, 2, 11, 4, 4, 10, 9, 2, 6, 3, 6, 1, 3, 2, 6, 11, 1, 6, 1, 7, 1, 5, 8, 6, 8, 1, 5, 6, 2, 2, 1, 7, 9, 5, 1, 2, 5, 1, 1, 3, 6, 9, 8, 6, 3, 6, 5, 3, 2, 11, 8, 1, 1, 11, 9, 7, 2, 3, 1, 10, 1, 11, 6, 6, 1, 4, 8, 4, 5, 1, 5, 5, 1, 6, 1, 3, 1, 10, 12, 7, 5, 6, 2, 3, 5, 11, 4, 0]",,0.06719303131103516,1.0967254638671875e-05
