instance_id,method,real_durations,rel_regret
1,STNU,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",0.0
1,STNU,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",0.0
1,STNU,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",0.0
1,STNU,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",0.0
1,STNU,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",0.0
1,STNU,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",0.0
1,STNU,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",0.0
1,STNU,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",0.0
1,STNU,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",0.0
1,STNU,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",0.0
1,proactive,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",11.538461538461538
1,proactive,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",11.538461538461538
1,proactive,"[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",11.538461538461538
1,proactive,"[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",11.538461538461538
1,proactive,"[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",11.538461538461538
1,proactive,"[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",11.538461538461538
1,proactive,"[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",11.538461538461538
1,proactive,"[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",3.571428571428572
1,proactive,"[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",11.538461538461538
1,proactive,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",11.538461538461538
1,reactive,"[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",0.0
1,reactive,"[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",0.0
1,reactive,"[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",0.0
3,proactive,"[0, 1, 4, 3, 9, 4, 3, 4, 2, 12, 4, 0]",2.702702702702702
3,proactive,"[0, 1, 5, 2, 6, 7, 1, 4, 4, 9, 4, 0]",2.857142857142857
3,proactive,"[0, 1, 5, 3, 11, 7, 2, 2, 5, 6, 7, 0]",5.882352941176471
3,proactive,"[0, 1, 6, 3, 8, 3, 2, 4, 2, 10, 4, 0]",2.857142857142857
