,Activity,Product,Resource,Request moment,Start,Finish
0,18_1,18,Harvesting tanks A,41,41,61
1,6_1,6,Harvesting tanks A,0,0,66
2,5_1,5,Harvesting tanks A,42,42,66
3,3_2,3,Filters A,64,64,85
4,3_9,3,Filters A,64,64,85
5,19_1,19,Harvesting tanks A,42,66,90
6,16_2,16,Filters A,75,75,92
7,18_3,18,Harvesting tanks A,41,41,95
8,3_3,3,Microfilter,64,64,95
9,3_4,3,Buffer tanks,64,64,95
10,3_10,3,Microfilter,64,64,95
11,3_11,3,Buffer tanks,64,64,95
12,10_0,10,Fermenter_5,0,0,96
13,1_1,1,Harvesting tanks B,48,48,100
14,11_1,11,Harvesting tanks B,45,45,101
15,1_2,1,Filters A,82,85,103
16,10_2,10,Filters A,90,92,104
17,3_5,3,Microfilter,75,75,106
18,3_6,3,Buffer tanks,75,75,106
19,3_12,3,Microfilter,75,75,106
20,3_13,3,Buffer tanks,75,75,106
21,5_3,5,Harvesting tanks A,42,61,119
22,19_3,19,Harvesting tanks A,42,66,124
23,1_3,1,Microfilter,84,106,126
24,1_4,1,Buffer tanks,82,106,128
25,3_1,3,Harvesting tanks B,54,101,132
26,13_2,13,Filters A,92,103,132
27,11_5,11,Harvesting tanks B,45,45,133
28,6_3,6,Filters A,95,104,134
29,10_3,10,Microfilter,90,106,135
30,10_4,10,Buffer tanks,90,106,135
31,11_2,11,Filters A,81,85,137
32,16_3,16,Microfilter,75,95,137
33,16_4,16,Buffer tanks,75,95,137
34,1_5,1,Microfilter,92,126,146
35,5_0,5,Fermenter_3,0,0,150
36,11_3,11,Harvesting tanks A,45,90,151
37,15_3,15,Harvesting tanks A,72,124,154
38,1_6,1,Buffer tanks,92,135,155
39,7_1,7,Harvesting tanks A,58,95,159
40,11_4,11,Buffer tanks,81,95,159
41,17_3,17,Filters A,117,134,162
42,3_8,3,Harvesting tanks B,54,132,163
43,15_0,15,Fermenter_4,0,0,167
44,13_1,13,Harvesting tanks B,52,100,169
45,11_9,11,Filters A,117,132,171
46,18_2,18,Harvesting tanks B,41,41,172
47,18_4,18,Filters B,95,95,172
48,17_4,17,Filters A,117,137,174
49,7_0,7,Fermenter_1,0,0,181
50,13_4,13,Buffer tanks,92,128,181
51,14_1,14,Harvesting tanks A,95,154,183
52,13_3,13,Microfilter,95,135,185
53,11_7,11,Microfilter,82,95,188
54,3_7,3,Stabilization tanks,95,95,195
55,16_1,16,Harvesting tanks B,59,163,195
56,14_0,14,Fermenter_2,0,0,199
57,3_14,3,Stabilization tanks,95,95,199
58,6_4,6,Microfilter,97,146,199
59,1_7,1,Stabilization tanks,104,104,201
60,4_2,4,Filters A,147,171,201
61,15_7,15,Filters A,148,174,201
62,9_2,9,Filters A,117,162,203
63,10_5,10,Stabilization tanks,119,119,208
64,5_2,5,Harvesting tanks B,42,42,209
65,19_2,19,Harvesting tanks B,42,42,209
66,16_5,16,Stabilization tanks,117,117,210
67,6_5,6,Buffer tanks,95,155,210
68,18_6,18,Buffer tanks,95,137,211
69,15_4,15,Harvesting tanks A,72,151,221
70,6_2,6,Harvesting tanks B,66,169,228
71,10_1,10,Harvesting tanks B,81,209,230
72,7_2,7,Harvesting tanks A,58,119,231
73,14_3,14,Harvesting tanks A,95,159,231
74,2_2,2,Filters A,151,201,231
75,18_5,18,Microfilter,95,137,232
76,13_5,13,Stabilization tanks,145,145,238
77,17_13,17,Stabilization tanks,129,129,254
78,18_7,18,Microfilter,103,199,255
79,14_4,14,Filters A,156,201,255
80,13_0,13,Fermenter_1,0,181,257
81,0_0,0,Fermenter_5,0,96,258
82,9_1,9,Harvesting tanks B,71,172,259
83,17_1,17,Harvesting tanks B,86,209,267
84,12_2,12,Filters A,172,231,267
85,11_12,11,Stabilization tanks,114,114,268
86,7_3,7,Harvesting tanks B,58,133,269
87,18_13,18,Stabilization tanks,119,119,270
88,7_5,7,Filters A,176,255,273
89,5_13,5,Stabilization tanks,131,131,280
90,19_13,19,Stabilization tanks,131,131,280
91,5_4,5,Filters B,100,172,281
92,5_6,5,Buffer tanks,100,159,284
93,11_0,11,Fermenter_4,0,167,284
94,7_6,7,Filters A,180,267,285
95,15_8,15,Filters A,158,203,287
96,6_6,6,Stabilization tanks,150,199,288
97,17_2,17,Harvesting tanks B,86,228,296
98,18_8,18,Buffer tanks,103,210,297
99,15_5,15,Harvesting tanks B,72,195,298
100,0_5,0,Stabilization tanks,189,210,299
101,19_6,19,Buffer tanks,100,181,306
102,14_2,14,Harvesting tanks B,95,230,308
103,14_10,14,Filters A,204,273,308
104,5_5,5,Microfilter,100,185,310
105,9_9,9,Stabilization tanks,148,195,312
106,19_5,19,Microfilter,100,188,313
107,8_0,8,Fermenter_3,0,150,315
108,2_7,2,Stabilization tanks,179,208,316
109,18_14,18,Stabilization tanks,154,201,317
110,0_1,0,Harvesting tanks B,132,296,322
111,11_6,11,Harvesting tanks B,99,267,324
112,4_1,4,Harvesting tanks B,116,269,330
113,18_15,18,Stabilization tanks,190,238,331
114,5_8,5,Buffer tanks,110,211,336
115,18_10,18,Buffer tanks,111,297,345
116,11_10,11,Microfilter,116,313,347
117,5_7,5,Microfilter,110,232,357
118,2_1,2,Harvesting tanks B,136,322,367
119,11_8,11,Buffer tanks,113,306,368
120,18_9,18,Microfilter,111,310,368
121,11_11,11,Buffer tanks,117,336,369
122,12_0,12,Fermenter_2,0,199,370
123,4_7,4,Stabilization tanks,192,268,371
124,14_5,14,Harvesting tanks B,95,259,374
125,19_7,19,Microfilter,110,255,380
126,17_6,17,Buffer tanks,117,345,382
127,17_5,17,Microfilter,118,347,383
128,7_11,7,Stabilization tanks,210,288,385
129,19_4,19,Filters B,100,281,390
130,5_14,5,Stabilization tanks,192,254,391
131,12_1,12,Harvesting tanks B,147,330,392
132,17_7,17,Microfilter,118,357,393
133,9_4,9,Buffer tanks,117,369,400
134,4_0,4,Fermenter_1,0,257,401
135,8_5,8,Stabilization tanks,274,312,401
136,0_2,0,Filters B,147,390,401
137,14_9,14,Harvesting tanks B,134,298,402
138,17_8,17,Buffer tanks,117,368,405
139,12_7,12,Stabilization tanks,216,299,406
140,19_14,19,Stabilization tanks,192,270,407
141,19_8,19,Buffer tanks,110,284,409
142,7_4,7,Harvesting tanks B,157,367,409
143,9_3,9,Microfilter,119,380,409
144,8_1,8,Harvesting tanks B,135,308,421
145,18_12,18,Microfilter,119,368,426
146,15_6,15,Harvesting tanks B,137,324,429
147,14_13,14,Stabilization tanks,202,280,438
148,15_17,15,Stabilization tanks,201,280,440
149,18_11,18,Buffer tanks,119,382,440
150,2_0,2,Fermenter_4,0,284,442
151,17_10,17,Buffer tanks,129,409,444
152,17_9,17,Microfilter,129,409,444
153,18_0,18,Fermenter_3,0,315,450
154,17_11,17,Microfilter,129,426,462
155,5_9,5,Microfilter,121,383,467
156,5_10,5,Buffer tanks,121,400,471
157,9_0,9,Fermenter_2,0,370,472
158,19_10,19,Buffer tanks,121,405,476
159,17_12,17,Buffer tanks,129,440,476
160,19_9,19,Microfilter,121,393,477
161,5_12,5,Microfilter,131,444,481
162,6_0,6,Fermenter_1,0,401,492
163,9_5,9,Microfilter,132,467,496
164,8_2,8,Filters B,150,401,499
165,19_12,19,Microfilter,131,462,499
166,9_8,9,Buffer tanks,145,476,503
167,9_7,9,Microfilter,145,477,504
168,9_6,9,Buffer tanks,132,476,505
169,5_11,5,Buffer tanks,131,444,518
170,0_3,0,Microfilter,147,481,523
171,1_0,1,Fermenter_2,0,472,533
172,4_3,4,Microfilter,149,499,542
173,19_11,19,Buffer tanks,131,471,545
174,0_4,0,Buffer tanks,147,505,547
175,17_0,17,Fermenter_4,0,442,548
176,4_4,4,Buffer tanks,147,503,548
177,2_3,2,Microfilter,151,523,551
178,15_10,15,Microfilter,149,496,557
179,2_4,2,Buffer tanks,151,547,575
180,15_11,15,Buffer tanks,148,518,580
181,3_0,3,Fermenter_2,0,533,599
182,19_0,19,Fermenter_3,0,450,600
183,4_5,4,Microfilter,163,557,600
184,15_12,15,Microfilter,159,551,612
185,4_6,4,Buffer tanks,163,580,623
186,8_3,8,Microfilter,150,504,628
187,14_6,14,Buffer tanks,156,548,635
188,15_13,15,Buffer tanks,158,575,637
189,14_7,14,Microfilter,158,542,654
190,2_5,2,Microfilter,166,628,656
191,15_1,15,Microfilter,164,600,660
192,2_6,2,Buffer tanks,166,635,663
193,8_4,8,Buffer tanks,150,545,669
194,15_14,15,Microfilter,164,612,672
195,16_0,16,Fermenter_2,0,599,681
196,12_4,12,Buffer tanks,172,637,681
197,7_7,7,Microfilter,177,656,689
198,7_9,7,Microfilter,181,660,693
199,12_3,12,Microfilter,172,654,698
200,15_2,15,Buffer tanks,174,663,713
201,7_8,7,Buffer tanks,176,681,714
202,12_5,12,Microfilter,190,672,716
203,15_15,15,Buffer tanks,174,669,719
204,15_9,15,Buffer tanks,164,623,727
205,14_12,14,Microfilter,202,689,731
206,7_10,7,Buffer tanks,180,713,746
207,15_16,15,Microfilter,209,693,753
208,12_6,12,Buffer tanks,190,719,763
209,14_11,14,Buffer tanks,192,727,763
210,14_8,14,Buffer tanks,189,714,795
