,Activity,Product,Resource,Request moment,Start,Finish
0,2_1,2,Harvesting tanks A,27,27,67
1,9_1,9,Harvesting tanks A,0,0,81
2,9_12,9,Harvesting tanks A,0,0,81
3,2_2,2,Harvesting tanks A,27,27,95
4,5_0,5,Fermenter_5,0,0,96
5,7_0,7,Fermenter_3,0,0,102
6,5_2,5,Filters A,90,90,102
7,8_1,8,Harvesting tanks A,75,75,116
8,9_4,9,Filters A,90,90,118
9,5_3,5,Microfilter,90,90,119
10,5_4,5,Buffer tanks,90,90,119
11,8_16,8,Harvesting tanks A,75,81,122
12,2_0,2,Fermenter_1,0,0,123
13,9_5,9,Filters A,90,90,127
14,9_15,9,Filters A,90,102,130
15,9_6,9,Buffer tanks,90,90,138
16,9_17,9,Buffer tanks,90,90,138
17,2_3,2,Harvesting tanks B,27,27,140
18,9_7,9,Microfilter,90,90,144
19,9_8,9,Buffer tanks,90,90,144
20,9_9,9,Microfilter,90,90,144
21,9_18,9,Microfilter,90,90,144
22,6_1,6,Harvesting tanks B,68,68,150
23,7_2,7,Harvesting tanks B,71,71,150
24,9_16,9,Filters A,90,118,155
25,0_1,0,Harvesting tanks B,71,71,158
26,7_1,7,Harvesting tanks B,71,71,158
27,8_2,8,Harvesting tanks A,75,81,162
28,6_2,6,Filters A,114,127,164
29,0_4,0,Buffer tanks,117,138,169
30,4_0,4,Fermenter_2,0,0,171
31,0_2,0,Filters A,117,130,171
32,5_1,5,Harvesting tanks B,81,150,171
33,9_20,9,Microfilter,90,119,173
34,9_19,9,Buffer tanks,90,119,173
35,0_3,0,Microfilter,119,144,173
36,8_17,8,Harvesting tanks A,75,95,176
37,2_7,2,Microfilter,119,144,178
38,2_4,2,Filters A,117,155,178
39,8_0,8,Fermenter_4,0,0,180
40,2_8,2,Buffer tanks,117,144,181
41,1_2,1,Filters B,154,154,184
42,8_3,8,Harvesting tanks B,75,75,192
43,9_3,9,Harvesting tanks B,81,158,195
44,9_2,9,Harvesting tanks B,81,150,196
45,2_6,2,Filters A,130,178,196
46,7_7,7,Microfilter,119,173,200
47,9_10,9,Buffer tanks,124,181,201
48,7_8,7,Buffer tanks,117,173,202
49,9_13,9,Harvesting tanks B,81,158,204
