,Activity,Product,Resource,Request moment,Start,Finish
0,2_1,2,Harvest tank E,42,42,66
1,8_1,8,Harvest tank E,27,27,67
2,8_2,8,Harvest tank E,27,27,95
3,2_3,2,Harvest tank E,42,42,100
4,9_1,9,Harvest tank V01,45,45,101
5,7_1,7,Harvest tank V01,45,45,101
6,1_0,1,V140,0,0,112
7,5_3,5,Harvest tank E,72,95,125
8,9_3,9,Harvest tank E,45,66,127
9,7_3,7,Harvest tank E,45,67,128
10,9_5,9,Harvest tank V01,45,45,133
11,7_5,7,Harvest tank V01,45,45,133
12,9_2,9,FAM,81,81,133
13,7_2,7,FAM,81,81,133
14,1_2,1,FAM,94,94,135
15,8_3,8,Harvest tank V01,27,27,140
16,6_0,6,V100,0,0,144
17,9_4,9,F+L,81,81,145
18,7_4,7,F+L,81,81,145
19,2_0,2,V200,0,0,150
20,1_1,1,Harvest tank V01,85,101,151
21,8_4,8,FAM,117,133,156
22,4_0,4,V218,0,0,158
23,1_3,1,UF,94,94,159
24,1_4,1,F+L,94,94,159
25,0_3,0,FAM,117,135,163
26,5_4,5,Harvest tank E,72,100,170
27,9_9,9,FAM,117,133,172
28,9_7,9,UF,82,82,175
29,7_7,7,UF,82,82,175
30,8_6,8,FAM,130,172,190
31,0_1,0,Harvest tank V01,86,133,191
32,0_4,0,FAM,117,156,193
33,9_6,9,Harvest tank V01,99,140,197
34,0_2,0,Harvest tank V01,86,133,201
35,7_9,7,FAM,117,163,202
36,5_5,5,Harvest tank V01,72,101,204
37,9_8,9,F+L,113,145,207
38,7_6,7,Harvest tank V01,99,151,208
39,2_2,2,Harvest tank V01,42,42,209
40,2_4,2,MF,100,100,209
41,9_10,9,UF,116,175,209
42,7_10,7,UF,116,175,209
43,6_2,6,FAM,147,190,220
44,5_7,5,FAM,148,193,220
45,7_8,7,F+L,113,159,221
46,2_5,2,UF,100,100,225
47,2_6,2,F+L,100,100,225
48,8_5,8,Harvest tank V01,108,191,230
49,4_2,4,FAM,151,202,232
50,3_2,3,MF,154,209,239
51,8_8,8,F+L,117,207,244
52,0_5,0,UF,118,209,245
53,0_7,0,UF,118,209,245
54,4_1,4,Harvest tank V01,136,201,246
55,1_5,1,V300,159,159,252
56,0_13,0,V300,129,129,254
57,3_1,3,Harvest tank V01,139,208,254
58,9_11,9,F+L,117,221,254
59,8_14,8,V300,153,153,255
60,6_1,6,Harvest tank V01,116,197,258
61,8_7,8,UF,119,225,259
62,0_6,0,F+L,117,225,262
63,8_0,8,V100,0,144,267
64,9_0,9,V200,0,150,267
65,9_12,9,V300,114,114,268
66,7_12,7,V300,114,114,268
67,2_8,2,F+L,110,145,270
68,2_13,2,V300,131,131,280
69,0_9,0,UF,129,245,280
70,0_8,0,F+L,117,244,281
71,2_7,2,UF,110,159,284
72,4_7,4,V300,179,179,287
73,7_11,7,F+L,117,254,287
74,6_7,6,V300,192,192,295
75,0_11,0,UF,129,259,295
76,3_5,3,V300,207,207,300
77,5_8,5,FAM,158,220,304
78,0_10,0,F+L,129,270,305
79,5_6,5,Harvest tank V01,137,204,309
80,2_12,2,UF,131,280,317
81,0_12,0,F+L,129,281,317
82,8_10,8,UF,131,284,317
83,8_13,8,F+L,130,287,324
84,5_0,5,V218,0,158,325
85,2_14,2,V300,192,192,329
86,2_9,2,UF,121,245,329
87,8_12,8,UF,132,295,329
88,2_10,2,F+L,121,262,333
89,8_9,8,F+L,131,317,341
90,8_11,8,F+L,145,324,343
91,4_3,4,UF,151,329,357
92,6_3,6,UF,149,317,360
93,5_17,5,V300,201,201,361
94,4_4,4,F+L,151,343,371
95,5_10,5,UF,149,317,378
96,6_4,6,F+L,147,333,378
97,2_11,2,F+L,131,305,379
98,3_3,3,UF,154,329,382
99,7_0,7,V200,0,267,384
100,5_11,5,F+L,148,341,403
101,6_5,6,UF,163,360,403
102,5_12,5,UF,159,357,418
103,6_6,6,F+L,163,379,422
104,3_4,3,F+L,154,371,424
105,3_0,3,V100,0,267,429
106,0_0,0,V218,0,325,431
107,4_5,4,UF,166,403,431
108,5_1,5,UF,164,378,438
109,5_13,5,F+L,158,378,440
110,5_14,5,UF,164,382,442
111,4_6,4,F+L,166,422,450
112,5_2,5,F+L,174,424,474
113,5_16,5,UF,209,418,478
114,5_15,5,F+L,174,440,490
115,5_9,5,F+L,164,403,507
