,Activity,Product,Resource,Request moment,Start,Finish
0,1_0,1,Fermenter_2,0,0,61
1,18_1,18,Harvesting tanks A,41,41,61
2,6_1,6,Harvesting tanks A,0,0,66
3,5_1,5,Harvesting tanks A,42,42,66
4,3_2,3,Filters A,64,64,85
5,3_9,3,Filters A,64,64,85
6,19_1,19,Harvesting tanks A,42,66,90
7,16_2,16,Filters A,75,75,92
8,18_3,18,Harvesting tanks A,41,41,95
9,3_3,3,Microfilter,64,64,95
10,3_4,3,Buffer tanks,64,64,95
11,3_10,3,Microfilter,64,64,95
12,3_11,3,Buffer tanks,64,64,95
13,1_1,1,Harvesting tanks B,48,48,100
14,11_1,11,Harvesting tanks B,45,45,101
15,1_2,1,Filters A,82,85,103
16,10_2,10,Filters A,90,92,104
17,3_5,3,Microfilter,75,75,106
18,3_6,3,Buffer tanks,75,75,106
19,3_12,3,Microfilter,75,75,106
20,3_13,3,Buffer tanks,75,75,106
21,5_3,5,Harvesting tanks A,42,61,119
22,19_3,19,Harvesting tanks A,42,66,124
23,1_3,1,Microfilter,84,106,126
24,3_0,3,Fermenter_2,0,61,127
25,1_4,1,Buffer tanks,82,106,128
26,3_1,3,Harvesting tanks B,54,101,132
27,13_2,13,Filters A,92,103,132
28,11_5,11,Harvesting tanks B,45,45,133
29,6_3,6,Filters A,95,104,134
30,10_3,10,Microfilter,90,106,135
31,10_4,10,Buffer tanks,90,106,135
32,11_2,11,Filters A,81,85,137
33,16_3,16,Microfilter,75,95,137
34,16_4,16,Buffer tanks,75,95,137
35,4_0,4,Fermenter_1,0,0,144
36,1_5,1,Microfilter,92,126,146
37,1_6,1,Buffer tanks,92,128,148
38,5_0,5,Fermenter_3,0,0,150
39,11_3,11,Harvesting tanks A,45,90,151
40,15_3,15,Harvesting tanks A,72,124,154
41,2_0,2,Fermenter_4,0,0,158
42,7_1,7,Harvesting tanks A,58,95,159
43,11_4,11,Buffer tanks,81,95,159
44,0_0,0,Fermenter_5,0,0,162
45,3_8,3,Harvesting tanks B,54,132,163
46,17_3,17,Filters A,117,137,165
47,13_1,13,Harvesting tanks B,52,100,169
48,18_2,18,Harvesting tanks B,41,41,172
49,18_4,18,Filters B,95,95,172
50,9_2,9,Filters A,117,132,173
51,11_9,11,Filters A,117,134,173
52,14_1,14,Harvesting tanks A,95,154,183
53,13_3,13,Microfilter,95,135,185
54,11_7,11,Microfilter,82,95,188
55,13_4,13,Buffer tanks,92,135,188
56,6_5,6,Buffer tanks,95,137,192
57,3_7,3,Stabilization tanks,95,95,195
58,16_1,16,Harvesting tanks B,59,163,195
59,3_14,3,Stabilization tanks,95,95,199
60,6_4,6,Microfilter,97,146,199
61,15_7,15,Filters A,148,173,200
62,1_7,1,Stabilization tanks,104,104,201
63,17_4,17,Filters A,117,165,202
64,4_2,4,Filters A,147,173,203
65,10_5,10,Stabilization tanks,119,119,208
66,5_2,5,Harvesting tanks B,42,42,209
67,19_2,19,Harvesting tanks B,42,42,209
68,16_5,16,Stabilization tanks,117,117,210
69,15_4,15,Harvesting tanks A,72,151,221
70,18_6,18,Buffer tanks,95,148,222
71,6_2,6,Harvesting tanks B,66,169,228
72,9_0,9,Fermenter_2,0,127,229
73,2_2,2,Filters A,151,200,230
74,10_1,10,Harvesting tanks B,81,209,230
75,7_2,7,Harvesting tanks A,58,119,231
76,14_3,14,Harvesting tanks A,95,159,231
77,18_5,18,Microfilter,95,137,232
78,6_0,6,Fermenter_1,0,144,235
79,13_5,13,Stabilization tanks,145,145,238
80,17_13,17,Stabilization tanks,129,129,254
81,18_7,18,Microfilter,103,199,255
82,14_4,14,Filters A,156,202,256
83,10_0,10,Fermenter_5,0,162,258
84,9_1,9,Harvesting tanks B,71,172,259
85,12_2,12,Filters A,172,230,266
86,17_1,17,Harvesting tanks B,86,209,267
87,11_12,11,Stabilization tanks,114,114,268
88,7_3,7,Harvesting tanks B,58,133,269
89,18_13,18,Stabilization tanks,119,119,270
90,7_5,7,Filters A,176,256,274
91,11_0,11,Fermenter_4,0,158,275
92,18_8,18,Buffer tanks,103,192,279
93,5_13,5,Stabilization tanks,131,131,280
94,19_13,19,Stabilization tanks,131,131,280
95,5_4,5,Filters B,100,172,281
96,5_6,5,Buffer tanks,100,159,284
97,7_6,7,Filters A,180,266,284
98,15_8,15,Filters A,158,203,287
99,6_6,6,Stabilization tanks,150,199,288
100,17_2,17,Harvesting tanks B,86,228,296
101,15_5,15,Harvesting tanks B,72,195,298
102,0_5,0,Stabilization tanks,189,210,299
103,14_2,14,Harvesting tanks B,95,230,308
104,14_10,14,Filters A,204,274,309
105,5_5,5,Microfilter,100,185,310
106,9_9,9,Stabilization tanks,148,195,312
107,19_5,19,Microfilter,100,188,313
108,19_6,19,Buffer tanks,100,188,313
109,8_0,8,Fermenter_3,0,150,315
110,2_7,2,Stabilization tanks,179,208,316
111,18_14,18,Stabilization tanks,154,201,317
112,0_1,0,Harvesting tanks B,132,296,322
113,11_6,11,Harvesting tanks B,99,267,324
114,4_1,4,Harvesting tanks B,116,269,330
115,18_15,18,Stabilization tanks,190,238,331
116,18_10,18,Buffer tanks,111,284,332
117,5_8,5,Buffer tanks,110,222,347
118,11_10,11,Microfilter,116,313,347
119,5_7,5,Microfilter,110,232,357
120,4_7,4,Stabilization tanks,192,254,357
121,9_4,9,Buffer tanks,117,332,363
122,2_1,2,Harvesting tanks B,136,322,367
123,18_9,18,Microfilter,111,310,368
124,14_5,14,Harvesting tanks B,95,259,374
125,11_8,11,Buffer tanks,113,313,375
126,19_7,19,Microfilter,110,255,380
127,11_11,11,Buffer tanks,117,347,380
128,17_5,17,Microfilter,118,347,383
129,7_11,7,Stabilization tanks,210,288,385
130,19_4,19,Filters B,100,281,390
131,12_1,12,Harvesting tanks B,147,330,392
132,17_7,17,Microfilter,118,357,393
133,9_3,9,Microfilter,119,368,397
134,12_0,12,Fermenter_2,0,229,400
135,17_6,17,Buffer tanks,117,363,400
136,8_5,8,Stabilization tanks,274,312,401
137,0_2,0,Filters B,147,390,401
138,14_9,14,Harvesting tanks B,134,298,402
139,19_8,19,Buffer tanks,110,279,404
140,5_14,5,Stabilization tanks,192,268,405
141,12_7,12,Stabilization tanks,216,299,406
142,19_14,19,Stabilization tanks,192,270,407
143,7_4,7,Harvesting tanks B,157,367,409
144,17_8,17,Buffer tanks,117,375,412
145,7_0,7,Fermenter_1,0,235,416
146,8_1,8,Harvesting tanks B,135,308,421
147,15_6,15,Harvesting tanks B,137,324,429
148,17_9,17,Microfilter,129,397,432
149,14_13,14,Stabilization tanks,202,280,438
150,18_12,18,Microfilter,119,380,438
151,18_11,18,Buffer tanks,119,380,438
152,15_17,15,Stabilization tanks,201,280,440
