,seed,makespan,lateness,nr_unfinished_products
0,27706,934.2634978910469,200.46612528990374,0
1,30099,918.273406107264,174.273406107264,0
2,49977,988.6036353639531,277.117282706944,0
3,21945,933.4963285259272,195.1607928262025,0
4,84910,928.8500069269842,211.06625956210792,0
5,36379,971.914012773621,252.68204794571227,0
6,99963,926.3734928563867,184.00072274521676,0
7,15163,955.5043369825038,217.0899025703801,0
8,77385,930.3232772797107,197.39478419390196,0
9,15414,925.5569863438518,181.5569863438518,0
10,41205,980.1495407400475,271.32416926556357,0
11,56123,951.8431994272726,219.82840893412572,0
12,62470,941.1048481660832,197.3380267841253,0
13,73150,928.6886612524023,184.6886612524023,0
14,83800,976.6980674865947,251.32034267272593,0
15,79142,944.3783396230931,206.86036565521613,0
16,34521,920.726472224377,176.72647222437695,0
17,1715,951.7478182899002,228.12240789345128,0
18,86706,946.8663129328916,202.86631293289156,0
19,24765,973.2038706845271,267.79438816019046,0
20,26140,955.1394276607805,223.49576308253347,0
21,15077,945.4548056081493,225.50178601655705,0
22,43363,930.4850397986778,186.4850397986778,0
23,20411,963.8142645680423,228.397296849751,0
24,9070,938.8259359502065,217.33824040409763,0
25,94420,945.1958108141569,211.6856311343371,0
26,50887,971.9448439061747,261.013502901479,0
27,57910,936.9294155949542,207.96024453815653,0
28,44692,943.7919512084179,203.2955032776497,0
29,4377,940.5524216381522,196.55242163815217,0
30,93768,918.8622384678487,188.19253163705594,0
31,23245,967.2749864835237,228.7943733733748,0
32,93328,940.8534205244955,235.28519402482493,0
33,53323,955.2857870045016,229.33047821790626,0
34,89037,931.8368286525379,208.92938674214372,0
35,43192,934.7153753030183,206.06481314121504,0
36,76298,924.1422205604118,193.2692242991376,0
37,16479,960.4497510718237,239.05538717225795,0
38,93319,968.6449821904558,263.9201175348637,0
39,59993,977.2728949297023,272.8366270556403,0
40,16438,923.3508014350268,179.35080143502682,0
41,19016,957.5550494171017,240.96049111309605,0
42,42345,952.7392369231497,238.70582092074903,0
43,6718,953.3770299563215,246.13743107435778,0
44,85986,915.4554980084517,171.5437277044024,0
45,43253,944.3669512112734,206.07947405080677,0
46,70429,926.8311247250598,198.94693369738945,0
47,52377,926.2696948257976,188.03085700767065,0
48,24877,962.0568353312195,253.5428299274722,0
49,22765,943.1082288987036,243.42795057604974,0
50,61708,920.4790898377131,176.9089699237926,0
51,87981,935.1678141721317,213.34144509714292,0
52,89272,934.7793962560108,190.77939625601084,0
53,62729,930.5543342714483,186.55433427144828,0
54,20708,946.9364236702862,229.0846263112934,0
55,37463,978.2657457135117,234.2657457135117,0
56,84223,934.2856079885079,197.3230356908639,0
57,16376,963.4586905445263,247.7019264876185,0
58,66636,977.3786504968925,250.6477736137232,0
59,70798,934.4539842793166,214.11792046242283,0
60,99657,936.9379642000524,208.86542316676127,0
61,17092,924.7519053138861,180.75190531388614,0
62,592,949.9782040478121,216.8352264843602,0
63,45319,978.7722665108151,265.9958306363684,0
64,53634,957.9139261770805,229.9035203713995,0
65,62257,974.3001450191879,272.2247781414586,0
66,8317,929.0454902471154,203.77649665932267,0
67,97762,928.9526318160059,213.42772920549498,0
68,82460,943.4856552766876,200.4813999906453,0
69,4355,945.7034543340974,206.27093124125304,0
