,Product_ID,Deadlines,Fermentation_sequence
0,19,744,16
1,19,744,7
2,22,744,13
3,40,744,6
4,7,744,17
5,28,744,11
6,14,744,2
7,35,744,5
8,13,744,20
9,35,744,14
10,30,744,15
11,20,744,18
12,43,744,19
13,20,744,8
14,34,744,9
15,37,744,4
16,37,744,10
17,5,744,3
18,41,744,12
19,10,744,1
20,0,1416,32
21,27,1416,34
22,4,1416,26
23,20,1416,28
24,33,1416,23
25,7,1416,27
26,4,1416,33
27,20,1416,38
28,9,1416,39
29,13,1416,29
30,6,1416,40
31,13,1416,30
32,8,1416,37
33,13,1416,21
34,38,1416,36
35,3,1416,35
36,43,1416,31
37,22,1416,24
38,5,1416,25
39,42,1416,22
40,38,2160,53
41,30,2160,55
42,3,2160,50
43,21,2160,56
44,32,2160,45
45,8,2160,44
46,40,2160,43
47,16,2160,41
48,42,2160,54
49,31,2160,49
50,30,2160,58
51,20,2160,59
52,26,2160,42
53,13,2160,60
54,38,2160,46
55,26,2160,52
56,39,2160,48
57,12,2160,51
58,21,2160,57
59,27,2160,47
60,27,2880,79
61,25,2880,65
62,15,2880,63
63,14,2880,64
64,13,2880,76
65,42,2880,69
66,20,2880,72
67,39,2880,78
68,36,2880,67
69,38,2880,74
70,36,2880,66
71,26,2880,68
72,8,2880,80
73,10,2880,75
74,32,2880,70
75,6,2880,61
76,20,2880,62
77,41,2880,71
78,3,2880,77
79,41,2880,73
80,32,3624,95
81,40,3624,88
82,35,3624,91
83,6,3624,89
84,35,3624,93
85,11,3624,82
86,19,3624,94
87,11,3624,99
88,13,3624,83
89,34,3624,96
90,0,3624,81
91,0,3624,98
92,29,3624,86
93,28,3624,97
94,14,3624,90
95,6,3624,100
96,31,3624,87
97,38,3624,84
98,22,3624,92
99,8,3624,85
100,23,4344,117
101,25,4344,118
102,10,4344,101
103,6,4344,104
104,41,4344,109
105,2,4344,116
106,8,4344,120
107,23,4344,115
108,1,4344,107
109,26,4344,103
110,39,4344,119
111,18,4344,106
112,16,4344,112
113,2,4344,108
114,15,4344,111
115,0,4344,113
116,24,4344,102
117,2,4344,110
118,30,4344,114
119,8,4344,105
