,Product_ID,Deadlines,Fermentation_sequence
0,36,744,5
1,28,744,7
2,13,744,17
3,6,744,6
4,6,744,3
5,13,744,16
6,37,744,15
7,1,744,12
8,43,744,9
9,43,744,11
10,35,744,8
11,42,744,14
12,14,744,19
13,21,744,20
14,12,744,10
15,18,744,1
16,5,744,18
17,18,744,13
18,19,744,2
19,17,744,4
20,7,1416,31
21,20,1416,22
22,7,1416,24
23,9,1416,34
24,34,1416,39
25,24,1416,30
26,22,1416,36
27,26,1416,29
28,4,1416,33
29,8,1416,38
30,3,1416,37
31,40,1416,35
32,25,1416,27
33,27,1416,21
34,29,1416,32
35,17,1416,28
36,37,1416,40
37,27,1416,25
38,33,1416,26
39,6,1416,23
40,8,2160,60
41,6,2160,59
42,29,2160,45
43,9,2160,54
44,33,2160,47
45,16,2160,43
46,38,2160,48
47,24,2160,51
48,26,2160,56
49,0,2160,41
50,43,2160,52
51,30,2160,58
52,15,2160,44
53,16,2160,46
54,41,2160,55
55,36,2160,53
56,6,2160,49
57,38,2160,42
58,21,2160,57
59,16,2160,50
60,27,2880,69
61,0,2880,65
62,4,2880,68
63,12,2880,79
64,33,2880,77
65,39,2880,70
66,42,2880,66
67,7,2880,71
68,26,2880,78
69,28,2880,75
70,13,2880,73
71,26,2880,80
72,26,2880,76
73,15,2880,61
74,40,2880,62
75,12,2880,74
76,6,2880,63
77,36,2880,67
78,32,2880,64
79,29,2880,72
80,17,3624,88
81,30,3624,93
82,43,3624,91
83,33,3624,87
84,20,3624,97
85,34,3624,92
86,13,3624,100
87,43,3624,86
88,30,3624,99
89,13,3624,81
90,3,3624,90
91,8,3624,82
92,28,3624,94
93,6,3624,96
94,20,3624,89
95,29,3624,83
96,24,3624,84
97,30,3624,98
98,19,3624,95
99,33,3624,85
100,17,4344,113
101,42,4344,117
102,31,4344,110
103,18,4344,120
104,14,4344,119
105,6,4344,105
106,9,4344,115
107,17,4344,103
108,6,4344,116
109,12,4344,101
110,32,4344,112
111,31,4344,106
112,14,4344,114
113,16,4344,111
114,36,4344,107
115,9,4344,109
116,12,4344,108
117,25,4344,102
118,9,4344,104
119,14,4344,118
120,34,5088,131
121,18,5088,121
122,35,5088,124
123,43,5088,123
124,18,5088,128
125,32,5088,138
126,12,5088,136
127,22,5088,135
128,14,5088,125
129,13,5088,130
130,24,5088,122
131,35,5088,132
132,23,5088,140
133,5,5088,139
134,26,5088,133
135,34,5088,134
136,6,5088,126
137,20,5088,127
138,37,5088,129
139,28,5088,137
140,16,5832,147
141,1,5832,148
142,28,5832,143
143,32,5832,159
144,16,5832,152
145,37,5832,154
146,13,5832,155
147,38,5832,151
148,18,5832,158
149,2,5832,153
150,3,5832,157
151,29,5832,150
152,12,5832,141
153,41,5832,156
154,40,5832,142
155,27,5832,144
156,19,5832,160
157,34,5832,146
158,7,5832,149
159,39,5832,145
160,26,6552,168
161,41,6552,178
162,41,6552,163
163,29,6552,166
164,19,6552,165
165,37,6552,162
166,6,6552,174
167,36,6552,167
168,33,6552,171
169,23,6552,179
170,20,6552,175
171,4,6552,177
172,21,6552,170
173,16,6552,180
174,30,6552,173
175,15,6552,172
176,39,6552,176
177,32,6552,164
178,37,6552,161
179,34,6552,169
180,41,7296,186
181,39,7296,190
182,18,7296,194
183,32,7296,187
184,11,7296,183
185,10,7296,181
186,25,7296,189
187,16,7296,188
188,9,7296,195
189,20,7296,192
190,9,7296,199
191,39,7296,182
192,11,7296,197
193,20,7296,200
194,9,7296,191
195,4,7296,196
196,39,7296,198
197,3,7296,193
198,31,7296,185
199,15,7296,184
200,17,8016,207
201,12,8016,204
202,26,8016,208
203,1,8016,202
204,13,8016,209
205,22,8016,203
206,41,8016,210
207,2,8016,219
208,36,8016,205
209,35,8016,212
210,29,8016,214
211,31,8016,206
212,39,8016,215
213,7,8016,216
214,15,8016,218
215,35,8016,220
216,30,8016,217
217,39,8016,213
218,35,8016,201
219,15,8016,211
220,40,8760,225
221,17,8760,224
222,2,8760,223
223,16,8760,232
224,16,8760,221
225,33,8760,235
226,13,8760,240
227,41,8760,238
228,28,8760,231
229,16,8760,234
230,2,8760,222
231,7,8760,236
232,41,8760,230
233,37,8760,229
234,22,8760,226
235,0,8760,228
236,29,8760,237
237,43,8760,227
238,21,8760,239
239,30,8760,233
