,task,earliest_start,start,end,product_index,activity_id,product_id
0,0,499,499,680,0,0,7
1,1,557,557,621,0,1,7
2,2,557,557,669,0,2,7
3,3,675,675,693,0,3,7
4,4,557,557,693,0,4,7
5,5,679,679,697,0,5,7
6,6,656,656,697,0,6,7
7,7,675,675,709,0,7,7
8,8,676,676,709,0,8,7
9,9,679,679,713,0,9,7
10,10,680,680,713,0,10,7
11,11,709,709,806,0,11,7
12,12,1040,1040,1146,1,0,42
13,13,1157,1157,1185,1,1,42
14,14,1126,1126,1185,1,2,42
15,15,1157,1157,1194,1,3,42
16,16,1157,1157,1194,1,4,42
17,17,1157,1157,1194,1,5,42
18,18,1126,1126,1194,1,6,42
19,19,1158,1158,1194,1,7,42
20,20,1158,1158,1194,1,8,42
21,21,1169,1169,1203,1,9,42
22,22,1169,1169,1203,1,10,42
23,23,1169,1169,1205,1,11,42
24,24,1169,1169,1205,1,12,42
25,25,1169,1169,1294,1,13,42
26,26,1565,1565,1677,2,0,18
27,27,1662,1662,1677,2,1,18
28,28,1652,1652,1677,2,2,18
29,29,1662,1662,1681,2,3,18
30,30,1662,1662,1681,2,4,18
31,31,1667,1667,1685,2,5,18
32,32,1667,1667,1685,2,6,18
33,33,1672,1672,1689,2,7,18
34,34,1672,1672,1689,2,8,18
35,35,1681,1681,1778,2,9,18
36,36,498,498,594,3,0,17
37,37,588,588,600,3,1,17
38,38,579,579,600,3,2,17
39,39,598,598,627,3,3,17
40,40,588,588,617,3,4,17
41,41,617,617,706,3,5,17
42,42,765,765,882,4,0,15
43,43,810,810,866,4,1,15
44,44,810,810,871,4,2,15
45,45,846,846,898,4,3,15
46,46,810,810,898,4,4,15
47,47,846,846,910,4,5,15
48,48,882,882,915,4,6,15
49,49,881,881,915,4,7,15
50,50,882,882,921,4,8,15
51,51,864,864,921,4,9,15
52,52,878,878,940,4,10,15
53,53,847,847,940,4,11,15
54,54,879,879,1033,4,12,15
55,55,102,102,184,5,0,24
56,56,177,177,193,5,1,24
57,57,161,161,193,5,2,24
58,58,186,186,228,5,3,24
59,59,186,186,228,5,4,24
60,60,219,219,312,5,5,24
61,61,0,0,91,6,0,35
62,62,0,0,66,6,1,35
63,63,95,95,125,6,2,35
64,64,66,66,125,6,3,35
65,65,95,95,150,6,4,35
66,66,97,97,150,6,5,35
67,67,150,150,239,6,6,35
68,68,410,410,516,7,0,0
69,69,527,527,555,7,1,0
70,70,496,496,555,7,2,0
