instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,nb_scenarios_saa,obj_pi
j10,4,proactive_quantile_0.5,60,False,inf,0.04992485046386719,inf,"[0, 7, 6, 14, 0, 2, 6, 2, 7, 26, 7, 36]","[0, 8, 2, 4, 2, 5, 1, 5, 4, 7, 7, 0]",quantile_0.5,1,38.0
j10,4,proactive_quantile_0.5,60,False,inf,0.04992485046386719,inf,"[0, 7, 6, 14, 0, 2, 6, 2, 7, 26, 7, 36]","[0, 9, 1, 3, 1, 7, 1, 6, 3, 11, 7, 0]",quantile_0.5,1,39.0
j10,4,proactive_quantile_0.5,60,True,36.0,0.04992485046386719,0.00017309188842773438,"[0, 7, 6, 14, 0, 2, 6, 2, 7, 26, 7, 36]","[0, 6, 1, 2, 1, 6, 1, 4, 5, 7, 4, 0]",quantile_0.5,1,34.0
j10,4,proactive_quantile_0.5,60,False,inf,0.04992485046386719,inf,"[0, 7, 6, 14, 0, 2, 6, 2, 7, 26, 7, 36]","[0, 6, 2, 6, 2, 6, 1, 5, 3, 6, 6, 0]",quantile_0.5,1,36.0
j10,4,proactive_quantile_0.5,60,False,inf,0.04992485046386719,inf,"[0, 7, 6, 14, 0, 2, 6, 2, 7, 26, 7, 36]","[0, 7, 2, 3, 1, 7, 1, 2, 3, 7, 5, 0]",quantile_0.5,1,34.0
j10,4,proactive_quantile_0.5,60,False,inf,0.04992485046386719,inf,"[0, 7, 6, 14, 0, 2, 6, 2, 7, 26, 7, 36]","[0, 8, 1, 2, 2, 9, 1, 4, 7, 9, 7, 0]",quantile_0.5,1,37.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 11, 9, 1, 1, 2, 6, 6, 2, 5, 6, 0]",quantile_0.5,1,30.0
j10,5,proactive_quantile_0.5,60,True,29.0,0.04916787147521973,0.0002300739288330078,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 6, 7, 1, 2, 1, 6, 5, 1, 4, 11, 0]",quantile_0.5,1,27.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 8, 10, 2, 1, 1, 9, 5, 1, 5, 7, 0]",quantile_0.5,1,30.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 7, 6, 1, 2, 2, 6, 4, 2, 2, 10, 0]",quantile_0.5,1,28.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 7, 6, 1, 2, 2, 7, 4, 1, 4, 9, 0]",quantile_0.5,1,27.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 11, 7, 2, 1, 1, 6, 6, 1, 4, 10, 0]",quantile_0.5,1,31.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 6, 11, 2, 2, 1, 5, 7, 2, 5, 8, 0]",quantile_0.5,1,28.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 8, 7, 1, 3, 2, 8, 7, 2, 3, 7, 0]",quantile_0.5,1,30.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 9, 6, 1, 3, 1, 6, 6, 1, 4, 6, 0]",quantile_0.5,1,26.0
j10,5,proactive_quantile_0.5,60,False,inf,0.04916787147521973,inf,"[0, 1, 1, 0, 3, 17, 10, 19, 9, 6, 18, 27]","[0, 6, 7, 2, 2, 2, 5, 3, 2, 3, 10, 0]",quantile_0.5,1,28.0
j10,6,proactive_quantile_0.5,60,False,inf,inf,inf,,"[0, 1, 2, 3, 6, 10, 8, 6, 1, 6, 6, 0]",quantile_0.5,1,34.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 11, 1, 5, 10, 5, 3, 5, 2, 6, 1, 0]",quantile_0.5,1,40.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 7, 1, 2, 11, 9, 3, 4, 1, 11, 3, 0]",quantile_0.5,1,45.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 10, 1, 5, 10, 7, 6, 4, 1, 7, 2, 0]",quantile_0.5,1,42.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 6, 1, 4, 11, 6, 3, 3, 2, 6, 1, 0]",quantile_0.5,1,40.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 7, 1, 2, 6, 8, 4, 3, 1, 9, 3, 0]",quantile_0.5,1,43.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 11, 1, 3, 7, 8, 6, 2, 2, 9, 1, 0]",quantile_0.5,1,44.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 8, 1, 2, 6, 8, 3, 4, 1, 10, 2, 0]",quantile_0.5,1,44.0
j10,7,proactive_quantile_0.5,60,False,inf,0.04790496826171875,inf,"[0, 16, 28, 0, 0, 9, 37, 24, 33, 29, 0, 42]","[0, 8, 1, 5, 8, 6, 2, 3, 3, 11, 1, 0]",quantile_0.5,1,45.0
