instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations,mode,nb_scenarios_saa,obj_pi
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.00023889541625976562,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 9, 1, 1, 2, 5, 11, 2, 3, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.00018668174743652344,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 1, 7, 1, 2, 1, 3, 8, 1, 5, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.00020194053649902344,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 1, 9, 1, 3, 1, 4, 10, 2, 4, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.0002028942108154297,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 12, 1, 3, 2, 3, 7, 2, 4, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.0002319812774658203,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 6, 1, 2, 1, 2, 11, 2, 5, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.00018405914306640625,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 2, 6, 3, 3, 2, 3, 7, 2, 7, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.00017690658569335938,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 1, 7, 1, 3, 1, 2, 11, 2, 4, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.00018596649169921875,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 6, 1, 2, 3, 4, 7, 1, 4, 1, 0]",SAA_smart,4,26.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.0002040863037109375,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 11, 1, 2, 2, 5, 12, 1, 3, 1, 0]",SAA_smart,4,28.0
j10,1,proactive_SAA_smart,60,True,29.0,0.25473618507385254,0.0001800060272216797,"[0, 3, 0, 0, 0, 7, 24, 12, 24, 12, 5, 29]","[0, 3, 8, 2, 1, 3, 2, 6, 2, 4, 1, 0]",SAA_smart,4,26.0
j10,3,proactive_SAA_smart,60,True,37.0,0.43775367736816406,0.0002429485321044922,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 7, 1, 6, 4, 2, 2, 2, 7, 7, 0]",SAA_smart,4,33.0
j10,3,proactive_SAA_smart,60,True,37.0,0.43775367736816406,0.0002262592315673828,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 8, 3, 7, 5, 1, 4, 6, 9, 7, 0]",SAA_smart,4,35.0
j10,3,proactive_SAA_smart,60,True,39.0,0.43775367736816406,0.0002391338348388672,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 6, 1, 11, 5, 1, 3, 3, 12, 3, 0]",SAA_smart,4,36.0
j10,3,proactive_SAA_smart,60,True,37.0,0.43775367736816406,0.00021505355834960938,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 5, 2, 11, 4, 2, 2, 6, 7, 3, 0]",SAA_smart,4,33.0
j10,3,proactive_SAA_smart,60,True,39.0,0.43775367736816406,0.00020194053649902344,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 4, 2, 9, 5, 2, 2, 5, 12, 4, 0]",SAA_smart,4,35.0
j10,3,proactive_SAA_smart,60,True,37.0,0.43775367736816406,0.0001919269561767578,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 5, 1, 6, 4, 1, 4, 6, 6, 6, 0]",SAA_smart,4,35.0
j10,3,proactive_SAA_smart,60,True,37.0,0.43775367736816406,0.0001952648162841797,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 5, 3, 6, 7, 2, 4, 4, 7, 3, 0]",SAA_smart,4,35.0
j10,3,proactive_SAA_smart,60,True,39.0,0.43775367736816406,0.00028204917907714844,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 5, 3, 11, 7, 2, 3, 5, 12, 3, 0]",SAA_smart,4,36.0
j10,3,proactive_SAA_smart,60,True,37.0,0.43775367736816406,0.00020313262939453125,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 4, 3, 8, 4, 1, 4, 2, 6, 4, 0]",SAA_smart,4,35.0
j10,3,proactive_SAA_smart,60,True,37.0,0.43775367736816406,0.00021505355834960938,"[0, 8, 0, 17, 23, 11, 20, 21, 30, 27, 23, 37]","[0, 1, 5, 2, 9, 3, 1, 6, 4, 10, 6, 0]",SAA_smart,4,37.0
j10,4,proactive_SAA_smart,60,True,41.0,0.15529489517211914,0.0002300739288330078,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 8, 1, 2, 2, 8, 1, 2, 3, 7, 8, 0]",SAA_smart,4,35.0
j10,4,proactive_SAA_smart,60,True,41.0,0.15529489517211914,0.0003352165222167969,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 9, 1, 3, 3, 9, 1, 4, 7, 9, 8, 0]",SAA_smart,4,39.0
j10,4,proactive_SAA_smart,60,True,43.0,0.15529489517211914,0.00021219253540039062,"[0, 10, 9, 19, 0, 3, 9, 3, 11, 31, 11, 41]","[0, 7, 1, 4, 1, 6, 1, 3, 3, 12, 5, 0]",SAA_smart,4,36.0
