instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online,mode
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 6, 10, 5, 5, 8, 11, 1, 3, 7, 6, 8, 4, 2, 5, 6, 12, 7, 8, 5, 9, 8, 1, 10, 7, 9, 4, 2, 4, 4, 1, 11, 5, 7, 6, 7, 5, 1, 6, 2, 1, 6, 6, 11, 6, 1, 5, 1, 1, 3, 4, 9, 1, 11, 2, 2, 1, 8, 9, 6, 3, 7, 7, 1, 1, 8, 2, 3, 6, 7, 3, 6, 10, 2, 7, 7, 1, 7, 2, 1, 4, 5, 5, 3, 11, 10, 6, 3, 1, 8, 6, 4, 4, 8, 7, 8, 6, 1, 2, 1, 2, 0]",,0.05724787712097168,1.3828277587890625e-05,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 4, 7, 8, 4, 5, 11, 2, 7, 11, 4, 8, 5, 2, 6, 2, 9, 9, 7, 6, 9, 11, 1, 10, 6, 5, 7, 3, 4, 3, 1, 8, 8, 7, 6, 6, 7, 1, 6, 1, 1, 6, 10, 7, 7, 1, 4, 1, 1, 2, 6, 9, 2, 8, 1, 1, 1, 7, 7, 6, 3, 6, 5, 1, 2, 4, 4, 5, 4, 8, 1, 6, 11, 2, 6, 7, 1, 7, 3, 1, 7, 4, 2, 2, 6, 7, 3, 3, 1, 8, 7, 5, 4, 11, 10, 9, 5, 1, 2, 2, 2, 0]",,0.06392788887023926,8.106231689453125e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 3, 9, 6, 6, 9, 11, 1, 3, 11, 5, 5, 3, 2, 3, 2, 10, 7, 7, 6, 7, 6, 1, 11, 8, 8, 4, 3, 8, 5, 1, 6, 4, 11, 9, 8, 9, 1, 4, 1, 1, 11, 9, 6, 3, 1, 7, 1, 1, 3, 6, 7, 1, 10, 2, 1, 1, 6, 7, 10, 6, 7, 6, 1, 2, 7, 4, 5, 6, 11, 3, 10, 9, 1, 9, 9, 1, 6, 5, 1, 6, 2, 5, 2, 12, 12, 4, 2, 1, 7, 8, 6, 2, 8, 12, 6, 6, 1, 6, 1, 1, 0]",,0.04827308654785156,8.821487426757812e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 4, 9, 6, 8, 6, 8, 2, 4, 6, 2, 6, 4, 1, 4, 2, 12, 5, 7, 3, 5, 10, 1, 9, 7, 8, 7, 3, 8, 5, 1, 6, 4, 6, 9, 11, 6, 1, 6, 2, 1, 8, 11, 8, 7, 1, 6, 1, 1, 4, 8, 10, 1, 9, 1, 1, 1, 8, 9, 8, 5, 4, 5, 1, 2, 7, 4, 2, 4, 10, 2, 9, 9, 2, 7, 5, 1, 8, 2, 1, 3, 4, 2, 3, 10, 12, 6, 2, 1, 9, 8, 6, 2, 7, 8, 6, 3, 2, 2, 2, 1, 0]",,0.04430222511291504,5.7220458984375e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 7, 10, 7, 6, 8, 7, 1, 3, 6, 5, 6, 2, 2, 6, 3, 7, 7, 8, 2, 8, 6, 1, 10, 7, 8, 4, 2, 8, 2, 1, 6, 6, 7, 8, 6, 6, 1, 2, 2, 1, 11, 8, 8, 7, 1, 6, 1, 1, 4, 6, 8, 1, 11, 1, 1, 1, 9, 6, 11, 2, 6, 6, 1, 1, 4, 4, 2, 6, 9, 1, 9, 7, 1, 7, 5, 1, 7, 4, 1, 7, 4, 5, 1, 11, 10, 5, 3, 1, 7, 11, 4, 5, 11, 9, 8, 4, 1, 2, 1, 1, 0]",,0.04479217529296875,6.9141387939453125e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 3, 6, 7, 8, 5, 10, 2, 5, 7, 4, 8, 3, 2, 4, 3, 8, 9, 5, 2, 7, 11, 1, 7, 7, 5, 3, 2, 7, 2, 1, 7, 4, 10, 5, 9, 7, 1, 6, 2, 1, 8, 10, 8, 7, 1, 3, 1, 1, 2, 8, 8, 1, 10, 1, 3, 1, 8, 5, 6, 6, 7, 7, 1, 2, 7, 5, 2, 3, 12, 2, 9, 11, 2, 9, 9, 1, 9, 4, 1, 5, 4, 4, 3, 12, 12, 5, 2, 1, 7, 7, 6, 4, 9, 11, 5, 2, 2, 3, 1, 2, 0]",,0.04516887664794922,6.9141387939453125e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 6, 9, 8, 5, 8, 9, 3, 4, 9, 2, 8, 3, 1, 5, 6, 10, 7, 4, 5, 7, 10, 1, 11, 5, 9, 5, 1, 6, 2, 1, 7, 7, 10, 8, 6, 8, 1, 2, 1, 1, 9, 6, 11, 6, 1, 4, 1, 1, 4, 8, 10, 2, 8, 2, 2, 1, 7, 9, 8, 3, 6, 6, 1, 2, 7, 5, 4, 3, 10, 2, 9, 9, 2, 5, 7, 1, 9, 3, 1, 4, 5, 4, 3, 11, 9, 5, 4, 1, 5, 10, 4, 3, 9, 6, 5, 2, 2, 4, 2, 2, 0]",,0.04544782638549805,7.152557373046875e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 7, 12, 9, 6, 5, 7, 1, 3, 11, 4, 8, 5, 1, 5, 3, 9, 8, 5, 6, 9, 10, 1, 11, 5, 6, 3, 3, 5, 4, 1, 8, 8, 11, 7, 10, 5, 1, 4, 2, 1, 10, 10, 7, 4, 1, 4, 1, 1, 3, 8, 11, 2, 10, 2, 2, 1, 6, 7, 10, 5, 6, 6, 1, 2, 7, 4, 5, 3, 8, 1, 7, 11, 1, 5, 8, 1, 10, 2, 1, 3, 2, 2, 2, 6, 11, 4, 5, 1, 8, 10, 4, 3, 11, 6, 8, 4, 2, 3, 1, 1, 0]",,0.04799699783325195,6.9141387939453125e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 4, 12, 6, 7, 8, 11, 1, 5, 11, 5, 4, 4, 3, 3, 4, 8, 6, 4, 3, 9, 9, 1, 7, 9, 5, 3, 1, 6, 2, 1, 12, 8, 7, 9, 6, 7, 1, 5, 1, 1, 11, 12, 7, 6, 1, 4, 1, 1, 5, 5, 11, 1, 8, 2, 2, 1, 5, 9, 10, 4, 6, 7, 1, 1, 4, 4, 5, 7, 12, 1, 9, 11, 2, 5, 8, 1, 11, 3, 1, 5, 5, 4, 2, 6, 10, 3, 3, 1, 6, 11, 7, 3, 11, 10, 9, 4, 2, 4, 1, 2, 0]",,0.045443058013916016,8.821487426757812e-06,robust
ubo100,1,0.0,inf,inf,reactive,10,2,10,1,False,False,"[0, 5, 9, 9, 5, 8, 7, 2, 4, 10, 3, 7, 5, 1, 7, 2, 10, 6, 6, 2, 7, 10, 1, 10, 6, 5, 4, 1, 5, 5, 1, 12, 4, 8, 6, 7, 6, 1, 4, 1, 1, 6, 8, 11, 3, 1, 7, 1, 1, 4, 7, 8, 2, 11, 1, 1, 1, 9, 7, 9, 3, 4, 3, 1, 1, 6, 4, 2, 6, 7, 2, 7, 7, 1, 8, 7, 1, 7, 3, 1, 5, 4, 4, 1, 9, 7, 7, 5, 1, 8, 11, 4, 4, 7, 10, 6, 6, 1, 3, 2, 2, 0]",,0.04588603973388672,1.0013580322265625e-05,robust
