,instance_folder,instance_id,method,time_limit,feasibility
0,ubo50,3,robust,10,True
1,ubo50,3,robust,10,True
2,ubo50,3,robust,10,True
3,ubo50,3,robust,10,True
4,ubo50,3,robust,10,True
5,ubo50,3,robust,10,True
6,ubo50,3,robust,10,True
7,ubo50,3,robust,10,True
8,ubo50,3,robust,10,True
9,ubo50,3,robust,10,True
10,ubo50,4,robust,10,True
11,ubo50,4,robust,10,True
12,ubo50,4,robust,10,True
13,ubo50,4,robust,10,True
14,ubo50,4,robust,10,True
15,ubo50,4,robust,10,True
16,ubo50,4,robust,10,True
17,ubo50,4,robust,10,True
18,ubo50,4,robust,10,True
19,ubo50,4,robust,10,True
20,ubo50,6,robust,10,True
21,ubo50,6,robust,10,True
22,ubo50,6,robust,10,True
23,ubo50,6,robust,10,True
24,ubo50,6,robust,10,True
25,ubo50,6,robust,10,True
26,ubo50,6,robust,10,True
27,ubo50,6,robust,10,True
28,ubo50,6,robust,10,True
29,ubo50,6,robust,10,True
30,ubo50,9,robust,10,True
31,ubo50,9,robust,10,True
32,ubo50,9,robust,10,True
33,ubo50,9,robust,10,True
34,ubo50,9,robust,10,True
35,ubo50,9,robust,10,True
36,ubo50,9,robust,10,True
37,ubo50,9,robust,10,True
38,ubo50,9,robust,10,True
39,ubo50,9,robust,10,True
40,ubo50,10,robust,10,True
41,ubo50,10,robust,10,True
42,ubo50,10,robust,10,True
43,ubo50,10,robust,10,True
44,ubo50,10,robust,10,True
45,ubo50,10,robust,10,True
46,ubo50,10,robust,10,True
47,ubo50,10,robust,10,True
48,ubo50,10,robust,10,True
49,ubo50,10,robust,10,True
50,ubo50,11,robust,10,True
51,ubo50,11,robust,10,True
52,ubo50,11,robust,10,True
53,ubo50,11,robust,10,True
54,ubo50,11,robust,10,True
55,ubo50,11,robust,10,True
56,ubo50,11,robust,10,True
57,ubo50,11,robust,10,True
58,ubo50,11,robust,10,True
59,ubo50,11,robust,10,True
60,ubo50,12,robust,10,True
61,ubo50,12,robust,10,True
62,ubo50,12,robust,10,True
63,ubo50,12,robust,10,True
64,ubo50,12,robust,10,True
65,ubo50,12,robust,10,True
66,ubo50,12,robust,10,True
67,ubo50,12,robust,10,True
68,ubo50,12,robust,10,True
69,ubo50,12,robust,10,True
70,ubo50,13,robust,10,True
71,ubo50,13,robust,10,True
72,ubo50,13,robust,10,True
73,ubo50,13,robust,10,True
74,ubo50,13,robust,10,True
75,ubo50,13,robust,10,True
76,ubo50,13,robust,10,True
77,ubo50,13,robust,10,True
78,ubo50,13,robust,10,True
79,ubo50,13,robust,10,True
80,ubo50,14,robust,10,True
81,ubo50,14,robust,10,True
82,ubo50,14,robust,10,True
83,ubo50,14,robust,10,True
84,ubo50,14,robust,10,True
85,ubo50,14,robust,10,True
86,ubo50,14,robust,10,True
87,ubo50,14,robust,10,True
88,ubo50,14,robust,10,True
89,ubo50,14,robust,10,True
90,ubo50,15,robust,10,True
91,ubo50,15,robust,10,True
92,ubo50,15,robust,10,True
93,ubo50,15,robust,10,True
94,ubo50,15,robust,10,True
95,ubo50,15,robust,10,True
96,ubo50,15,robust,10,True
97,ubo50,15,robust,10,True
98,ubo50,15,robust,10,True
99,ubo50,15,robust,10,True
100,ubo50,16,robust,10,True
101,ubo50,16,robust,10,True
102,ubo50,16,robust,10,True
103,ubo50,16,robust,10,True
104,ubo50,16,robust,10,True
105,ubo50,16,robust,10,True
106,ubo50,16,robust,10,True
107,ubo50,16,robust,10,True
108,ubo50,16,robust,10,True
109,ubo50,16,robust,10,True
110,ubo50,17,robust,10,True
111,ubo50,17,robust,10,True
112,ubo50,17,robust,10,True
113,ubo50,17,robust,10,True
114,ubo50,17,robust,10,True
115,ubo50,17,robust,10,True
116,ubo50,17,robust,10,True
117,ubo50,17,robust,10,True
118,ubo50,17,robust,10,True
119,ubo50,17,robust,10,True
120,ubo50,20,robust,10,True
121,ubo50,20,robust,10,True
122,ubo50,20,robust,10,True
123,ubo50,20,robust,10,True
124,ubo50,20,robust,10,True
125,ubo50,20,robust,10,True
126,ubo50,20,robust,10,True
127,ubo50,20,robust,10,True
128,ubo50,20,robust,10,True
129,ubo50,20,robust,10,True
130,ubo50,21,robust,10,True
131,ubo50,21,robust,10,True
132,ubo50,21,robust,10,True
133,ubo50,21,robust,10,True
134,ubo50,21,robust,10,True
135,ubo50,21,robust,10,True
136,ubo50,21,robust,10,True
137,ubo50,21,robust,10,True
138,ubo50,21,robust,10,True
139,ubo50,21,robust,10,True
140,ubo50,22,robust,10,True
141,ubo50,22,robust,10,True
142,ubo50,22,robust,10,True
143,ubo50,22,robust,10,True
144,ubo50,22,robust,10,True
145,ubo50,22,robust,10,True
146,ubo50,22,robust,10,True
147,ubo50,22,robust,10,True
148,ubo50,22,robust,10,True
149,ubo50,22,robust,10,True
150,ubo50,23,robust,10,True
151,ubo50,23,robust,10,True
152,ubo50,23,robust,10,True
153,ubo50,23,robust,10,True
154,ubo50,23,robust,10,True
155,ubo50,23,robust,10,True
156,ubo50,23,robust,10,True
157,ubo50,23,robust,10,True
158,ubo50,23,robust,10,True
159,ubo50,23,robust,10,True
160,ubo50,24,robust,10,True
161,ubo50,24,robust,10,True
162,ubo50,24,robust,10,True
163,ubo50,24,robust,10,True
164,ubo50,24,robust,10,True
165,ubo50,24,robust,10,True
166,ubo50,24,robust,10,True
167,ubo50,24,robust,10,True
168,ubo50,24,robust,10,True
169,ubo50,24,robust,10,True
170,ubo50,25,robust,10,True
171,ubo50,25,robust,10,True
172,ubo50,25,robust,10,True
173,ubo50,25,robust,10,True
174,ubo50,25,robust,10,True
175,ubo50,25,robust,10,True
176,ubo50,25,robust,10,True
177,ubo50,25,robust,10,True
178,ubo50,25,robust,10,True
179,ubo50,25,robust,10,True
180,ubo50,26,robust,10,True
181,ubo50,26,robust,10,True
182,ubo50,26,robust,10,True
183,ubo50,26,robust,10,True
184,ubo50,26,robust,10,True
185,ubo50,26,robust,10,True
186,ubo50,26,robust,10,True
187,ubo50,26,robust,10,True
188,ubo50,26,robust,10,True
189,ubo50,26,robust,10,True
190,ubo50,27,robust,10,True
191,ubo50,27,robust,10,True
192,ubo50,27,robust,10,True
193,ubo50,27,robust,10,True
194,ubo50,27,robust,10,True
195,ubo50,27,robust,10,True
196,ubo50,27,robust,10,True
197,ubo50,27,robust,10,True
198,ubo50,27,robust,10,True
199,ubo50,27,robust,10,True
200,ubo50,28,robust,10,True
201,ubo50,28,robust,10,True
202,ubo50,28,robust,10,True
203,ubo50,28,robust,10,True
204,ubo50,28,robust,10,True
205,ubo50,28,robust,10,True
206,ubo50,28,robust,10,True
207,ubo50,28,robust,10,True
208,ubo50,28,robust,10,True
209,ubo50,28,robust,10,True
210,ubo50,29,robust,10,True
211,ubo50,29,robust,10,True
212,ubo50,29,robust,10,True
213,ubo50,29,robust,10,True
214,ubo50,29,robust,10,True
215,ubo50,29,robust,10,True
216,ubo50,29,robust,10,True
217,ubo50,29,robust,10,True
218,ubo50,29,robust,10,True
219,ubo50,29,robust,10,True
220,ubo50,30,robust,10,True
221,ubo50,30,robust,10,True
222,ubo50,30,robust,10,True
223,ubo50,30,robust,10,True
224,ubo50,30,robust,10,True
225,ubo50,30,robust,10,True
226,ubo50,30,robust,10,True
227,ubo50,30,robust,10,True
228,ubo50,30,robust,10,True
229,ubo50,30,robust,10,True
230,ubo50,34,robust,10,True
231,ubo50,34,robust,10,True
232,ubo50,34,robust,10,True
233,ubo50,34,robust,10,True
234,ubo50,34,robust,10,True
235,ubo50,34,robust,10,True
236,ubo50,34,robust,10,True
237,ubo50,34,robust,10,True
238,ubo50,34,robust,10,True
239,ubo50,34,robust,10,True
240,ubo50,40,robust,10,True
241,ubo50,40,robust,10,True
242,ubo50,40,robust,10,True
243,ubo50,40,robust,10,True
244,ubo50,40,robust,10,True
245,ubo50,40,robust,10,True
246,ubo50,40,robust,10,True
247,ubo50,40,robust,10,True
248,ubo50,40,robust,10,True
249,ubo50,40,robust,10,True
250,ubo50,41,robust,10,True
251,ubo50,41,robust,10,True
252,ubo50,41,robust,10,True
253,ubo50,41,robust,10,True
254,ubo50,41,robust,10,True
255,ubo50,41,robust,10,True
256,ubo50,41,robust,10,True
257,ubo50,41,robust,10,True
258,ubo50,41,robust,10,True
259,ubo50,41,robust,10,True
260,ubo50,42,robust,10,True
261,ubo50,42,robust,10,True
262,ubo50,42,robust,10,True
263,ubo50,42,robust,10,True
264,ubo50,42,robust,10,True
265,ubo50,42,robust,10,True
266,ubo50,42,robust,10,True
267,ubo50,42,robust,10,True
268,ubo50,42,robust,10,True
269,ubo50,42,robust,10,True
270,ubo50,43,robust,10,True
271,ubo50,43,robust,10,True
272,ubo50,43,robust,10,True
273,ubo50,43,robust,10,True
274,ubo50,43,robust,10,True
275,ubo50,43,robust,10,True
276,ubo50,43,robust,10,True
277,ubo50,43,robust,10,True
278,ubo50,43,robust,10,True
279,ubo50,43,robust,10,True
280,ubo50,44,robust,10,True
281,ubo50,44,robust,10,True
282,ubo50,44,robust,10,True
283,ubo50,44,robust,10,True
284,ubo50,44,robust,10,True
285,ubo50,44,robust,10,True
286,ubo50,44,robust,10,True
287,ubo50,44,robust,10,True
288,ubo50,44,robust,10,True
289,ubo50,44,robust,10,True
290,ubo50,45,robust,10,True
291,ubo50,45,robust,10,True
292,ubo50,45,robust,10,True
293,ubo50,45,robust,10,True
294,ubo50,45,robust,10,True
295,ubo50,45,robust,10,True
296,ubo50,45,robust,10,True
297,ubo50,45,robust,10,True
298,ubo50,45,robust,10,True
299,ubo50,45,robust,10,True
300,ubo50,47,robust,10,True
301,ubo50,47,robust,10,True
302,ubo50,47,robust,10,True
303,ubo50,47,robust,10,True
304,ubo50,47,robust,10,True
305,ubo50,47,robust,10,True
306,ubo50,47,robust,10,True
307,ubo50,47,robust,10,True
308,ubo50,47,robust,10,True
309,ubo50,47,robust,10,True
310,ubo50,49,robust,10,True
311,ubo50,49,robust,10,True
312,ubo50,49,robust,10,True
313,ubo50,49,robust,10,True
314,ubo50,49,robust,10,True
315,ubo50,49,robust,10,True
316,ubo50,49,robust,10,True
317,ubo50,49,robust,10,True
318,ubo50,49,robust,10,True
319,ubo50,49,robust,10,True
320,ubo50,50,robust,10,True
321,ubo50,50,robust,10,True
322,ubo50,50,robust,10,True
323,ubo50,50,robust,10,True
324,ubo50,50,robust,10,True
325,ubo50,50,robust,10,True
326,ubo50,50,robust,10,True
327,ubo50,50,robust,10,True
328,ubo50,50,robust,10,True
329,ubo50,50,robust,10,True
330,ubo50,51,robust,10,True
331,ubo50,51,robust,10,True
332,ubo50,51,robust,10,True
333,ubo50,51,robust,10,True
334,ubo50,51,robust,10,True
335,ubo50,51,robust,10,True
336,ubo50,51,robust,10,True
337,ubo50,51,robust,10,True
338,ubo50,51,robust,10,True
339,ubo50,51,robust,10,True
340,ubo50,52,robust,10,True
341,ubo50,52,robust,10,True
342,ubo50,52,robust,10,True
343,ubo50,52,robust,10,True
344,ubo50,52,robust,10,True
345,ubo50,52,robust,10,True
346,ubo50,52,robust,10,True
347,ubo50,52,robust,10,True
348,ubo50,52,robust,10,True
349,ubo50,52,robust,10,True
350,ubo50,53,robust,10,True
351,ubo50,53,robust,10,True
352,ubo50,53,robust,10,True
353,ubo50,53,robust,10,True
354,ubo50,53,robust,10,True
355,ubo50,53,robust,10,True
356,ubo50,53,robust,10,True
357,ubo50,53,robust,10,True
358,ubo50,53,robust,10,True
359,ubo50,53,robust,10,True
360,ubo50,54,robust,10,True
361,ubo50,54,robust,10,True
362,ubo50,54,robust,10,True
363,ubo50,54,robust,10,True
364,ubo50,54,robust,10,True
365,ubo50,54,robust,10,True
366,ubo50,54,robust,10,True
367,ubo50,54,robust,10,True
368,ubo50,54,robust,10,True
369,ubo50,54,robust,10,True
370,ubo50,55,robust,10,True
371,ubo50,55,robust,10,True
372,ubo50,55,robust,10,True
373,ubo50,55,robust,10,True
374,ubo50,55,robust,10,True
375,ubo50,55,robust,10,True
376,ubo50,55,robust,10,True
377,ubo50,55,robust,10,True
378,ubo50,55,robust,10,True
379,ubo50,55,robust,10,True
380,ubo50,56,robust,10,True
381,ubo50,56,robust,10,True
382,ubo50,56,robust,10,True
383,ubo50,56,robust,10,True
384,ubo50,56,robust,10,True
385,ubo50,56,robust,10,True
386,ubo50,56,robust,10,True
387,ubo50,56,robust,10,True
388,ubo50,56,robust,10,True
389,ubo50,56,robust,10,True
390,ubo50,57,robust,10,True
391,ubo50,57,robust,10,True
392,ubo50,57,robust,10,True
393,ubo50,57,robust,10,True
394,ubo50,57,robust,10,True
395,ubo50,57,robust,10,True
396,ubo50,57,robust,10,True
397,ubo50,57,robust,10,True
398,ubo50,57,robust,10,True
399,ubo50,57,robust,10,True
400,ubo50,58,robust,10,True
401,ubo50,58,robust,10,True
402,ubo50,58,robust,10,True
403,ubo50,58,robust,10,True
404,ubo50,58,robust,10,True
405,ubo50,58,robust,10,True
406,ubo50,58,robust,10,True
407,ubo50,58,robust,10,True
408,ubo50,58,robust,10,True
409,ubo50,58,robust,10,True
410,ubo50,59,robust,10,True
411,ubo50,59,robust,10,True
412,ubo50,59,robust,10,True
413,ubo50,59,robust,10,True
414,ubo50,59,robust,10,True
415,ubo50,59,robust,10,True
416,ubo50,59,robust,10,True
417,ubo50,59,robust,10,True
418,ubo50,59,robust,10,True
419,ubo50,59,robust,10,True
420,ubo50,60,robust,10,True
421,ubo50,60,robust,10,True
422,ubo50,60,robust,10,True
423,ubo50,60,robust,10,True
424,ubo50,60,robust,10,True
425,ubo50,60,robust,10,True
426,ubo50,60,robust,10,True
427,ubo50,60,robust,10,True
428,ubo50,60,robust,10,True
429,ubo50,60,robust,10,True
430,ubo50,62,robust,10,True
431,ubo50,62,robust,10,True
432,ubo50,62,robust,10,True
433,ubo50,62,robust,10,True
434,ubo50,62,robust,10,True
435,ubo50,62,robust,10,True
436,ubo50,62,robust,10,True
437,ubo50,62,robust,10,True
438,ubo50,62,robust,10,True
439,ubo50,62,robust,10,True
440,ubo50,67,robust,10,True
441,ubo50,67,robust,10,True
442,ubo50,67,robust,10,True
443,ubo50,67,robust,10,True
444,ubo50,67,robust,10,True
445,ubo50,67,robust,10,True
446,ubo50,67,robust,10,True
447,ubo50,67,robust,10,True
448,ubo50,67,robust,10,True
449,ubo50,67,robust,10,True
450,ubo50,71,robust,10,True
451,ubo50,71,robust,10,True
452,ubo50,71,robust,10,True
453,ubo50,71,robust,10,True
454,ubo50,71,robust,10,True
455,ubo50,71,robust,10,True
456,ubo50,71,robust,10,True
457,ubo50,71,robust,10,True
458,ubo50,71,robust,10,True
