instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,time_limit_initial,solver_calls,feasibility,feasibility_pi,real_durations,start_times,time_offline,time_online,mode
j10,3,2.7027027027027026,38.0,37.0,reactive,60,10,60,12,True,True,"[0, 1, 6, 3, 9, 7, 3, 6, 6, 6, 6, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.03783392906188965,0.36000895500183105,robust
j10,3,8.571428571428571,38.0,35.0,reactive,60,10,60,12,True,True,"[0, 1, 7, 1, 9, 4, 1, 4, 4, 8, 3, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.03609919548034668,0.3580939769744873,robust
j10,3,2.5,41.0,40.0,reactive,60,10,60,12,True,True,"[0, 1, 6, 3, 7, 7, 1, 6, 6, 12, 4, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.03626084327697754,0.3643162250518799,robust
j10,3,11.764705882352942,38.0,34.0,reactive,60,10,60,12,True,True,"[0, 1, 7, 2, 10, 4, 3, 3, 2, 6, 5, 0]","[0, 9, 0, 18, 24, 11, 20, 21, 32, 28, 24, 38]",0.03404593467712402,0.3708772659301758,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 2, 2, 3, 5, 1, 5, 4, 6, 8, 0]",,0.03271317481994629,9.775161743164062e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 8, 2, 4, 1, 9, 1, 5, 3, 6, 4, 0]",,0.032002925872802734,8.106231689453125e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 1, 3, 2, 9, 1, 3, 5, 11, 6, 0]",,0.029786109924316406,6.9141387939453125e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 2, 5, 3, 9, 1, 6, 3, 9, 6, 0]",,0.0322260856628418,1.6689300537109375e-05,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 2, 5, 1, 7, 1, 5, 3, 11, 6, 0]",,0.034635066986083984,6.9141387939453125e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 6, 2, 4, 1, 6, 1, 6, 4, 9, 7, 0]",,0.03127288818359375,8.106231689453125e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 6, 1, 2, 3, 9, 1, 2, 5, 10, 7, 0]",,0.029649019241333008,7.867813110351562e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 9, 2, 5, 1, 9, 1, 4, 5, 10, 5, 0]",,0.03275108337402344,6.9141387939453125e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 7, 2, 3, 2, 6, 1, 2, 7, 10, 6, 0]",,0.029692888259887695,7.867813110351562e-06,robust
j10,4,0.0,inf,inf,reactive,60,10,60,1,False,False,"[0, 7, 2, 3, 1, 5, 1, 2, 6, 8, 8, 0]",,0.029371976852416992,8.106231689453125e-06,robust
j10,5,30.303030303030305,43.0,33.0,reactive,60,10,60,12,True,True,"[0, 7, 9, 2, 2, 1, 9, 3, 2, 2, 10, 0]","[0, 3, 3, 0, 9, 18, 33, 20, 15, 6, 21, 41]",0.03677701950073242,0.37390708923339844,robust
