,instance_name,iteration,makespan_stnu,makespan_lb,gap_pi,time_initial_cp,time_build_stnu,time_dc_checking,time_rte,time_cp_lb,status,schedule_feasibility
0,j10_PSP_1,0,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.003511190414428711,0.046929359436035156,feasible_and_dc,True
1,j10_PSP_1,1,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.003598928451538086,0.04772305488586426,feasible_and_dc,True
2,j10_PSP_1,2,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.003553152084350586,0.046884775161743164,feasible_and_dc,True
3,j10_PSP_1,3,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.0035881996154785156,0.04790782928466797,feasible_and_dc,True
4,j10_PSP_1,4,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.003548145294189453,0.04898214340209961,feasible_and_dc,True
5,j10_PSP_1,5,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.003565073013305664,0.04674696922302246,feasible_and_dc,True
6,j10_PSP_1,6,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.0034470558166503906,0.046277761459350586,feasible_and_dc,True
7,j10_PSP_1,7,29,27,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.003442049026489258,0.04843592643737793,feasible_and_dc,True
8,j10_PSP_1,8,29,26,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.0034949779510498047,0.050128936767578125,feasible_and_dc,True
9,j10_PSP_1,9,29,27,0.0,0.1479640007019043,0.010803937911987305,0.4070582389831543,0.0034868717193603516,0.04874920845031738,feasible_and_dc,True
10,j10_PSP_2,0,inf,inf,,0.045130014419555664,0.0,0.0,0.0,0,infeasible,
11,j10_PSP_3,0,inf,inf,,0.05407881736755371,0.009614944458007812,0.2833271026611328,0.0,0,feasible_but_not_dc,
12,j10_PSP_4,0,inf,inf,,0.049636125564575195,0.010055780410766602,0.2738370895385742,0.0,0,feasible_but_not_dc,
13,j10_PSP_5,0,inf,inf,,0.04857182502746582,0.007949113845825195,0.27509498596191406,0.0,0,feasible_but_not_dc,
14,j10_PSP_6,0,inf,inf,,0.04542899131774902,0.0,0.0,0.0,0,infeasible,
15,j10_PSP_7,0,inf,inf,,0.04945993423461914,0.009096860885620117,0.28415894508361816,0.0,0,feasible_but_not_dc,
16,j10_PSP_8,0,inf,inf,,0.05144500732421875,0.008169174194335938,0.27945876121520996,0.0,0,feasible_but_not_dc,
17,j10_PSP_9,0,49,44,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.003760099411010742,0.09268593788146973,feasible_and_dc,True
18,j10_PSP_9,1,43,41,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.0037419795989990234,0.05225396156311035,feasible_and_dc,True
19,j10_PSP_9,2,46,38,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.003552675247192383,0.05409097671508789,feasible_and_dc,True
20,j10_PSP_9,3,47,37,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.003651142120361328,0.05088496208190918,feasible_and_dc,True
21,j10_PSP_9,4,52,43,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.003694295883178711,0.09743428230285645,feasible_and_dc,True
22,j10_PSP_9,5,41,37,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.003612995147705078,0.04918694496154785,feasible_and_dc,True
23,j10_PSP_9,6,45,41,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.0035829544067382812,0.053241729736328125,feasible_and_dc,True
24,j10_PSP_9,7,46,42,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.003504037857055664,0.06753802299499512,feasible_and_dc,True
25,j10_PSP_9,8,44,39,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.0036859512329101562,0.049757957458496094,feasible_and_dc,True
26,j10_PSP_9,9,50,44,0.0,0.05053377151489258,0.0085906982421875,0.29828810691833496,0.0035889148712158203,0.0515899658203125,feasible_and_dc,True
27,j10_PSP_10,0,38,35,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.003634214401245117,0.05094599723815918,feasible_and_dc,True
28,j10_PSP_10,1,36,33,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.0036809444427490234,0.05301213264465332,feasible_and_dc,True
29,j10_PSP_10,2,34,32,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.0036890506744384766,0.049253225326538086,feasible_and_dc,True
30,j10_PSP_10,3,33,29,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.00380706787109375,0.07883191108703613,feasible_and_dc,True
31,j10_PSP_10,4,37,33,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.0037178993225097656,0.05186200141906738,feasible_and_dc,True
32,j10_PSP_10,5,38,33,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.003706693649291992,0.06555008888244629,feasible_and_dc,True
33,j10_PSP_10,6,32,31,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.003690958023071289,0.0797262191772461,feasible_and_dc,True
34,j10_PSP_10,7,35,32,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.0038008689880371094,0.07230091094970703,feasible_and_dc,True
35,j10_PSP_10,8,36,33,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.0036449432373046875,0.05679678916931152,feasible_and_dc,True
36,j10_PSP_10,9,40,38,0.0,0.07557487487792969,0.00944209098815918,0.27429986000061035,0.0036630630493164062,0.07211112976074219,feasible_and_dc,True
37,j10_PSP_11,0,inf,inf,,0.0518190860748291,0.008819818496704102,0.2700662612915039,0.0,0,feasible_but_not_dc,
38,j10_PSP_12,0,inf,inf,,0.0437471866607666,0.0,0.0,0.0,0,infeasible,
39,j10_PSP_13,0,inf,inf,,0.048828840255737305,0.008044004440307617,0.27553796768188477,0.0,0,feasible_but_not_dc,
40,j10_PSP_14,0,inf,inf,,0.046251773834228516,0.0,0.0,0.0,0,infeasible,
41,j10_PSP_15,0,inf,inf,,0.09689068794250488,0.007982969284057617,0.2719869613647461,0.0,0,feasible_but_not_dc,
42,j10_PSP_16,0,32,32,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.0032999515533447266,0.06473326683044434,feasible_and_dc,True
43,j10_PSP_16,1,29,27,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.0033850669860839844,0.04741096496582031,feasible_and_dc,True
44,j10_PSP_16,2,29,28,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.003373861312866211,0.04802417755126953,feasible_and_dc,True
45,j10_PSP_16,3,26,26,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.0033159255981445312,0.0504450798034668,feasible_and_dc,True
46,j10_PSP_16,4,27,27,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.00335693359375,0.049900054931640625,feasible_and_dc,True
47,j10_PSP_16,5,26,25,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.0033049583435058594,0.0485529899597168,feasible_and_dc,True
48,j10_PSP_16,6,28,27,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.0033767223358154297,0.051019906997680664,feasible_and_dc,True
49,j10_PSP_16,7,28,27,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.0033528804779052734,0.0501708984375,feasible_and_dc,True
50,j10_PSP_16,8,26,25,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.003426074981689453,0.04869699478149414,feasible_and_dc,True
51,j10_PSP_16,9,26,26,0.0,0.06355094909667969,0.009298324584960938,0.2789621353149414,0.0032758712768554688,0.04820704460144043,feasible_and_dc,True
52,j10_PSP_17,0,inf,inf,,0.044137001037597656,0.0,0.0,0.0,0,infeasible,
53,j10_PSP_18,0,27,27,0.0,0.05164694786071777,0.00850820541381836,0.2778289318084717,0.0032918453216552734,0.048597097396850586,feasible_and_dc,True
54,j10_PSP_18,1,26,26,0.0,0.05164694786071777,0.00850820541381836,0.2778289318084717,0.0033769607543945312,0.04739999771118164,feasible_and_dc,True
