,instance,it,makespan_lb,makespan_stnu,regret,instance_type
0,20_1_factory_1,0,888,2210,1322,1
1,20_1_factory_1,1,897,2418,1521,1
2,20_1_factory_1,2,917,2305,1388,1
3,20_1_factory_1,3,905,2360,1455,1
