,instance_name,iteration,makespan_stnu,makespan_lb,gap_pi,time_initial_cp,time_build_stnu,time_dc_checking,time_rte,time_cp_lb
0,j301_1,0,40,40,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.03282904624938965,0.049323081970214844
1,j301_1,1,41,39,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.031143903732299805,0.05060935020446777
2,j301_1,2,38,38,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.03184008598327637,0.07227873802185059
3,j301_1,3,41,40,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.030883073806762695,0.04950714111328125
4,j301_1,4,41,40,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.03166913986206055,0.05282092094421387
5,j301_1,5,44,44,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.031687259674072266,0.04876112937927246
6,j301_1,6,41,37,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.03307604789733887,0.05129718780517578
7,j301_1,7,38,37,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.031820058822631836,0.05216407775878906
8,j301_1,8,38,36,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.03099679946899414,0.1717219352722168
9,j301_1,9,35,31,0.0,0.06370401382446289,0.020977258682250977,0.43377208709716797,0.036718130111694336,0.059324026107788086
10,j301_2,0,45,40,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.0342097282409668,0.05657792091369629
11,j301_2,1,44,41,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.03563117980957031,0.05663108825683594
12,j301_2,2,45,43,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.031028032302856445,0.048458099365234375
13,j301_2,3,45,40,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.03059077262878418,0.05203890800476074
14,j301_2,4,41,38,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.03125500679016113,0.04981184005737305
15,j301_2,5,45,45,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.03063488006591797,0.05134105682373047
16,j301_2,6,41,38,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.031018972396850586,0.05215597152709961
17,j301_2,7,43,41,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.030900001525878906,0.04924511909484863
18,j301_2,8,45,45,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.030124187469482422,0.0519711971282959
19,j301_2,9,43,42,0.0,0.0496821403503418,0.017473936080932617,0.3417069911956787,0.03104114532470703,0.04926013946533203
20,j301_3,0,41,41,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.04591989517211914,0.06405997276306152
21,j301_3,1,40,37,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.03465080261230469,0.05870795249938965
22,j301_3,2,43,43,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.03363299369812012,0.0552980899810791
23,j301_3,3,42,39,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.030339956283569336,0.05237412452697754
24,j301_3,4,39,38,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.030563831329345703,0.04857325553894043
25,j301_3,5,39,39,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.02960515022277832,0.04890608787536621
26,j301_3,6,45,44,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.031703948974609375,0.05213165283203125
27,j301_3,7,44,41,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.02938699722290039,0.04938697814941406
28,j301_3,8,44,41,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.03053593635559082,0.05365610122680664
29,j301_3,9,45,42,0.0,0.05034780502319336,0.018281221389770508,0.36705899238586426,0.03030109405517578,0.06457185745239258
30,j301_4,0,51,51,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.040724992752075195,0.05986189842224121
31,j301_4,1,54,54,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.03567385673522949,0.059248924255371094
32,j301_4,2,53,53,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.03374195098876953,0.049028873443603516
33,j301_4,3,58,58,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.03041839599609375,0.05144500732421875
34,j301_4,4,56,51,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.029595136642456055,0.053067922592163086
35,j301_4,5,51,51,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.028522968292236328,0.0481722354888916
36,j301_4,6,50,43,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.028375864028930664,0.05671072006225586
37,j301_4,7,51,50,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.03209495544433594,0.050221920013427734
38,j301_4,8,54,54,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.029341936111450195,0.052316904067993164
39,j301_4,9,52,51,0.0,0.0518031120300293,0.018637657165527344,0.4202427864074707,0.031728267669677734,0.05922579765319824
40,j302_1,0,31,31,0.0,0.058125972747802734,0.019594430923461914,0.39650821685791016,0.03180289268493652,0.054692745208740234
41,j302_1,1,29,28,0.0,0.058125972747802734,0.019594430923461914,0.39650821685791016,0.03144431114196777,0.05521893501281738
42,j302_1,2,30,30,0.0,0.058125972747802734,0.019594430923461914,0.39650821685791016,0.02859807014465332,0.050380706787109375
43,j302_1,3,27,27,0.0,0.058125972747802734,0.019594430923461914,0.39650821685791016,0.027675867080688477,0.06002521514892578
