,instance,instance_type,status,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret
0,20_1_factory_1,2,feasible_but_not_dc,,,,,,
1,40_1_factory_1,2,feasible_and_dc,0.0,2260.0,0.0,2338.0,78.0,0.034513274336283185
