,instance_name,iteration,makespan_stnu,makespan_lb,time_initial_cp,time_build_stnu,time_dc_checking,time_rte,time_cp_lb
0,j301_1,0,31,31,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.03556084632873535,0.08498597145080566
1,j301_1,1,37,36,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.04042506217956543,0.07140779495239258
2,j301_1,2,37,35,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.03755593299865723,0.0547480583190918
3,j301_1,3,34,33,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.05373430252075195,0.06562399864196777
4,j301_1,4,38,35,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.04193472862243652,0.1158440113067627
5,j301_1,5,37,34,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.1723940372467041,0.18003201484680176
6,j301_1,6,38,36,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.08852624893188477,0.08056974411010742
7,j301_1,7,38,37,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.04187893867492676,0.0603032112121582
8,j301_1,8,37,36,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.03938913345336914,0.06044793128967285
9,j301_1,9,35,34,1.3184919357299805,0.021630287170410156,0.8602402210235596,0.04296994209289551,0.0507960319519043
10,j301_2,0,37,35,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.03401684761047363,0.05637407302856445
11,j301_2,1,42,38,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.03859090805053711,0.05856585502624512
12,j301_2,2,41,40,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.034898996353149414,0.051573991775512695
13,j301_2,3,52,42,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.03466606140136719,0.0639200210571289
14,j301_2,4,40,38,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.037069082260131836,0.050460100173950195
15,j301_2,5,37,34,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.033875226974487305,0.051831722259521484
16,j301_2,6,47,43,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.0347599983215332,0.04979515075683594
17,j301_2,7,46,41,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.03336811065673828,0.050012826919555664
18,j301_2,8,41,39,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.03436589241027832,0.050756216049194336
19,j301_2,9,46,44,0.05530810356140137,0.01803278923034668,0.3663039207458496,0.03363394737243652,0.05046820640563965
20,j301_3,0,42,42,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.03300309181213379,0.05182695388793945
21,j301_3,1,39,36,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.03335690498352051,0.05164694786071777
22,j301_3,2,43,43,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.03429222106933594,0.07598495483398438
23,j301_3,3,41,38,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.0463719367980957,0.048644065856933594
24,j301_3,4,38,36,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.034081220626831055,0.05289506912231445
25,j301_3,5,39,39,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.0333712100982666,0.04986286163330078
26,j301_3,6,41,40,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.032715559005737305,0.05087709426879883
27,j301_3,7,42,42,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.03364682197570801,0.050241947174072266
28,j301_3,8,47,43,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.03298211097717285,0.050282955169677734
29,j301_3,9,46,43,0.05247616767883301,0.017692089080810547,0.2980978488922119,0.03373289108276367,0.05153298377990723
30,j301_4,0,56,56,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.033400774002075195,0.049224138259887695
31,j301_4,1,51,51,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.03395795822143555,0.05086493492126465
32,j301_4,2,56,56,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.03461503982543945,0.0524899959564209
33,j301_4,3,55,54,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.033648014068603516,0.0500950813293457
34,j301_4,4,45,42,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.03165292739868164,0.05176186561584473
35,j301_4,5,59,58,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.032465219497680664,0.050492286682128906
36,j301_4,6,52,52,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.03179788589477539,0.0507509708404541
37,j301_4,7,55,54,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.03308391571044922,0.050788164138793945
38,j301_4,8,51,50,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.03181004524230957,0.04937028884887695
39,j301_4,9,53,53,0.050464630126953125,0.017529010772705078,0.29902100563049316,0.03198695182800293,0.051481008529663086
40,j301_5,0,32,30,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.031726837158203125,0.0531618595123291
41,j301_5,1,32,32,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.03198885917663574,0.057856082916259766
42,j301_5,2,33,33,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.032502174377441406,0.08660507202148438
43,j301_5,3,34,32,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.03165841102600098,0.05004286766052246
44,j301_5,4,32,30,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.032666921615600586,0.060202836990356445
45,j301_5,5,24,24,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.03239107131958008,0.06642603874206543
46,j301_5,6,31,31,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.03250408172607422,0.052175045013427734
47,j301_5,7,33,29,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.033100128173828125,0.052732229232788086
48,j301_5,8,34,31,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.03327584266662598,0.07845211029052734
49,j301_5,9,34,33,0.06337380409240723,0.01745009422302246,0.30156803131103516,0.042523860931396484,0.0553128719329834
50,j301_6,0,40,40,0.05373573303222656,0.07452392578125,0.2946810722351074,0.03142118453979492,0.04988908767700195
51,j301_6,1,38,38,0.05373573303222656,0.07452392578125,0.2946810722351074,0.0324249267578125,0.05138897895812988
52,j301_6,2,36,35,0.05373573303222656,0.07452392578125,0.2946810722351074,0.032463788986206055,0.05414700508117676
53,j301_6,3,41,38,0.05373573303222656,0.07452392578125,0.2946810722351074,0.03216099739074707,0.054572105407714844
54,j301_6,4,43,38,0.05373573303222656,0.07452392578125,0.2946810722351074,0.0329132080078125,0.05829811096191406
55,j301_6,5,45,45,0.05373573303222656,0.07452392578125,0.2946810722351074,0.040582895278930664,0.05375194549560547
56,j301_6,6,36,36,0.05373573303222656,0.07452392578125,0.2946810722351074,0.03211688995361328,0.05670809745788574
57,j301_6,7,39,37,0.05373573303222656,0.07452392578125,0.2946810722351074,0.04702425003051758,0.05551290512084961
58,j301_6,8,43,39,0.05373573303222656,0.07452392578125,0.2946810722351074,0.03530073165893555,0.06497406959533691
59,j301_6,9,37,37,0.05373573303222656,0.07452392578125,0.2946810722351074,0.03446316719055176,0.07214903831481934
60,j301_7,0,46,45,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.03296089172363281,0.052452802658081055
61,j301_7,1,61,61,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.034227848052978516,0.05143380165100098
62,j301_7,2,55,55,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.03382396697998047,0.05218505859375
63,j301_7,3,49,49,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.03408312797546387,0.0514521598815918
64,j301_7,4,51,51,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.03468203544616699,0.05327796936035156
65,j301_7,5,52,52,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.0339818000793457,0.05086064338684082
66,j301_7,6,48,48,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.034628868103027344,0.05248594284057617
67,j301_7,7,46,46,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.035295963287353516,0.052551984786987305
68,j301_7,8,56,56,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.0336000919342041,0.050073862075805664
69,j301_7,9,49,49,0.05804800987243652,0.019649028778076172,0.30503416061401367,0.03382086753845215,0.055181264877319336
70,j301_8,0,45,45,0.051104068756103516,0.016726970672607422,0.32851505279541016,0.030580997467041016,0.0496060848236084
71,j301_8,1,48,48,0.051104068756103516,0.016726970672607422,0.32851505279541016,0.030511140823364258,0.0493769645690918
72,j301_8,2,44,44,0.051104068756103516,0.016726970672607422,0.32851505279541016,0.031617164611816406,0.05194592475891113
73,j301_8,3,49,49,0.051104068756103516,0.016726970672607422,0.32851505279541016,0.031324148178100586,0.05008888244628906
74,j301_8,4,47,46,0.051104068756103516,0.016726970672607422,0.32851505279541016,0.030840158462524414,0.05222892761230469
