,instance_name,iteration,makespan_stnu,makespan_lb,time_initial_cp,time_build_stnu,time_dc_checking,time_rte,time_cp_lb,status,gap_pi,schedule_feasibility
0,j20_PSP_1,0,inf,inf,0.18081927299499512,0.0,0.0,0.0,0,infeasible,,
1,j20_PSP_2,0,inf,inf,0.047255754470825195,0.0,0.0,0.0,0,infeasible,,
2,j20_PSP_3,0,inf,inf,0.044682979583740234,0.0,0.0,0.0,0,infeasible,,
3,j20_PSP_4,0,inf,inf,0.04499506950378418,0.0,0.0,0.0,0,infeasible,,
4,j20_PSP_5,0,inf,inf,0.04404091835021973,0.0,0.0,0.0,0,infeasible,,
5,j20_PSP_6,0,inf,inf,0.044132232666015625,0.0,0.0,0.0,0,infeasible,,
6,j20_PSP_7,0,inf,inf,0.05948281288146973,0.02494525909423828,0.8086531162261963,0.0,0,feasible_but_not_dc,,
7,j20_PSP_8,0,inf,inf,0.1287522315979004,0.019188880920410156,0.3015408515930176,0.0,0,feasible_but_not_dc,,
8,j20_PSP_9,0,inf,inf,0.04778289794921875,0.0,0.0,0.0,0,infeasible,,
9,j20_PSP_10,0,inf,inf,0.045848846435546875,0.0,0.0,0.0,0,infeasible,,
10,j20_PSP_11,0,inf,inf,0.058873653411865234,0.019303083419799805,0.2993619441986084,0.0,0,feasible_but_not_dc,,
11,j20_PSP_12,0,inf,inf,0.04630613327026367,0.0,0.0,0.0,0,infeasible,,
12,j20_PSP_13,0,55,50,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.016997814178466797,0.052536964416503906,feasible_and_dc,0.0,True
13,j20_PSP_13,1,53,49,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.01715826988220215,0.05410623550415039,feasible_and_dc,0.0,True
14,j20_PSP_13,2,55,47,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.016850948333740234,0.05580902099609375,feasible_and_dc,0.0,True
15,j20_PSP_13,3,56,49,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.016766786575317383,0.05371522903442383,feasible_and_dc,0.0,True
16,j20_PSP_13,4,55,50,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.01632404327392578,0.05394697189331055,feasible_and_dc,0.0,True
17,j20_PSP_13,5,57,49,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.016580820083618164,0.05689692497253418,feasible_and_dc,0.0,True
18,j20_PSP_13,6,49,48,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.016210079193115234,0.05369114875793457,feasible_and_dc,0.0,True
19,j20_PSP_13,7,54,51,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.016381263732910156,0.07678604125976562,feasible_and_dc,0.0,True
20,j20_PSP_13,8,57,51,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.01652979850769043,0.056092023849487305,feasible_and_dc,0.0,True
21,j20_PSP_13,9,55,53,0.054017066955566406,0.019936084747314453,0.29479312896728516,0.01624274253845215,0.05954790115356445,feasible_and_dc,0.0,True
22,j20_PSP_14,0,inf,inf,60.04557800292969,0.0,0.0,0.0,0,infeasible,,
23,j20_PSP_15,0,inf,inf,0.08965182304382324,0.0195009708404541,0.41263794898986816,0.0,0,feasible_but_not_dc,,
24,j20_PSP_16,0,inf,inf,0.05255126953125,0.017493009567260742,0.3004312515258789,0.0,0,feasible_but_not_dc,,
25,j20_PSP_17,0,inf,inf,0.05428290367126465,0.07700610160827637,0.3011469841003418,0.0,0,feasible_but_not_dc,,
26,j20_PSP_18,0,inf,inf,0.08846902847290039,0.01714491844177246,0.2946629524230957,0.0,0,feasible_but_not_dc,,
27,j20_PSP_19,0,inf,inf,0.054785966873168945,0.018583059310913086,0.31639981269836426,0.0,0,feasible_but_not_dc,,
28,j20_PSP_20,0,inf,inf,0.04737377166748047,0.0,0.0,0.0,0,infeasible,,
29,j20_PSP_21,0,inf,inf,0.05364489555358887,0.01870584487915039,0.3278768062591553,0.0,0,feasible_but_not_dc,,
30,j20_PSP_22,0,41,40,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.016044139862060547,0.057891845703125,feasible_and_dc,0.0,True
31,j20_PSP_22,1,39,38,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.016329050064086914,0.05877804756164551,feasible_and_dc,0.0,True
32,j20_PSP_22,2,41,38,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.018611907958984375,0.05995798110961914,feasible_and_dc,0.0,True
33,j20_PSP_22,3,40,39,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.01821589469909668,0.05543804168701172,feasible_and_dc,0.0,True
34,j20_PSP_22,4,40,37,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.01947498321533203,0.06085491180419922,feasible_and_dc,0.0,True
35,j20_PSP_22,5,41,38,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.018028736114501953,0.06074881553649902,feasible_and_dc,0.0,True
36,j20_PSP_22,6,39,38,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.018387317657470703,0.06071805953979492,feasible_and_dc,0.0,True
37,j20_PSP_22,7,42,39,0.05774211883544922,0.020254135131835938,0.32918500900268555,0.01844501495361328,0.062487125396728516,feasible_and_dc,0.0,True
