,i,description,assignment
0,58,Z,0
1,83,9_0_start,0
2,76,9_2_start,59
3,55,9_4_start,75
4,96,9_1_start,75
5,116,7_0_start,75
6,140,5_0_start,75
7,173,9_3_start,75
8,97,9_0_finish,81
9,125,9_2_finish,89
10,132,9_1_finish,90
11,126,9_3_finish,113
12,152,9_5_start,117
13,56,9_4_finish,119
14,138,5_2_start,127
15,65,7_2_start,150
16,68,7_4_start,150
17,158,7_1_start,150
18,189,5_0_finish,153
19,11,2_0_start,161
20,137,5_3_start,167
21,142,5_1_start,167
22,35,5_4_start,170
23,64,7_1_finish,193
24,179,5_2_finish,194
25,92,5_1_finish,195
26,150,9_5_finish,209
27,182,5_4_finish,216
28,25,5_5_start,220
29,42,5_3_finish,224
30,77,7_12_start,230
31,155,7_9_start,230
32,164,7_2_finish,238
33,159,7_0_finish,239
34,8,7_7_start,245
35,10,7_5_start,245
36,75,8_0_start,245
37,165,7_3_start,245
38,2,7_6_start,260
39,45,7_10_start,260
40,72,7_8_start,260
41,107,3_0_start,260
42,157,7_11_start,260
43,100,1_0_start,264
44,176,7_13_start,269
45,66,7_3_finish,269
46,15,7_4_finish,274
47,17,2_2_start,277
48,101,7_15_start,280
49,18,7_5_finish,280
50,102,7_14_start,280
51,13,7_6_finish,289
52,14,7_7_finish,291
53,50,7_9_finish,293
54,24,7_8_finish,300
55,149,7_10_finish,303
56,16,2_1_start,308
57,61,2_3_start,308
58,160,2_4_start,310
59,1,2_0_finish,311
60,26,6_0_start,317
61,71,5_5_finish,317
62,88,8_4_start,317
63,185,8_9_start,317
64,122,7_11_finish,318
65,105,7_13_finish,320
66,128,7_12_finish,320
67,63,2_5_start,324
68,163,2_6_start,324
69,104,7_14_finish,326
70,23,2_2_finish,334
71,148,1_4_start,335
72,118,8_0_finish,337
73,9,2_1_finish,340
74,114,2_7_start,353
75,161,2_4_finish,354
76,57,2_3_finish,356
77,86,8_8_start,362
78,154,4_0_start,362
79,180,8_1_start,362
80,49,8_2_start,364
81,84,8_12_start,364
82,181,8_3_start,364
83,187,8_11_start,364
84,162,2_6_finish,366
85,62,2_5_finish,367
86,99,1_0_finish,375
87,87,8_6_start,376
88,90,8_10_start,376
89,169,8_13_start,376
90,184,8_7_start,376
91,188,8_5_start,376
92,0,0_0_start,387
93,6,6_1_start,389
94,146,8_2_finish,389
95,22,8_4_finish,389
96,27,6_3_start,389
97,78,1_3_start,392
98,113,3_2_start,392
99,133,8_1_finish,393
100,103,1_1_start,393
101,174,1_2_start,395
102,36,8_3_finish,397
103,3,8_6_finish,398
104,33,8_5_finish,398
105,32,8_9_finish,399
106,46,8_10_finish,401
107,30,8_7_finish,402
108,20,8_8_finish,405
109,93,3_1_start,407
110,117,3_3_start,407
111,153,3_4_start,407
112,123,7_15_finish,411
113,121,8_12_finish,414
114,106,3_1_finish,417
115,28,4_1_start,420
116,168,3_2_finish,420
117,31,4_2_start,420
118,34,4_4_start,420
119,53,1_5_start,425
120,130,8_11_finish,425
121,172,1_6_start,425
122,94,3_0_finish,434
123,166,0_2_start,441
124,192,6_1_finish,443
125,147,3_4_finish,445
126,60,3_3_finish,445
127,44,3_5_start,449
128,73,1_7_start,450
129,108,2_7_finish,450
130,80,0_1_start,451
131,81,0_3_start,451
132,119,6_8_start,452
133,129,1_2_finish,452
134,38,0_0_finish,452
135,144,0_4_start,452
136,127,1_1_finish,455
137,143,1_4_finish,455
138,54,1_3_finish,460
139,85,0_5_start,462
140,167,0_6_start,462
141,5,6_2_start,467
142,29,6_4_start,467
143,51,6_6_start,469
144,41,0_2_finish,469
145,39,0_1_finish,471
146,21,1_6_finish,475
147,59,1_5_finish,478
148,82,0_7_start,482
149,178,6_0_finish,482
150,40,0_3_finish,482
151,79,4_1_finish,484
152,124,6_7_start,485
153,145,0_4_finish,485
154,151,6_5_start,485
155,177,6_2_finish,489
156,120,0_6_finish,491
157,110,6_9_start,493
158,135,0_5_finish,494
159,67,6_3_finish,496
160,175,6_4_finish,498
161,95,6_10_start,499
162,112,6_11_start,499
163,43,6_5_finish,505
164,156,6_6_finish,509
165,69,6_7_finish,517
166,37,4_6_start,519
167,111,6_8_finish,522
168,136,8_13_finish,523
169,109,6_10_finish,530
170,98,6_9_finish,532
171,7,4_2_finish,535
172,48,4_7_start,538
173,134,4_8_start,539
174,191,4_3_start,539
175,171,4_0_finish,541
176,19,4_5_start,542
177,115,4_9_start,542
178,141,4_10_start,543
179,52,3_5_finish,545
180,170,4_4_finish,545
181,4,4_3_finish,556
182,183,4_6_finish,560
183,74,4_5_finish,560
184,186,4_8_finish,570
185,139,4_11_start,572
186,47,4_7_finish,574
187,12,1_7_finish,576
188,89,4_9_finish,576
189,190,4_10_finish,576
190,131,0_7_finish,594
191,70,6_11_finish,621
192,91,4_11_finish,667
