,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
64,10_4_factory_1,4.0,553.0,0.0,565.0,12.0,0.0216998191681736,1,feasible_and_dc
65,10_4_factory_1,5.0,585.0,0.0,585.0,0.0,0.0,1,feasible_and_dc
66,10_4_factory_1,6.0,555.0,0.0,563.0,8.0,0.014414414414414415,1,feasible_and_dc
67,10_4_factory_1,7.0,556.0,0.0,561.0,5.0,0.008992805755395683,1,feasible_and_dc
68,10_4_factory_1,8.0,542.0,0.0,542.0,0.0,0.0,1,feasible_and_dc
69,10_4_factory_1,9.0,551.0,0.0,551.0,0.0,0.0,1,feasible_and_dc
70,10_4_factory_1,0.0,576.0,0.0,611.0,35.0,0.06076388888888889,2,feasible_and_dc
71,10_4_factory_1,1.0,567.0,0.0,596.0,29.0,0.05114638447971781,2,feasible_and_dc
72,10_4_factory_1,2.0,590.0,0.0,607.0,17.0,0.0288135593220339,2,feasible_and_dc
73,10_4_factory_1,3.0,562.0,0.0,599.0,37.0,0.06583629893238434,2,feasible_and_dc
74,10_4_factory_1,4.0,573.0,0.0,614.0,41.0,0.07155322862129145,2,feasible_and_dc
75,10_4_factory_1,5.0,585.0,0.0,609.0,24.0,0.041025641025641026,2,feasible_and_dc
76,10_4_factory_1,6.0,575.0,0.0,603.0,28.0,0.04869565217391304,2,feasible_and_dc
77,10_4_factory_1,7.0,577.0,0.0,612.0,35.0,0.060658578856152515,2,feasible_and_dc
78,10_4_factory_1,8.0,568.0,0.0,593.0,25.0,0.04401408450704225,2,feasible_and_dc
79,10_4_factory_1,9.0,567.0,0.0,600.0,33.0,0.0582010582010582,2,feasible_and_dc
80,10_5_factory_1,0.0,786.0,0.0,793.0,7.0,0.008905852417302799,1,feasible_and_dc
81,10_5_factory_1,1.0,798.0,0.0,798.0,0.0,0.0,1,feasible_and_dc
82,10_5_factory_1,2.0,784.0,0.0,787.0,3.0,0.003826530612244898,1,feasible_and_dc
83,10_5_factory_1,3.0,767.0,0.0,784.0,17.0,0.02216427640156454,1,feasible_and_dc
84,10_5_factory_1,4.0,799.0,0.0,799.0,0.0,0.0,1,feasible_and_dc
85,10_5_factory_1,5.0,767.0,0.0,767.0,0.0,0.0,1,feasible_and_dc
86,10_5_factory_1,6.0,777.0,0.0,804.0,27.0,0.03474903474903475,1,feasible_and_dc
87,10_5_factory_1,7.0,821.0,0.0,821.0,0.0,0.0,1,feasible_and_dc
88,10_5_factory_1,8.0,817.0,0.0,817.0,0.0,0.0,1,feasible_and_dc
89,10_5_factory_1,9.0,785.0,0.0,798.0,13.0,0.016560509554140127,1,feasible_and_dc
90,10_5_factory_1,0.0,794.0,0.0,848.0,54.0,0.06801007556675064,2,feasible_and_dc
91,10_5_factory_1,1.0,819.0,0.0,854.0,35.0,0.042735042735042736,2,feasible_and_dc
92,10_5_factory_1,2.0,780.0,0.0,851.0,71.0,0.09102564102564102,2,feasible_and_dc
93,10_5_factory_1,3.0,793.0,0.0,857.0,64.0,0.0807061790668348,2,feasible_and_dc
94,10_5_factory_1,4.0,820.0,0.0,861.0,41.0,0.05,2,feasible_and_dc
95,10_5_factory_1,5.0,781.0,0.0,852.0,71.0,0.09090909090909091,2,feasible_and_dc
96,10_5_factory_1,6.0,797.0,0.0,842.0,45.0,0.056461731493099125,2,feasible_and_dc
97,10_5_factory_1,7.0,792.0,0.0,854.0,62.0,0.07828282828282829,2,feasible_and_dc
98,10_5_factory_1,8.0,808.0,0.0,848.0,40.0,0.04950495049504951,2,feasible_and_dc
99,10_5_factory_1,9.0,818.0,0.0,855.0,37.0,0.04523227383863081,2,feasible_and_dc
100,20_1_factory_1,0.0,891.0,0.0,896.0,5.0,0.005611672278338945,1,feasible_and_dc
101,20_1_factory_1,1.0,917.0,0.0,917.0,0.0,0.0,1,feasible_and_dc
102,20_1_factory_1,2.0,914.0,0.0,918.0,4.0,0.00437636761487965,1,feasible_and_dc
103,20_1_factory_1,3.0,899.0,0.0,899.0,0.0,0.0,1,feasible_and_dc
104,20_1_factory_1,4.0,925.0,0.0,925.0,0.0,0.0,1,feasible_and_dc
105,20_1_factory_1,5.0,930.0,0.0,930.0,0.0,0.0,1,feasible_and_dc
106,20_1_factory_1,6.0,885.0,0.0,903.0,18.0,0.020338983050847456,1,feasible_and_dc
107,20_1_factory_1,7.0,884.0,0.0,902.0,18.0,0.020361990950226245,1,feasible_and_dc
108,20_1_factory_1,8.0,904.0,0.0,904.0,0.0,0.0,1,feasible_and_dc
