,Task,Task_translation,Start,Finish,Resource,Resource_translation
0,0,0,0.0,128.0,3,Fermenter_4
1,1,0,52.0,69.0,6,Harvesting tanks A
2,2,0,52.0,113.0,6,Harvesting tanks A
3,3,0,86.0,125.0,7,Filters A
4,4,0,52.0,125.0,5,Harvesting tanks B
5,5,0,123.0,128.0,9,Buffer tanks
6,6,0,99.0,133.0,8,Microfilter
7,7,0,121.0,145.0,7,Filters A
8,8,0,52.0,145.0,5,Harvesting tanks B
9,9,0,99.0,146.0,9,Buffer tanks
10,10,0,86.0,146.0,8,Microfilter
11,11,0,86.0,156.0,9,Buffer tanks
12,12,0,123.0,156.0,8,Microfilter
13,13,0,107.0,245.0,11,Stabilization tanks
