,Task,Task_translation,Start,Finish,Resource,Resource_translation
0,0,0,0.0,82.0,1,Fermenter_2
1,1,0,75.0,91.0,7,Filters A
2,2,0,59.0,91.0,5,Harvesting tanks B
3,3,0,75.0,117.0,9,Buffer tanks
4,4,0,75.0,117.0,8,Microfilter
5,5,0,117.0,210.0,11,Stabilization tanks
