,Task,Task_translation,Start,Finish,Resource,Resource_translation
0,0,0,0.0,125.0,1,Fermenter_2
1,1,0,41.0,95.0,6,Harvesting tanks A
2,2,0,179.0,180.0,9,Buffer tanks
3,3,0,114.0,141.0,9,Buffer tanks
4,4,0,113.0,141.0,8,Microfilter
5,5,0,95.0,147.0,10,Filters B
6,6,0,41.0,147.0,5,Harvesting tanks B
7,7,0,95.0,157.0,9,Buffer tanks
8,8,0,95.0,157.0,8,Microfilter
9,9,0,104.0,166.0,9,Buffer tanks
10,10,0,104.0,166.0,8,Microfilter
11,11,0,114.0,250.0,11,Stabilization tanks
12,12,0,166.0,259.0,11,Stabilization tanks
