instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_29,STNU,0,34.0,33.0,3.0303030303030303
j10_29,STNU,1,32.0,32.0,0.0
j10_29,STNU,2,33.0,29.0,13.793103448275861
j10_29,STNU,3,33.0,32.0,3.125
j10_29,STNU,4,32.0,32.0,0.0
j10_30,STNU,0,inf,30.0,100.0
j10_30,STNU,1,inf,30.0,100.0
j10_30,STNU,2,inf,28.0,100.0
j10_30,STNU,3,inf,30.0,100.0
j10_30,STNU,4,inf,27.0,100.0
j10_31,STNU,0,inf,inf,0.0
j10_31,STNU,1,inf,inf,0.0
j10_31,STNU,2,inf,inf,0.0
j10_31,STNU,3,inf,inf,0.0
j10_31,STNU,4,inf,inf,0.0
j10_32,STNU,0,inf,inf,0.0
j10_32,STNU,1,inf,46.0,100.0
j10_32,STNU,2,inf,inf,0.0
j10_32,STNU,3,inf,inf,0.0
j10_32,STNU,4,inf,inf,0.0
j10_33,STNU,0,64.0,60.0,6.666666666666667
j10_33,STNU,1,68.0,61.0,11.475409836065573
j10_33,STNU,2,66.0,58.0,13.793103448275861
j10_33,STNU,3,57.0,56.0,1.7857142857142858
j10_33,STNU,4,58.0,58.0,0.0
j10_34,STNU,0,inf,51.0,100.0
j10_34,STNU,1,inf,48.0,100.0
j10_34,STNU,2,inf,60.0,100.0
j10_34,STNU,3,inf,49.0,100.0
j10_34,STNU,4,inf,61.0,100.0
j10_35,STNU,0,inf,40.0,100.0
j10_35,STNU,1,inf,39.0,100.0
j10_35,STNU,2,inf,39.0,100.0
j10_35,STNU,3,inf,45.0,100.0
j10_35,STNU,4,inf,37.0,100.0
j10_36,STNU,0,inf,52.0,100.0
j10_36,STNU,1,inf,45.0,100.0
j10_36,STNU,2,inf,44.0,100.0
j10_36,STNU,3,inf,52.0,100.0
j10_36,STNU,4,inf,inf,0.0
j10_37,STNU,0,inf,24.0,100.0
j10_37,STNU,1,inf,29.0,100.0
j10_37,STNU,2,inf,25.0,100.0
j10_37,STNU,3,inf,25.0,100.0
j10_37,STNU,4,inf,25.0,100.0
j10_38,STNU,0,inf,42.0,100.0
j10_38,STNU,1,inf,41.0,100.0
j10_38,STNU,2,inf,45.0,100.0
j10_38,STNU,3,inf,42.0,100.0
j10_38,STNU,4,inf,40.0,100.0
j10_39,STNU,0,inf,48.0,100.0
j10_39,STNU,1,inf,43.0,100.0
j10_39,STNU,2,inf,49.0,100.0
j10_39,STNU,3,inf,47.0,100.0
j10_39,STNU,4,inf,47.0,100.0
j10_40,STNU,0,inf,inf,0.0
j10_40,STNU,1,inf,inf,0.0
j10_40,STNU,2,inf,inf,0.0
j10_40,STNU,3,inf,inf,0.0
