,instance,status,sample,rcpsp/max_feasible,makespan_rte_star
187,j10/PSP150,feasible_and_dc,0,True,38.0
188,j10/PSP150,feasible_and_dc,1,True,38.0
189,j10/PSP151,feasible_but_not_dc,0,NotApplicable,
190,j10/PSP152,infeasible,0,NotApplicable,
191,j10/PSP153,feasible_but_not_dc,0,NotApplicable,
192,j10/PSP154,infeasible,0,NotApplicable,
193,j10/PSP155,feasible_but_not_dc,0,NotApplicable,
194,j10/PSP156,feasible_and_dc,0,True,83.0
195,j10/PSP156,feasible_and_dc,1,True,83.0
196,j10/PSP157,feasible_but_not_dc,0,NotApplicable,
197,j10/PSP158,feasible_but_not_dc,0,NotApplicable,
198,j10/PSP159,infeasible,0,NotApplicable,
199,j10/PSP160,infeasible,0,NotApplicable,
200,j10/PSP161,feasible_but_not_dc,0,NotApplicable,
201,j10/PSP162,infeasible,0,NotApplicable,
202,j10/PSP163,feasible_but_not_dc,0,NotApplicable,
203,j10/PSP164,infeasible,0,NotApplicable,
204,j10/PSP165,infeasible,0,NotApplicable,
205,j10/PSP166,feasible_and_dc,0,True,44.0
206,j10/PSP166,feasible_and_dc,1,True,44.0
207,j10/PSP167,feasible_but_not_dc,0,NotApplicable,
208,j10/PSP168,infeasible,0,NotApplicable,
209,j10/PSP169,infeasible,0,NotApplicable,
210,j10/PSP170,feasible_but_not_dc,0,NotApplicable,
211,j10/PSP171,feasible_but_not_dc,0,NotApplicable,
212,j10/PSP172,feasible_but_not_dc,0,NotApplicable,
213,j10/PSP173,feasible_but_not_dc,0,NotApplicable,
214,j10/PSP174,feasible_but_not_dc,0,NotApplicable,
215,j10/PSP175,feasible_and_dc,0,True,27.0
216,j10/PSP175,feasible_and_dc,1,True,27.0
217,j10/PSP176,feasible_but_not_dc,0,NotApplicable,
218,j10/PSP177,feasible_and_dc,0,True,64.0
219,j10/PSP177,feasible_and_dc,1,True,64.0
220,j10/PSP178,feasible_but_not_dc,0,NotApplicable,
221,j10/PSP179,feasible_and_dc,0,True,45.0
222,j10/PSP179,feasible_and_dc,1,True,45.0
223,j10/PSP180,infeasible,0,NotApplicable,
224,j10/PSP181,feasible_and_dc,0,True,58.0
225,j10/PSP181,feasible_and_dc,1,True,58.0
226,j10/PSP182,feasible_and_dc,0,True,52.0
227,j10/PSP182,feasible_and_dc,1,True,52.0
228,j10/PSP183,feasible_and_dc,0,True,57.0
229,j10/PSP183,feasible_and_dc,1,True,57.0
230,j10/PSP184,infeasible,0,NotApplicable,
231,j10/PSP185,infeasible,0,NotApplicable,
232,j10/PSP186,feasible_but_not_dc,0,NotApplicable,
233,j10/PSP187,feasible_but_not_dc,0,NotApplicable,
234,j10/PSP188,feasible_and_dc,0,True,46.0
235,j10/PSP188,feasible_and_dc,1,True,46.0
236,j10/PSP189,feasible_and_dc,0,True,43.0
237,j10/PSP189,feasible_and_dc,1,True,43.0
238,j10/PSP190,feasible_but_not_dc,0,NotApplicable,
239,j10/PSP191,feasible_but_not_dc,0,NotApplicable,
240,j10/PSP192,feasible_but_not_dc,0,NotApplicable,
241,j10/PSP193,infeasible,0,NotApplicable,
242,j10/PSP194,feasible_but_not_dc,0,NotApplicable,
243,j10/PSP195,infeasible,0,NotApplicable,
244,j10/PSP196,infeasible,0,NotApplicable,
245,j10/PSP197,infeasible,0,NotApplicable,
246,j10/PSP198,infeasible,0,NotApplicable,
247,j10/PSP199,feasible_but_not_dc,0,NotApplicable,
248,j10/PSP200,feasible_but_not_dc,0,NotApplicable,
249,j10/PSP201,infeasible,0,NotApplicable,
250,j10/PSP202,infeasible,0,NotApplicable,
251,j10/PSP203,feasible_but_not_dc,0,NotApplicable,
252,j10/PSP204,infeasible,0,NotApplicable,
253,j10/PSP205,infeasible,0,NotApplicable,
254,j10/PSP206,feasible_and_dc,0,True,63.0
255,j10/PSP206,feasible_and_dc,1,True,63.0
256,j10/PSP207,feasible_and_dc,0,True,76.0
257,j10/PSP207,feasible_and_dc,1,True,76.0
258,j10/PSP208,infeasible,0,NotApplicable,
259,j10/PSP209,infeasible,0,NotApplicable,
260,j10/PSP210,feasible_and_dc,0,True,50.0
261,j10/PSP210,feasible_and_dc,1,True,50.0
262,j10/PSP211,infeasible,0,NotApplicable,
263,j10/PSP212,feasible_and_dc,0,True,74.0
264,j10/PSP212,feasible_and_dc,1,True,74.0
265,j10/PSP213,feasible_and_dc,0,True,62.0
266,j10/PSP213,feasible_and_dc,1,True,62.0
267,j10/PSP214,feasible_but_not_dc,0,NotApplicable,
268,j10/PSP215,infeasible,0,NotApplicable,
269,j10/PSP216,feasible_but_not_dc,0,NotApplicable,
270,j10/PSP217,feasible_but_not_dc,0,NotApplicable,
271,j10/PSP218,infeasible,0,NotApplicable,
272,j10/PSP219,feasible_and_dc_but_rte_error,0,NotApplicable,
273,j10/PSP219,feasible_and_dc_but_rte_error,1,NotApplicable,
274,j10/PSP220,infeasible,0,NotApplicable,
275,j10/PSP221,feasible_but_not_dc,0,NotApplicable,
276,j10/PSP222,feasible_and_dc,0,True,88.0
277,j10/PSP222,feasible_and_dc,1,True,88.0
