,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method,time_limit_initial,time_limit_rescheduling,time_limit_pi
98,j30,PSP2,48,0.0,inf,inf,reactive,60,10,60
99,j30,PSP2,49,0.0,inf,inf,reactive,60,10,60
100,j30,PSP3,0,0.0,inf,inf,reactive,60,10,60
101,j30,PSP3,1,0.0,inf,inf,reactive,60,10,60
102,j30,PSP3,2,0.0,inf,inf,reactive,60,10,60
103,j30,PSP3,3,0.0,inf,inf,reactive,60,10,60
104,j30,PSP3,4,0.0,inf,inf,reactive,60,10,60
105,j30,PSP3,5,0.0,inf,inf,reactive,60,10,60
106,j30,PSP3,6,0.0,inf,inf,reactive,60,10,60
107,j30,PSP3,7,0.0,inf,inf,reactive,60,10,60
108,j30,PSP3,8,0.0,inf,inf,reactive,60,10,60
109,j30,PSP3,9,0.0,inf,inf,reactive,60,10,60
110,j30,PSP3,10,0.0,inf,inf,reactive,60,10,60
111,j30,PSP3,11,0.0,inf,inf,reactive,60,10,60
112,j30,PSP3,12,0.0,inf,inf,reactive,60,10,60
113,j30,PSP3,13,0.0,inf,inf,reactive,60,10,60
114,j30,PSP3,14,0.0,inf,inf,reactive,60,10,60
115,j30,PSP3,15,0.0,inf,inf,reactive,60,10,60
116,j30,PSP3,16,0.0,inf,inf,reactive,60,10,60
117,j30,PSP3,17,0.0,inf,inf,reactive,60,10,60
118,j30,PSP3,18,0.0,inf,inf,reactive,60,10,60
119,j30,PSP3,19,0.0,inf,inf,reactive,60,10,60
120,j30,PSP3,20,0.0,inf,inf,reactive,60,10,60
121,j30,PSP3,21,0.0,inf,inf,reactive,60,10,60
122,j30,PSP3,22,0.0,inf,inf,reactive,60,10,60
123,j30,PSP3,23,0.0,inf,inf,reactive,60,10,60
124,j30,PSP3,24,0.0,inf,inf,reactive,60,10,60
125,j30,PSP3,25,0.0,inf,inf,reactive,60,10,60
126,j30,PSP3,26,0.0,inf,inf,reactive,60,10,60
127,j30,PSP3,27,0.0,inf,inf,reactive,60,10,60
128,j30,PSP3,28,0.0,inf,inf,reactive,60,10,60
129,j30,PSP3,29,0.0,inf,inf,reactive,60,10,60
130,j30,PSP3,30,0.0,inf,inf,reactive,60,10,60
