,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method,time_limit_initial,time_limit_rescheduling,time_limit_pi
0,j10,PSP1,0,0.0,26.0,26.0,reactive,60,10,60
1,j10,PSP1,1,0.0,26.0,26.0,reactive,60,10,60
2,j10,PSP1,2,100.0,inf,26.0,reactive,60,10,60
3,j10,PSP1,3,0.0,26.0,26.0,reactive,60,10,60
4,j10,PSP1,4,0.0,26.0,26.0,reactive,60,10,60
5,j10,PSP1,5,0.0,28.0,28.0,reactive,60,10,60
6,j10,PSP1,6,0.0,26.0,26.0,reactive,60,10,60
7,j10,PSP1,7,0.0,28.0,28.0,reactive,60,10,60
8,j10,PSP1,8,0.0,26.0,26.0,reactive,60,10,60
9,j10,PSP1,9,0.0,26.0,26.0,reactive,60,10,60
10,j10,PSP1,10,0.0,26.0,26.0,reactive,60,10,60
11,j10,PSP1,11,0.0,26.0,26.0,reactive,60,10,60
12,j10,PSP1,12,0.0,26.0,26.0,reactive,60,10,60
13,j10,PSP1,13,0.0,26.0,26.0,reactive,60,10,60
14,j10,PSP1,14,0.0,26.0,26.0,reactive,60,10,60
15,j10,PSP1,15,0.0,26.0,26.0,reactive,60,10,60
16,j10,PSP1,16,0.0,26.0,26.0,reactive,60,10,60
17,j10,PSP1,17,0.0,26.0,26.0,reactive,60,10,60
18,j10,PSP1,18,100.0,inf,26.0,reactive,60,10,60
19,j10,PSP1,19,0.0,26.0,26.0,reactive,60,10,60
20,j10,PSP1,20,0.0,26.0,26.0,reactive,60,10,60
21,j10,PSP1,21,0.0,26.0,26.0,reactive,60,10,60
22,j10,PSP1,22,100.0,inf,26.0,reactive,60,10,60
23,j10,PSP1,23,0.0,28.0,28.0,reactive,60,10,60
24,j10,PSP1,24,0.0,26.0,26.0,reactive,60,10,60
25,j10,PSP1,25,0.0,27.0,27.0,reactive,60,10,60
26,j10,PSP1,26,0.0,27.0,27.0,reactive,60,10,60
27,j10,PSP1,27,100.0,inf,26.0,reactive,60,10,60
28,j10,PSP1,28,0.0,27.0,27.0,reactive,60,10,60
29,j10,PSP1,29,0.0,26.0,26.0,reactive,60,10,60
30,j10,PSP1,30,100.0,inf,26.0,reactive,60,10,60
31,j10,PSP1,31,0.0,26.0,26.0,reactive,60,10,60
32,j10,PSP1,32,0.0,26.0,26.0,reactive,60,10,60
33,j10,PSP1,33,0.0,26.0,26.0,reactive,60,10,60
34,j10,PSP1,34,0.0,28.0,28.0,reactive,60,10,60
35,j10,PSP1,35,0.0,26.0,26.0,reactive,60,10,60
36,j10,PSP1,36,0.0,26.0,26.0,reactive,60,10,60
37,j10,PSP1,37,100.0,inf,26.0,reactive,60,10,60
38,j10,PSP1,38,0.0,26.0,26.0,reactive,60,10,60
39,j10,PSP1,39,0.0,26.0,26.0,reactive,60,10,60
40,j10,PSP1,40,0.0,26.0,26.0,reactive,60,10,60
41,j10,PSP1,41,0.0,26.0,26.0,reactive,60,10,60
42,j10,PSP1,42,0.0,27.0,27.0,reactive,60,10,60
43,j10,PSP1,43,0.0,26.0,26.0,reactive,60,10,60
44,j10,PSP1,44,0.0,28.0,28.0,reactive,60,10,60
45,j10,PSP1,45,0.0,26.0,26.0,reactive,60,10,60
46,j10,PSP1,46,0.0,26.0,26.0,reactive,60,10,60
47,j10,PSP1,47,0.0,26.0,26.0,reactive,60,10,60
48,j10,PSP1,48,3.8461538461538463,27.0,26.0,reactive,60,10,60
49,j10,PSP1,49,0.0,26.0,26.0,reactive,60,10,60
