,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method
,instance_folder,instance_name,sample,relative_regret,obj,obj_pi,method
116,j10,PSP3,16,0.0,37.0,37.0,reactive
117,j10,PSP3,17,100.0,inf,36.0,reactive
118,j10,PSP3,18,0.0,35.0,35.0,reactive
119,j10,PSP3,19,0.0,37.0,37.0,reactive
120,j10,PSP3,20,0.0,34.0,34.0,reactive
121,j10,PSP3,21,0.0,36.0,36.0,reactive
122,j10,PSP3,22,100.0,inf,36.0,reactive
123,j10,PSP3,23,0.0,35.0,35.0,reactive
124,j10,PSP3,24,100.0,inf,36.0,reactive
125,j10,PSP3,25,20.58823529411765,41.0,34.0,reactive
126,j10,PSP3,26,100.0,inf,36.0,reactive
127,j10,PSP3,27,0.0,36.0,36.0,reactive
128,j10,PSP3,28,0.0,35.0,35.0,reactive
129,j10,PSP3,29,100.0,inf,36.0,reactive
130,j10,PSP3,30,100.0,inf,36.0,reactive
131,j10,PSP3,31,100.0,inf,36.0,reactive
132,j10,PSP3,32,100.0,inf,37.0,reactive
133,j10,PSP3,33,20.58823529411765,41.0,34.0,reactive
134,j10,PSP3,34,100.0,inf,36.0,reactive
135,j10,PSP3,35,100.0,inf,36.0,reactive
136,j10,PSP3,36,0.0,34.0,34.0,reactive
137,j10,PSP3,37,0.0,35.0,35.0,reactive
138,j10,PSP3,38,0.0,36.0,36.0,reactive
139,j10,PSP3,39,0.0,37.0,37.0,reactive
140,j10,PSP3,40,19.444444444444443,43.0,36.0,reactive
141,j10,PSP3,41,2.857142857142857,36.0,35.0,reactive
142,j10,PSP3,42,100.0,inf,36.0,reactive
143,j10,PSP3,43,100.0,inf,36.0,reactive
144,j10,PSP3,44,100.0,inf,36.0,reactive
145,j10,PSP3,45,0.0,36.0,36.0,reactive
146,j10,PSP3,46,100.0,inf,36.0,reactive
147,j10,PSP3,47,0.0,35.0,35.0,reactive
148,j10,PSP3,48,100.0,inf,36.0,reactive
149,j10,PSP3,49,100.0,inf,36.0,reactive
150,j10,PSP4,0,100.0,inf,40.0,reactive
151,j10,PSP4,1,0.0,37.0,37.0,reactive
152,j10,PSP4,2,2.9411764705882355,35.0,34.0,reactive
153,j10,PSP4,3,0.0,38.0,38.0,reactive
154,j10,PSP4,4,0.0,39.0,39.0,reactive
155,j10,PSP4,5,2.9411764705882355,35.0,34.0,reactive
156,j10,PSP4,6,100.0,inf,40.0,reactive
157,j10,PSP4,7,0.0,40.0,40.0,reactive
158,j10,PSP4,8,11.11111111111111,40.0,36.0,reactive
159,j10,PSP4,9,0.0,38.0,38.0,reactive
160,j10,PSP4,10,100.0,inf,40.0,reactive
161,j10,PSP4,11,0.0,39.0,39.0,reactive
162,j10,PSP4,12,100.0,inf,40.0,reactive
163,j10,PSP4,13,0.0,36.0,36.0,reactive
164,j10,PSP4,14,100.0,inf,40.0,reactive
165,j10,PSP4,15,2.5641025641025643,40.0,39.0,reactive
166,j10,PSP4,16,100.0,inf,40.0,reactive
167,j10,PSP4,17,7.894736842105263,41.0,38.0,reactive
168,j10,PSP4,18,100.0,inf,40.0,reactive
169,j10,PSP4,19,5.555555555555555,38.0,36.0,reactive
170,j10,PSP4,20,100.0,inf,34.0,reactive
171,j10,PSP4,21,2.7027027027027026,38.0,37.0,reactive
172,j10,PSP4,22,0.0,39.0,39.0,reactive
173,j10,PSP4,23,0.0,38.0,38.0,reactive
174,j10,PSP4,24,0.0,38.0,38.0,reactive
175,j10,PSP4,25,100.0,inf,40.0,reactive
176,j10,PSP4,26,100.0,inf,40.0,reactive
177,j10,PSP4,27,100.0,inf,40.0,reactive
178,j10,PSP4,28,100.0,inf,35.0,reactive
179,j10,PSP4,29,2.857142857142857,36.0,35.0,reactive
180,j10,PSP4,30,2.857142857142857,36.0,35.0,reactive
181,j10,PSP4,31,100.0,inf,33.0,reactive
182,j10,PSP4,32,0.0,38.0,38.0,reactive
183,j10,PSP4,33,0.0,40.0,40.0,reactive
184,j10,PSP4,34,100.0,inf,40.0,reactive
185,j10,PSP4,35,0.0,40.0,40.0,reactive
186,j10,PSP4,36,100.0,inf,40.0,reactive
187,j10,PSP4,37,100.0,inf,40.0,reactive
188,j10,PSP4,38,100.0,inf,40.0,reactive
189,j10,PSP4,39,8.571428571428571,38.0,35.0,reactive
190,j10,PSP4,40,0.0,35.0,35.0,reactive
191,j10,PSP4,41,0.0,36.0,36.0,reactive
192,j10,PSP4,42,9.090909090909092,36.0,33.0,reactive
193,j10,PSP4,43,100.0,inf,38.0,reactive
194,j10,PSP4,44,2.857142857142857,36.0,35.0,reactive
195,j10,PSP4,45,100.0,inf,40.0,reactive
196,j10,PSP4,46,100.0,inf,40.0,reactive
197,j10,PSP4,47,0.0,38.0,38.0,reactive
198,j10,PSP4,48,8.333333333333334,39.0,36.0,reactive
199,j10,PSP4,49,2.9411764705882355,35.0,34.0,reactive
200,j10,PSP5,0,100.0,inf,32.0,reactive
201,j10,PSP5,1,100.0,inf,33.0,reactive
202,j10,PSP5,2,100.0,inf,32.0,reactive
203,j10,PSP5,3,100.0,inf,33.0,reactive
204,j10,PSP5,4,100.0,inf,33.0,reactive
205,j10,PSP5,5,6.896551724137931,31.0,29.0,reactive
206,j10,PSP5,6,0.0,29.0,29.0,reactive
207,j10,PSP5,7,10.0,33.0,30.0,reactive
208,j10,PSP5,8,0.0,31.0,31.0,reactive
209,j10,PSP5,9,17.857142857142858,33.0,28.0,reactive
210,j10,PSP5,10,100.0,inf,33.0,reactive
211,j10,PSP5,11,100.0,inf,33.0,reactive
212,j10,PSP5,12,0.0,32.0,32.0,reactive
213,j10,PSP5,13,100.0,inf,34.0,reactive
214,j10,PSP5,14,100.0,inf,32.0,reactive
215,j10,PSP5,15,0.0,28.0,28.0,reactive
216,j10,PSP5,16,100.0,inf,33.0,reactive
217,j10,PSP5,17,100.0,inf,33.0,reactive
218,j10,PSP5,18,100.0,inf,34.0,reactive
219,j10,PSP5,19,100.0,inf,32.0,reactive
220,j10,PSP5,20,6.451612903225806,33.0,31.0,reactive
221,j10,PSP5,21,100.0,inf,33.0,reactive
222,j10,PSP5,22,100.0,inf,31.0,reactive
223,j10,PSP5,23,7.6923076923076925,28.0,26.0,reactive
224,j10,PSP5,24,3.4482758620689653,30.0,29.0,reactive
225,j10,PSP5,25,6.25,34.0,32.0,reactive
226,j10,PSP5,26,100.0,inf,33.0,reactive
227,j10,PSP5,27,100.0,inf,31.0,reactive
228,j10,PSP5,28,20.833333333333332,29.0,24.0,reactive
229,j10,PSP5,29,100.0,inf,34.0,reactive
230,j10,PSP5,30,100.0,inf,34.0,reactive
231,j10,PSP5,31,100.0,inf,33.0,reactive
232,j10,PSP5,32,10.0,33.0,30.0,reactive
233,j10,PSP5,33,100.0,inf,33.0,reactive
234,j10,PSP5,34,100.0,inf,34.0,reactive
235,j10,PSP5,35,6.25,34.0,32.0,reactive
236,j10,PSP5,36,100.0,inf,33.0,reactive
237,j10,PSP5,37,100.0,inf,34.0,reactive
238,j10,PSP5,38,100.0,inf,33.0,reactive
239,j10,PSP5,39,100.0,inf,33.0,reactive
240,j10,PSP5,40,0.0,31.0,31.0,reactive
241,j10,PSP5,41,3.5714285714285716,29.0,28.0,reactive
242,j10,PSP5,42,100.0,inf,34.0,reactive
243,j10,PSP5,43,0.0,34.0,34.0,reactive
244,j10,PSP5,44,100.0,inf,32.0,reactive
245,j10,PSP5,45,0.0,32.0,32.0,reactive
246,j10,PSP5,46,100.0,inf,33.0,reactive
247,j10,PSP5,47,25.0,30.0,24.0,reactive
248,j10,PSP5,48,100.0,inf,33.0,reactive
249,j10,PSP5,49,100.0,inf,33.0,reactive
250,j10,PSP6,0,0.0,inf,inf,reactive
251,j10,PSP6,1,0.0,inf,inf,reactive
252,j10,PSP6,2,0.0,inf,inf,reactive
253,j10,PSP6,3,0.0,inf,inf,reactive
254,j10,PSP6,4,0.0,inf,inf,reactive
255,j10,PSP6,5,0.0,inf,inf,reactive
256,j10,PSP6,6,0.0,inf,inf,reactive
257,j10,PSP6,7,0.0,inf,inf,reactive
258,j10,PSP6,8,0.0,inf,inf,reactive
259,j10,PSP6,9,0.0,inf,inf,reactive
260,j10,PSP6,10,0.0,inf,inf,reactive
261,j10,PSP6,11,0.0,inf,inf,reactive
262,j10,PSP6,12,0.0,inf,inf,reactive
263,j10,PSP6,13,0.0,inf,inf,reactive
264,j10,PSP6,14,0.0,inf,inf,reactive
265,j10,PSP6,15,0.0,inf,inf,reactive
