,node_idx,assignment,description
0,58,0,Z
1,75,0,8_0_start
2,83,0,9_0_start
3,55,75,9_4_start
4,76,75,9_2_start
5,88,75,8_4_start
6,97,81,9_0_finish
7,118,93,8_0_finish
8,125,106,9_2_finish
9,56,117,9_4_finish
10,90,131,8_10_start
11,96,131,9_1_start
12,100,131,1_0_start
13,132,145,9_1_finish
14,22,149,8_4_finish
15,46,160,8_10_finish
16,99,227,1_0_finish
17,0,227,0_0_start
18,38,296,0_0_finish
19,73,317,1_7_start
20,107,317,3_0_start
21,12,428,1_7_finish
22,93,464,3_1_start
23,113,464,3_2_start
24,116,464,7_0_start
25,94,463,3_0_finish
26,8,634,7_7_start
27,106,476,3_1_finish
28,168,487,3_2_finish
29,159,639,7_0_finish
30,26,639,6_0_start
31,14,681,7_7_finish
32,6,711,6_1_start
33,45,711,7_10_start
34,65,711,7_2_start
35,68,711,7_4_start
36,72,711,7_8_start
37,77,711,7_12_start
38,101,711,7_15_start
39,24,749,7_8_finish
40,86,749,8_8_start
41,149,754,7_10_finish
42,192,768,6_1_finish
43,164,789,7_2_finish
44,178,789,6_0_finish
45,20,789,8_8_finish
46,5,789,6_2_start
47,128,795,7_12_finish
48,177,811,6_2_finish
49,112,821,6_11_start
50,140,821,5_0_start
51,15,824,7_4_finish
52,123,845,7_15_finish
53,189,898,5_0_finish
54,11,898,2_0_start
55,70,950,6_11_finish
56,17,1014,2_2_start
57,25,1014,5_5_start
58,35,1014,5_4_start
59,44,1014,3_5_start
60,137,1014,5_3_start
61,138,1014,5_2_start
62,142,1014,5_1_start
63,144,1014,0_4_start
64,152,1014,9_5_start
65,157,1014,7_11_start
66,158,1014,7_1_start
67,1,1041,2_0_finish
68,154,1041,4_0_start
69,92,1044,5_1_finish
70,145,1045,0_4_finish
71,64,1053,7_1_finish
72,42,1062,5_3_finish
73,2,1062,7_6_start
74,182,1064,5_4_finish
75,23,1073,2_2_finish
76,27,1073,6_3_start
77,122,1069,7_11_finish
78,179,1080,5_2_finish
79,52,1095,3_5_finish
80,13,1095,7_6_finish
81,28,1099,4_1_start
82,31,1099,4_2_start
83,34,1099,4_4_start
84,63,1099,2_5_start
85,78,1099,1_3_start
86,102,1099,7_14_start
87,155,1099,7_9_start
88,150,1098,9_5_finish
89,71,1098,5_5_finish
90,114,1098,2_7_start
91,160,1098,2_4_start
92,163,1098,2_6_start
93,165,1098,7_3_start
94,166,1098,0_2_start
95,169,1098,8_13_start
96,173,1098,9_3_start
97,176,1098,7_13_start
98,180,1098,8_1_start
99,185,1098,8_9_start
100,66,1119,7_3_finish
101,16,1119,2_1_start
102,133,1130,8_1_finish
103,41,1130,0_2_finish
104,103,1130,1_1_start
105,126,1141,9_3_finish
106,162,1141,2_6_finish
107,62,1141,2_5_finish
108,104,1141,7_14_finish
109,161,1141,2_4_finish
110,10,1141,7_5_start
111,49,1141,8_2_start
112,84,1141,8_12_start
113,87,1141,8_6_start
114,188,1141,8_5_start
115,105,1149,7_13_finish
116,9,1148,2_1_finish
117,181,1148,8_3_start
118,187,1148,8_11_start
119,54,1157,1_3_finish
120,79,1157,4_1_finish
121,3,1168,8_6_finish
122,33,1168,8_5_finish
123,67,1163,6_3_finish
124,50,1165,7_9_finish
125,146,1165,8_2_finish
126,18,1177,7_5_finish
127,36,1183,8_3_finish
128,127,1192,1_1_finish
129,108,1192,2_7_finish
130,32,1192,8_9_finish
131,121,1192,8_12_finish
132,130,1200,8_11_finish
133,7,1200,4_2_finish
134,19,1221,4_5_start
135,29,1221,6_4_start
136,53,1221,1_5_start
137,61,1221,2_3_start
138,171,1216,4_0_finish
139,80,1216,0_1_start
140,82,1216,0_7_start
141,85,1216,0_5_start
142,119,1216,6_8_start
143,148,1216,1_4_start
144,153,1216,3_4_start
145,172,1216,1_6_start
146,174,1216,1_2_start
147,191,1217,4_3_start
148,170,1233,4_4_finish
149,4,1233,4_3_finish
150,136,1232,8_13_finish
151,39,1238,0_1_finish
152,124,1238,6_7_start
153,74,1241,4_5_finish
154,135,1247,0_5_finish
155,48,1247,4_7_start
156,139,1251,4_11_start
157,147,1254,3_4_finish
158,175,1254,6_4_finish
159,51,1254,6_6_start
160,115,1254,4_9_start
161,57,1265,2_3_finish
162,184,1265,8_7_start
163,21,1268,1_6_finish
164,129,1268,1_2_finish
165,134,1268,4_8_start
166,167,1268,0_6_start
167,69,1270,6_7_finish
168,59,1271,1_5_finish
169,110,1271,6_9_start
170,47,1279,4_7_finish
171,111,1286,6_8_finish
172,89,1286,4_9_finish
173,30,1291,8_7_finish
174,156,1289,6_6_finish
175,117,1289,3_3_start
176,141,1289,4_10_start
177,186,1299,4_8_finish
178,120,1299,0_6_finish
179,95,1299,6_10_start
180,131,1314,0_7_finish
181,98,1314,6_9_finish
182,143,1325,1_4_finish
183,190,1325,4_10_finish
184,37,1325,4_6_start
185,109,1333,6_10_finish
186,60,1333,3_3_finish
187,81,1333,0_3_start
188,91,1347,4_11_finish
189,40,1364,0_3_finish
190,183,1364,4_6_finish
191,151,1364,6_5_start
192,43,1388,6_5_finish
