,instance,it,makespan_lb,makespan_stnu,regret,rel_regret,instance_type,status
132,20_3_factory_1,1.0,954.0,2627.0,1673.0,1.7536687631027255,1,feasible_and_dc
133,20_3_factory_1,2.0,916.0,2637.0,1721.0,1.8788209606986899,1,feasible_and_dc
134,20_3_factory_1,3.0,960.0,2600.0,1640.0,1.7083333333333333,1,feasible_and_dc
135,20_3_factory_1,4.0,949.0,2559.0,1610.0,1.696522655426765,1,feasible_and_dc
136,20_3_factory_1,5.0,924.0,2787.0,1863.0,2.0162337662337664,1,feasible_and_dc
137,20_3_factory_1,6.0,945.0,2758.0,1813.0,1.9185185185185185,1,feasible_and_dc
138,20_3_factory_1,7.0,934.0,2620.0,1686.0,1.8051391862955033,1,feasible_and_dc
139,20_3_factory_1,8.0,928.0,2542.0,1614.0,1.7392241379310345,1,feasible_and_dc
140,20_3_factory_1,9.0,950.0,2623.0,1673.0,1.7610526315789474,1,feasible_and_dc
141,20_3_factory_1,0.0,932.0,1320.0,388.0,0.41630901287553645,2,feasible_and_dc
142,20_3_factory_1,1.0,947.0,1384.0,437.0,0.4614572333685322,2,feasible_and_dc
143,20_3_factory_1,2.0,917.0,1344.0,427.0,0.46564885496183206,2,feasible_and_dc
144,20_3_factory_1,3.0,951.0,1382.0,431.0,0.45320715036803366,2,feasible_and_dc
145,20_3_factory_1,4.0,967.0,1383.0,416.0,0.4301964839710445,2,feasible_and_dc
146,20_3_factory_1,5.0,937.0,1387.0,450.0,0.48025613660619,2,feasible_and_dc
147,20_3_factory_1,6.0,939.0,1346.0,407.0,0.4334398296059638,2,feasible_and_dc
148,20_3_factory_1,7.0,965.0,1357.0,392.0,0.40621761658031086,2,feasible_and_dc
149,20_3_factory_1,8.0,952.0,1358.0,406.0,0.4264705882352941,2,feasible_and_dc
150,20_3_factory_1,9.0,936.0,1354.0,418.0,0.4465811965811966,2,feasible_and_dc
151,20_4_factory_1,0.0,835.0,1967.0,1132.0,1.355688622754491,1,feasible_and_dc
152,20_4_factory_1,1.0,823.0,1851.0,1028.0,1.2490886998784934,1,feasible_and_dc
153,20_4_factory_1,2.0,830.0,1921.0,1091.0,1.3144578313253013,1,feasible_and_dc
154,20_4_factory_1,3.0,842.0,1940.0,1098.0,1.3040380047505937,1,feasible_and_dc
155,20_4_factory_1,4.0,834.0,1940.0,1106.0,1.3261390887290168,1,feasible_and_dc
156,20_4_factory_1,5.0,820.0,1942.0,1122.0,1.3682926829268294,1,feasible_and_dc
157,20_4_factory_1,6.0,848.0,2018.0,1170.0,1.3797169811320755,1,feasible_and_dc
158,20_4_factory_1,7.0,836.0,1854.0,1018.0,1.2177033492822966,1,feasible_and_dc
