,instance,it,makespan_lb,makespan_stnu,regret,instance_type
0,20_1_factory_1,0,928,2298,1370,1
1,20_1_factory_1,1,919,2355,1436,1
2,20_1_factory_1,2,902,2311,1409,1
3,20_1_factory_1,3,895,2115,1220,1
4,20_1_factory_1,4,931,2302,1371,1
