,task,earliest_start,start,end,product_index,activity_id,product_id
0,0,284,284,434,0,0,14
1,1,326,326,350,0,1,14
2,2,326,326,384,0,2,14
3,3,415,415,452,0,3,14
4,4,405,405,476,0,4,14
5,5,415,415,489,0,5,14
6,6,405,405,489,0,6,14
7,7,384,384,493,0,7,14
8,8,326,326,493,0,8,14
9,9,384,384,509,0,9,14
10,10,384,384,509,0,10,14
11,11,394,394,520,0,11,14
12,12,394,394,520,0,12,14
13,13,415,415,564,0,13,14
14,14,476,476,613,0,14,14
15,15,1237,1237,1354,1,0,1
16,16,1282,1282,1338,1,1,1
17,17,1282,1282,1343,1,2,1
18,18,1318,1318,1370,1,3,1
19,19,1282,1282,1370,1,4,1
20,20,1318,1318,1382,1,5,1
21,21,1354,1354,1387,1,6,1
22,22,1353,1353,1387,1,7,1
23,23,1354,1354,1393,1,8,1
24,24,1336,1336,1393,1,9,1
25,25,1350,1350,1412,1,10,1
26,26,1319,1319,1412,1,11,1
27,27,1351,1351,1505,1,12,1
28,28,1354,1354,1513,2,0,25
29,29,1444,1444,1468,2,1,25
30,30,1468,1468,1512,2,2,25
31,31,1468,1468,1512,2,3,25
32,32,1468,1468,1514,2,4,25
33,33,1444,1444,1514,2,5,25
34,34,1498,1498,1537,2,6,25
35,35,1498,1498,1537,2,7,25
36,36,1489,1489,1626,2,8,25
37,37,165,165,284,3,0,9
38,38,299,299,325,3,1,9
39,39,299,299,325,3,2,9
40,40,265,265,325,3,3,9
41,41,265,265,325,3,4,9
42,42,299,299,353,3,5,9
43,43,299,299,353,3,6,9
44,44,299,299,353,3,7,9
45,45,299,299,353,3,8,9
46,46,353,353,442,3,9,9
47,47,0,0,102,4,0,2
48,48,117,117,148,4,1,2
49,49,119,119,148,4,2,2
50,50,117,117,158,4,3,2
51,51,71,71,158,4,4,2
52,52,132,132,160,4,5,2
53,53,132,132,160,4,6,2
54,54,145,145,171,4,7,2
55,55,145,145,171,4,8,2
56,56,148,148,264,4,9,2
57,57,995,995,1120,5,0,10
58,58,1049,1049,1107,5,1,10
59,59,1049,1049,1110,5,2,10
60,60,1123,1123,1141,5,3,10
61,61,1102,1102,1141,5,4,10
62,62,1087,1087,1142,5,5,10
63,63,1088,1088,1142,5,6,10
64,64,1123,1123,1151,5,7,10
65,65,1123,1123,1156,5,8,10
66,66,1102,1102,1156,5,9,10
67,67,1123,1123,1165,5,10,10
68,68,1087,1087,1168,5,11,10
69,69,1049,1049,1168,5,12,10
70,70,1133,1133,1173,5,13,10
71,71,1124,1124,1173,5,14,10
72,72,1118,1118,1266,5,15,10
73,73,516,516,674,6,0,28
74,74,588,588,648,6,1,28
75,75,666,666,687,6,2,28
76,76,588,588,687,6,3,28
77,77,666,666,698,6,4,28
78,78,684,684,706,6,5,28
79,79,668,668,706,6,6,28
80,80,684,684,719,6,7,28
81,81,651,651,719,6,8,28
82,82,694,694,733,6,9,28
83,83,698,698,731,6,10,28
84,84,698,698,820,6,11,28
85,85,586,586,755,7,0,32
86,86,648,648,673,7,1,32
87,87,648,648,743,7,2,32
88,88,743,743,758,7,3,32
89,89,648,648,758,7,4,32
90,90,749,749,760,7,5,32
91,91,733,733,760,7,6,32
92,92,743,743,768,7,7,32
93,93,743,743,768,7,8,32
94,94,749,749,771,7,9,32
95,95,756,756,774,7,10,32
96,96,749,749,774,7,11,32
97,97,768,768,863,7,12,32
98,98,388,388,516,8,0,43
99,99,440,440,457,8,1,43
100,100,440,440,501,8,2,43
101,101,474,474,513,8,3,43
