,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,8,Harvesting tanks A,Harvesting tanks A,0,42,42,42,66
1,1,0,Harvesting tanks A,Harvesting tanks A,2,65,65,65,90
2,2,8,Harvesting tanks A,Harvesting tanks A,1,42,42,42,100
3,0,6,Fermenter_2,Fermenter_2,0,6,6,6,108
4,1,3,Harvesting tanks A,Harvesting tanks A,0,81,81,81,111
5,0,7,Fermenter_5,Fermenter_5,0,21,21,21,117
6,0,8,Fermenter_3,Fermenter_3,0,0,0,0,150
7,2,0,Harvesting tanks A,Harvesting tanks A,3,65,65,65,160
8,2,3,Harvesting tanks A,Harvesting tanks A,2,81,90,90,160
9,4,6,Harvesting tanks B,Harvesting tanks B,3,77,77,77,164
10,3,6,Filters A,Filters A,2,123,123,123,164
11,3,8,Microfilter,Microfilter,0,131,131,131,168
12,0,0,Fermenter_1,Fermenter_1,0,3,3,3,172
13,4,0,Harvesting tanks B,Harvesting tanks B,1,65,65,65,175
14,3,0,Filters A,Filters A,0,160,160,160,175
15,0,3,Fermenter_4,Fermenter_4,0,9,9,9,176
16,6,0,Harvesting tanks B,Harvesting tanks B,2,150,150,150,177
17,5,0,Filters A,Filters A,1,166,166,166,177
18,4,3,Harvesting tanks B,Harvesting tanks B,4,81,81,81,184
19,2,7,Harvesting tanks B,Harvesting tanks B,3,102,164,164,185
20,1,7,Filters A,Filters A,1,111,177,177,189
21,3,3,Filters A,Filters A,2,157,164,164,191
22,4,8,Buffer tanks,Buffer tanks,0,121,121,121,192
23,8,0,Microfilter,Microfilter,0,160,168,168,193
24,6,8,Microfilter,Microfilter,1,121,121,121,205
25,5,8,Buffer tanks,Buffer tanks,1,131,131,131,205
26,1,9,Harvesting tanks A,Harvesting tanks A,1,192,192,192,207
27,8,8,Harvesting tanks B,Harvesting tanks B,0,42,42,42,209
28,7,8,Filters B,Filters B,0,100,100,100,209
29,7,0,Buffer tanks,Buffer tanks,0,160,192,192,217
30,11,0,Microfilter,Microfilter,0,166,193,193,218
31,9,8,Buffer tanks,Buffer tanks,2,100,100,100,225
32,10,8,Microfilter,Microfilter,2,100,100,100,225
33,9,0,Buffer tanks,Buffer tanks,1,166,205,205,227
34,5,7,Stabilization tanks,Stabilization tanks,5,140,140,140,229
35,2,6,Microfilter,Microfilter,1,125,205,205,234
36,10,0,Buffer tanks,Buffer tanks,0,173,217,217,235
37,11,8,Buffer tanks,Buffer tanks,3,110,110,110,236
38,12,8,Microfilter,Microfilter,3,110,110,110,236
39,1,36,Harvesting tanks A,Harvesting tanks A,2,228,228,228,245
40,0,40,Fermenter_5,Fermenter_5,0,150,150,150,246
41,6,6,Microfilter,Microfilter,0,138,218,218,246
42,12,3,Harvesting tanks B,Harvesting tanks B,5,146,146,146,251
43,8,6,Microfilter,Microfilter,2,151,225,225,251
44,2,40,Harvesting tanks B,Harvesting tanks B,3,231,231,231,252
45,5,6,Buffer tanks,Buffer tanks,1,138,227,227,255
46,1,6,Buffer tanks,Buffer tanks,2,123,225,225,256
47,11,3,Filters A,Filters A,0,167,175,175,259
48,7,6,Buffer tanks,Buffer tanks,0,151,235,235,261
49,1,4,Harvesting tanks A,Harvesting tanks A,3,240,240,240,264
50,9,6,Stabilization tanks,Stabilization tanks,3,154,154,154,270
51,2,9,Harvesting tanks A,Harvesting tanks A,0,192,192,192,277
52,13,8,Stabilization tanks,Stabilization tanks,0,131,131,131,280
53,12,0,Stabilization tanks,Stabilization tanks,2,185,185,185,280
54,0,5,Fermenter_1,Fermenter_1,0,15,172,172,284
55,2,36,Harvesting tanks A,Harvesting tanks A,1,228,228,228,289
56,0,9,Fermenter_2,Fermenter_2,0,27,108,108,295
57,6,3,Microfilter,Microfilter,1,158,234,234,295
58,8,3,Microfilter,Microfilter,3,168,236,236,297
59,5,3,Buffer tanks,Buffer tanks,3,157,236,236,298
60,0,36,Fermenter_4,Fermenter_4,0,30,176,176,304
61,10,3,Microfilter,Microfilter,0,173,246,246,306
62,9,3,Buffer tanks,Buffer tanks,2,183,256,256,306
63,2,5,Harvesting tanks B,Harvesting tanks B,0,266,266,266,308
64,0,4,Fermenter_3,Fermenter_3,0,12,150,150,309
65,6,9,Harvesting tanks B,Harvesting tanks B,2,192,192,192,309
66,5,9,Harvesting tanks B,Harvesting tanks B,1,267,267,267,309
67,3,9,Filters A,Filters A,1,290,290,290,309
