,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,9,Harvesting tanks A,Harvesting tanks A,0,69,69,69,93
1,0,6,Fermenter_2,Fermenter_2,0,9,9,9,111
2,0,15,Fermenter_1,Fermenter_1,0,0,0,0,112
3,2,15,Harvesting tanks B,Harvesting tanks B,0,87,87,87,112
4,1,15,Filters B,Filters B,0,97,97,97,112
5,3,15,Buffer tanks,Buffer tanks,0,97,97,97,116
6,4,15,Microfilter,Microfilter,0,97,97,97,116
7,5,15,Buffer tanks,Buffer tanks,1,102,102,102,120
8,6,15,Microfilter,Microfilter,1,102,102,102,120
9,7,15,Buffer tanks,Buffer tanks,2,107,107,107,124
10,8,15,Microfilter,Microfilter,2,107,107,107,124
11,0,12,Fermenter_4,Fermenter_4,0,6,6,6,125
12,2,9,Harvesting tanks A,Harvesting tanks A,1,69,69,69,127
13,0,11,Fermenter_5,Fermenter_5,0,33,33,33,129
14,2,11,Harvesting tanks B,Harvesting tanks B,5,114,114,114,135
15,3,12,Harvesting tanks B,Harvesting tanks B,1,106,106,106,166
16,4,12,Harvesting tanks B,Harvesting tanks B,2,106,106,106,166
17,1,12,Filters A,Filters A,0,140,140,140,166
18,2,12,Filters A,Filters A,1,140,140,140,166
19,0,9,Fermenter_3,Fermenter_3,0,27,27,27,177
20,1,11,Filters A,Filters A,0,123,166,166,178
21,5,12,Buffer tanks,Buffer tanks,3,140,140,140,194
22,6,12,Buffer tanks,Buffer tanks,0,140,140,140,194
23,7,12,Microfilter,Microfilter,3,140,140,140,194
24,8,12,Microfilter,Microfilter,0,140,140,140,194
25,1,6,Buffer tanks,Buffer tanks,1,137,137,137,195
26,2,6,Microfilter,Microfilter,1,140,140,140,195
27,4,6,Harvesting tanks B,Harvesting tanks B,3,80,80,80,201
28,3,6,Filters A,Filters A,2,137,137,137,201
29,0,8,Fermenter_1,Fermenter_1,0,3,112,112,205
30,0,19,Fermenter_2,Fermenter_2,0,36,111,111,213
31,9,15,Stabilization tanks,Stabilization tanks,0,116,116,116,213
32,5,6,Buffer tanks,Buffer tanks,2,170,170,170,225
33,6,6,Microfilter,Microfilter,2,170,170,170,225
34,3,9,Microfilter,Microfilter,3,158,194,194,231
35,8,9,Harvesting tanks B,Harvesting tanks B,4,69,69,69,236
36,7,9,Filters B,Filters B,0,127,127,127,236
37,5,11,Stabilization tanks,Stabilization tanks,6,152,152,152,241
38,1,13,Harvesting tanks A,Harvesting tanks A,2,200,200,200,241
39,4,11,Microfilter,Microfilter,3,123,231,231,260
40,2,8,Harvesting tanks B,Harvesting tanks B,5,180,180,180,263
41,1,8,Filters A,Filters A,0,226,226,226,263
42,4,9,Buffer tanks,Buffer tanks,3,148,194,194,265
43,5,9,Buffer tanks,Buffer tanks,0,158,194,194,268
44,4,19,Harvesting tanks B,Harvesting tanks B,0,182,182,182,269
45,3,19,Filters A,Filters A,1,228,228,228,269
46,1,4,Harvesting tanks A,Harvesting tanks A,0,237,237,237,269
47,6,9,Microfilter,Microfilter,0,148,194,194,278
48,2,13,Harvesting tanks A,Harvesting tanks A,3,200,200,200,281
49,9,12,Stabilization tanks,Stabilization tanks,1,194,194,194,287
50,10,12,Stabilization tanks,Stabilization tanks,2,194,194,194,287
51,2,51,Harvesting tanks B,Harvesting tanks B,4,261,261,261,287
52,1,51,Filters B,Filters B,0,276,276,276,287
53,2,19,Microfilter,Microfilter,3,230,260,260,289
54,0,51,Fermenter_5,Fermenter_5,0,129,129,129,291
