,Activity,Product,Resource,Check_resource_type,Machine_id,Request moment,Retrieve moment,Start,Finish
0,1,5,Harvesting tanks A,Harvesting tanks A,0,20,20,20,46
1,1,6,Harvesting tanks A,Harvesting tanks A,2,21,21,21,49
2,0,6,Fermenter_2,Fermenter_2,0,6,6,6,67
3,0,5,Fermenter_3,Fermenter_3,0,0,0,0,75
4,2,5,Harvesting tanks A,Harvesting tanks A,1,20,20,20,80
5,0,33,Fermenter_4,Fermenter_4,0,3,3,3,84
6,2,6,Harvesting tanks A,Harvesting tanks A,3,21,21,21,93
7,3,6,Filters A,Filters A,0,70,70,70,94
8,0,27,Fermenter_5,Fermenter_5,0,51,51,51,99
9,3,5,Microfilter,Microfilter,0,65,65,65,101
10,5,6,Filters A,Filters A,1,68,68,68,102
11,0,22,Fermenter_1,Fermenter_1,0,33,33,33,105
12,1,27,Filters A,Filters A,0,96,96,96,108
13,4,6,Harvesting tanks B,Harvesting tanks B,3,54,54,54,110
14,1,33,Harvesting tanks B,Harvesting tanks B,1,72,72,72,122
15,0,35,Fermenter_3,Fermenter_3,0,9,75,75,125
16,0,0,Fermenter_2,Fermenter_2,0,12,67,67,129
17,4,5,Buffer tanks,Buffer tanks,0,60,60,60,130
18,2,27,Harvesting tanks B,Harvesting tanks B,3,92,110,110,130
19,1,22,Filters A,Filters A,2,107,107,107,137
20,5,5,Buffer tanks,Buffer tanks,1,65,65,65,139
21,1,0,Harvesting tanks A,Harvesting tanks A,0,88,88,88,140
22,6,5,Microfilter,Microfilter,1,60,60,60,144
23,0,20,Fermenter_5,Fermenter_5,0,84,99,99,147
24,6,6,Harvesting tanks B,Harvesting tanks B,4,21,21,21,149
25,1,23,Harvesting tanks A,Harvesting tanks A,2,120,120,120,150
26,2,22,Harvesting tanks B,Harvesting tanks B,5,92,92,92,152
27,7,5,Filters B,Filters B,0,50,50,50,158
28,5,33,Harvesting tanks B,Harvesting tanks B,2,72,72,72,158
29,3,33,Microfilter,Microfilter,0,80,101,101,159
30,0,26,Fermenter_1,Fermenter_1,0,36,105,105,161
31,3,35,Filters A,Filters A,1,133,133,133,165
32,0,23,Fermenter_4,Fermenter_4,0,42,84,84,167
33,0,21,Fermenter_3,Fermenter_3,0,15,125,125,173
34,9,5,Buffer tanks,Buffer tanks,2,50,50,50,174
35,10,5,Microfilter,Microfilter,2,50,50,50,174
36,8,35,Filters A,Filters A,0,133,133,133,175
37,11,5,Buffer tanks,Buffer tanks,3,55,55,55,179
38,12,5,Microfilter,Microfilter,3,55,55,55,179
39,3,23,Filters A,Filters A,2,158,158,158,184
40,1,20,Filters A,Filters A,0,144,175,175,187
41,8,5,Harvesting tanks B,Harvesting tanks B,0,20,20,20,188
42,2,33,Buffer tanks,Buffer tanks,0,80,130,130,188
43,2,23,Harvesting tanks A,Harvesting tanks A,1,120,120,120,190
44,0,10,Fermenter_2,Fermenter_2,0,18,129,129,191
45,0,8,Fermenter_5,Fermenter_5,0,108,147,147,195
46,14,6,Stabilization tanks,Stabilization tanks,3,92,92,92,196
47,6,33,Buffer tanks,Buffer tanks,1,97,139,139,197
48,5,27,Stabilization tanks,Stabilization tanks,5,110,110,110,200
49,7,33,Microfilter,Microfilter,1,97,144,144,202
50,1,10,Harvesting tanks A,Harvesting tanks A,0,150,150,150,202
51,1,21,Harvesting tanks A,Harvesting tanks A,3,125,125,125,205
52,8,6,Microfilter,Microfilter,0,69,159,159,205
53,4,35,Harvesting tanks B,Harvesting tanks B,3,110,130,130,208
54,2,20,Harvesting tanks B,Harvesting tanks B,0,140,188,188,208
55,2,21,Filters A,Filters A,2,169,184,184,212
56,13,5,Stabilization tanks,Stabilization tanks,0,65,65,65,213
57,7,6,Buffer tanks,Buffer tanks,2,68,174,174,222
58,11,6,Microfilter,Microfilter,2,71,174,174,222
59,10,6,Buffer tanks,Buffer tanks,0,78,188,188,222
60,13,6,Microfilter,Microfilter,3,78,179,179,223
61,1,8,Filters A,Filters A,2,192,212,212,224
62,4,21,Filters A,Filters A,0,169,187,187,225
63,6,0,Harvesting tanks B,Harvesting tanks B,1,88,122,122,228
64,4,33,Filters B,Filters B,0,80,158,158,228
65,9,6,Buffer tanks,Buffer tanks,3,70,179,179,229
66,0,12,Fermenter_3,Fermenter_3,0,66,173,173,232
67,14,5,Stabilization tanks,Stabilization tanks,1,95,95,95,233
68,7,22,Stabilization tanks,Stabilization tanks,4,129,129,129,233
69,1,29,Harvesting tanks A,Harvesting tanks A,2,203,203,203,233
70,2,26,Harvesting tanks B,Harvesting tanks B,3,149,208,208,234
71,8,33,Stabilization tanks,Stabilization tanks,2,109,109,109,237
72,9,35,Harvesting tanks B,Harvesting tanks B,4,110,149,149,237
73,12,6,Buffer tanks,Buffer tanks,1,80,197,197,237
74,2,0,Buffer tanks,Buffer tanks,1,124,237,237,237
75,0,32,Fermenter_1,Fermenter_1,0,39,161,161,243
76,12,0,Stabilization tanks,Stabilization tanks,7,150,150,150,244
77,4,22,Microfilter,Microfilter,1,108,202,202,244
78,3,21,Harvesting tanks B,Harvesting tanks B,0,165,208,208,244
79,1,39,Harvesting tanks A,Harvesting tanks A,0,204,204,204,246
80,5,20,Stabilization tanks,Stabilization tanks,10,158,158,158,248
81,11,23,Filters A,Filters A,1,163,165,165,249
82,6,22,Microfilter,Microfilter,0,115,205,205,249
83,0,29,Fermenter_4,Fermenter_4,0,45,167,167,250
84,4,27,Microfilter,Microfilter,2,96,222,222,250
85,4,0,Microfilter,Microfilter,3,124,223,223,251
86,0,39,Fermenter_2,Fermenter_2,0,21,191,191,252
87,4,23,Harvesting tanks B,Harvesting tanks B,5,120,152,152,254
88,3,27,Buffer tanks,Buffer tanks,3,96,229,229,257
89,2,8,Harvesting tanks B,Harvesting tanks B,4,188,237,237,257
90,11,0,Stabilization tanks,Stabilization tanks,6,124,124,124,260
91,12,23,Harvesting tanks B,Harvesting tanks B,2,152,158,158,264
92,3,0,Buffer tanks,Buffer tanks,1,124,237,237,265
93,3,22,Buffer tanks,Buffer tanks,2,107,222,222,266
94,5,22,Buffer tanks,Buffer tanks,0,115,222,222,266
95,3,29,Filters A,Filters A,2,241,241,241,267
96,1,1,Harvesting tanks A,Harvesting tanks A,2,252,252,252,272
97,2,29,Harvesting tanks A,Harvesting tanks A,1,203,203,203,273
98,2,39,Harvesting tanks A,Harvesting tanks A,3,204,205,205,273
99,13,35,Stabilization tanks,Stabilization tanks,8,140,140,140,274
100,5,21,Harvesting tanks B,Harvesting tanks B,1,165,228,228,274
101,2,35,Microfilter,Microfilter,2,134,250,250,276
102,1,12,Filters A,Filters A,1,239,249,249,277
103,6,35,Microfilter,Microfilter,3,140,251,251,277
104,5,0,Filters B,Filters B,0,114,228,228,282
105,2,32,Harvesting tanks B,Harvesting tanks B,0,231,244,244,290
106,5,35,Buffer tanks,Buffer tanks,0,140,266,266,292
107,0,15,Fermenter_2,Fermenter_2,0,24,252,252,293
108,9,26,Stabilization tanks,Stabilization tanks,3,163,196,196,294
109,1,35,Buffer tanks,Buffer tanks,2,133,266,266,294
110,2,12,Filters A,Filters A,2,239,267,267,295
111,11,21,Stabilization tanks,Stabilization tanks,5,193,200,200,296
112,1,26,Filters B,Filters B,0,154,282,282,298
113,0,1,Fermenter_3,Fermenter_3,0,87,232,232,299
114,3,39,Filters A,Filters A,1,249,277,277,301
115,10,35,Microfilter,Microfilter,2,140,276,276,304
116,8,0,Microfilter,Microfilter,1,114,244,244,306
117,2,1,Harvesting tanks A,Harvesting tanks A,0,252,252,252,306
118,10,0,Microfilter,Microfilter,0,119,249,249,311
119,5,39,Filters A,Filters A,2,255,295,295,313
120,7,0,Buffer tanks,Buffer tanks,3,114,257,257,319
121,7,35,Buffer tanks,Buffer tanks,0,140,292,292,320
122,5,8,Stabilization tanks,Stabilization tanks,4,206,233,233,323
123,3,12,Harvesting tanks B,Harvesting tanks B,2,222,264,264,326
124,12,10,Stabilization tanks,Stabilization tanks,1,212,233,233,327
125,9,0,Buffer tanks,Buffer tanks,1,119,265,265,327
126,0,2,Fermenter_4,Fermenter_4,0,54,250,250,329
127,11,29,Filters A,Filters A,0,246,246,246,330
128,12,35,Microfilter,Microfilter,3,134,277,277,331
129,0,25,Fermenter_1,Fermenter_1,0,57,243,243,334
130,4,12,Harvesting tanks B,Harvesting tanks B,1,222,274,274,336
131,1,25,Harvesting tanks A,Harvesting tanks A,2,273,273,273,337
132,6,10,Harvesting tanks B,Harvesting tanks B,3,150,234,234,340
133,0,9,Fermenter_2,Fermenter_2,0,27,293,293,344
134,15,23,Stabilization tanks,Stabilization tanks,9,185,185,185,345
135,1,2,Harvesting tanks A,Harvesting tanks A,3,286,286,286,346
136,11,10,Stabilization tanks,Stabilization tanks,0,186,213,213,349
137,11,35,Buffer tanks,Buffer tanks,2,133,294,294,350
138,2,2,Filters A,Filters A,0,325,330,330,350
139,3,25,Filters A,Filters A,1,332,332,332,350
140,5,10,Filters B,Filters B,0,176,298,298,352
141,5,25,Filters A,Filters A,2,334,334,334,352
142,9,12,Stabilization tanks,Stabilization tanks,10,267,267,267,355
143,4,29,Harvesting tanks B,Harvesting tanks B,5,203,254,254,356
144,0,14,Fermenter_3,Fermenter_3,0,105,299,299,358
145,5,32,Stabilization tanks,Stabilization tanks,2,265,265,265,359
146,12,29,Harvesting tanks B,Harvesting tanks B,4,235,257,257,363
147,6,23,Microfilter,Microfilter,2,158,304,304,366
148,14,39,Stabilization tanks,Stabilization tanks,6,268,268,268,368
149,8,23,Microfilter,Microfilter,1,163,306,306,368
150,1,15,Filters A,Filters A,1,289,350,350,368
151,10,23,Microfilter,Microfilter,0,166,311,311,371
152,1,30,Harvesting tanks A,Harvesting tanks A,0,355,355,355,373
153,6,39,Harvesting tanks B,Harvesting tanks B,2,239,326,326,376
154,9,23,Buffer tanks,Buffer tanks,1,171,327,327,377
155,0,37,Fermenter_1,Fermenter_1,0,72,334,334,380
156,5,23,Buffer tanks,Buffer tanks,3,158,319,319,381
157,7,23,Buffer tanks,Buffer tanks,0,163,320,320,382
158,1,32,Filters B,Filters B,0,239,352,352,382
159,2,25,Harvesting tanks A,Harvesting tanks A,1,273,273,273,385
160,7,2,Filters A,Filters A,0,334,350,350,386
161,4,26,Microfilter,Microfilter,1,154,368,368,386
162,14,23,Microfilter,Microfilter,3,188,331,331,391
163,6,26,Microfilter,Microfilter,0,156,371,371,391
164,0,30,Fermenter_4,Fermenter_4,0,60,329,329,393
165,3,9,Filters A,Filters A,2,351,352,352,394
166,4,20,Microfilter,Microfilter,2,144,366,366,394
167,1,14,Filters A,Filters A,1,365,368,368,396
168,6,25,Harvesting tanks B,Harvesting tanks B,5,322,356,356,398
169,3,26,Buffer tanks,Buffer tanks,3,154,381,381,399
170,5,26,Buffer tanks,Buffer tanks,0,156,382,382,402
171,4,39,Harvesting tanks B,Harvesting tanks B,0,204,290,290,404
172,8,26,Microfilter,Microfilter,1,159,386,386,404
173,0,3,Fermenter_2,Fermenter_2,0,30,344,344,405
174,3,20,Buffer tanks,Buffer tanks,1,144,377,377,405
175,1,37,Harvesting tanks A,Harvesting tanks A,3,334,346,346,412
176,2,14,Filters A,Filters A,0,365,386,386,414
177,1,3,Harvesting tanks A,Harvesting tanks A,0,357,373,373,415
178,2,30,Harvesting tanks A,Harvesting tanks A,2,355,355,355,417
179,7,26,Buffer tanks,Buffer tanks,3,159,399,399,417
180,15,1,Stabilization tanks,Stabilization tanks,5,326,326,326,420
181,8,30,Filters A,Filters A,1,390,396,396,420
182,4,10,Microfilter,Microfilter,2,186,394,394,422
183,14,1,Stabilization tanks,Stabilization tanks,3,308,308,308,426
184,15,29,Stabilization tanks,Stabilization tanks,7,268,268,268,428
185,2,15,Harvesting tanks B,Harvesting tanks B,5,282,398,398,430
186,3,30,Filters A,Filters A,2,372,394,394,434
187,8,21,Buffer tanks,Buffer tanks,3,186,417,417,437
188,1,16,Harvesting tanks A,Harvesting tanks A,2,419,419,419,437
189,2,10,Buffer tanks,Buffer tanks,3,186,437,437,437
190,5,15,Stabilization tanks,Stabilization tanks,9,310,345,345,439
191,13,1,Stabilization tanks,Stabilization tanks,8,291,291,291,443
192,0,13,Fermenter_1,Fermenter_1,0,81,380,380,443
193,2,37,Filters A,Filters A,0,382,414,414,444
194,3,3,Filters A,Filters A,1,402,420,420,444
195,9,21,Microfilter,Microfilter,3,169,391,391,445
196,10,21,Microfilter,Microfilter,0,169,391,391,445
197,11,25,Stabilization tanks,Stabilization tanks,4,348,348,348,446
198,8,2,Harvesting tanks B,Harvesting tanks B,2,317,376,376,446
199,1,13,Harvesting tanks A,Harvesting tanks A,3,396,412,412,446
200,6,21,Buffer tanks,Buffer tanks,0,169,402,402,450
201,5,3,Filters A,Filters A,2,408,434,434,452
202,2,3,Harvesting tanks A,Harvesting tanks A,1,357,385,385,453
203,13,23,Buffer tanks,Buffer tanks,2,166,350,350,454
204,0,16,Fermenter_4,Fermenter_4,0,69,393,393,457
205,7,21,Buffer tanks,Buffer tanks,1,169,405,405,459
206,7,1,Filters B,Filters B,0,279,382,382,460
207,3,2,Harvesting tanks B,Harvesting tanks B,4,286,363,363,461
208,11,2,Stabilization tanks,Stabilization tanks,1,341,341,341,463
209,3,10,Buffer tanks,Buffer tanks,3,186,437,437,465
210,8,10,Microfilter,Microfilter,1,176,404,404,466
211,5,13,Filters A,Filters A,1,446,446,446,466
212,0,24,Fermenter_2,Fermenter_2,0,48,405,405,467
213,8,1,Harvesting tanks B,Harvesting tanks B,1,252,336,336,468
214,3,13,Filters A,Filters A,0,439,444,444,470
215,4,8,Microfilter,Microfilter,3,192,445,445,473
216,4,25,Harvesting tanks B,Harvesting tanks B,3,273,340,340,476
217,2,13,Harvesting tanks A,Harvesting tanks A,0,396,415,415,479
218,9,14,Stabilization tanks,Stabilization tanks,10,393,393,393,481
219,9,9,Stabilization tanks,Stabilization tanks,0,367,367,367,483
220,10,10,Microfilter,Microfilter,2,181,422,422,484
221,3,8,Buffer tanks,Buffer tanks,1,192,459,459,487
222,4,9,Harvesting tanks B,Harvesting tanks B,0,329,404,404,490
223,8,16,Filters A,Filters A,1,454,466,466,490
224,3,14,Harvesting tanks B,Harvesting tanks B,5,348,430,430,492
225,3,16,Filters A,Filters A,2,436,452,452,492
226,4,32,Microfilter,Microfilter,0,239,445,445,497
227,1,24,Harvesting tanks A,Harvesting tanks A,3,426,446,446,498
228,6,37,Stabilization tanks,Stabilization tanks,6,409,409,409,499
229,2,16,Harvesting tanks A,Harvesting tanks A,2,419,437,437,499
230,1,31,Harvesting tanks A,Harvesting tanks A,1,475,475,475,499
231,4,14,Harvesting tanks B,Harvesting tanks B,2,348,446,446,508
232,7,10,Buffer tanks,Buffer tanks,0,176,450,450,512
233,5,24,Filters B,Filters B,0,452,460,460,514
234,9,10,Buffer tanks,Buffer tanks,2,181,454,454,516
235,3,32,Buffer tanks,Buffer tanks,3,239,465,465,517
236,13,30,Stabilization tanks,Stabilization tanks,2,383,383,383,519
237,14,3,Stabilization tanks,Stabilization tanks,5,421,421,421,521
238,1,28,Harvesting tanks A,Harvesting tanks A,1,509,509,509,525
239,0,31,Fermenter_1,Fermenter_1,0,96,443,443,528
240,6,29,Microfilter,Microfilter,1,241,466,466,528
241,1,18,Harvesting tanks A,Harvesting tanks A,3,493,498,498,528
242,4,30,Harvesting tanks B,Harvesting tanks B,4,355,461,461,535
243,8,29,Microfilter,Microfilter,3,246,473,473,535
244,3,37,Harvesting tanks B,Harvesting tanks B,3,367,476,476,536
245,5,31,Filters A,Filters A,1,525,525,525,537
246,3,31,Filters A,Filters A,0,522,522,522,538
247,0,18,Fermenter_4,Fermenter_4,0,99,457,457,540
248,6,3,Harvesting tanks B,Harvesting tanks B,5,392,492,492,542
249,10,29,Microfilter,Microfilter,2,249,484,484,544
250,5,29,Buffer tanks,Buffer tanks,1,241,487,487,549
251,14,29,Microfilter,Microfilter,0,271,497,497,557
252,3,18,Filters A,Filters A,2,531,531,531,557
253,0,28,Fermenter_2,Fermenter_2,0,63,467,467,560
254,14,13,Stabilization tanks,Stabilization tanks,3,458,458,458,562
255,9,30,Harvesting tanks B,Harvesting tanks B,1,355,468,468,562
256,9,29,Buffer tanks,Buffer tanks,2,254,516,516,566
257,2,18,Harvesting tanks A,Harvesting tanks A,2,493,499,499,569
258,2,31,Harvesting tanks A,Harvesting tanks A,0,475,479,479,573
259,7,29,Buffer tanks,Buffer tanks,0,246,512,512,574
260,4,28,Filters A,Filters A,2,562,562,562,574
261,6,13,Harvesting tanks B,Harvesting tanks B,4,435,535,535,577
262,3,28,Filters A,Filters A,0,558,558,558,578
263,8,39,Microfilter,Microfilter,2,250,544,544,580
264,12,24,Stabilization tanks,Stabilization tanks,8,488,488,488,582
265,13,16,Stabilization tanks,Stabilization tanks,7,447,447,447,583
266,7,12,Microfilter,Microfilter,1,239,528,528,584
267,11,39,Microfilter,Microfilter,0,257,557,557,589
268,8,12,Microfilter,Microfilter,3,239,535,535,591
269,0,38,Fermenter_2,Fermenter_2,0,75,560,560,591
270,11,24,Stabilization tanks,Stabilization tanks,9,462,462,462,598
271,4,3,Harvesting tanks B,Harvesting tanks B,0,357,490,490,604
272,5,12,Buffer tanks,Buffer tanks,1,239,549,549,605
273,4,16,Harvesting tanks B,Harvesting tanks B,3,419,536,536,610
274,2,28,Harvesting tanks A,Harvesting tanks A,1,509,525,525,611
275,7,39,Buffer tanks,Buffer tanks,0,249,574,574,612
276,13,39,Microfilter,Microfilter,2,256,580,580,616
277,0,11,Fermenter_4,Fermenter_4,0,114,540,540,619
278,4,13,Harvesting tanks B,Harvesting tanks B,2,396,508,508,620
279,13,29,Buffer tanks,Buffer tanks,3,249,517,517,621
280,11,18,Filters A,Filters A,1,536,537,537,621
281,6,12,Buffer tanks,Buffer tanks,2,239,566,566,622
282,12,31,Stabilization tanks,Stabilization tanks,4,535,535,535,629
283,9,39,Buffer tanks,Buffer tanks,1,257,605,605,629
