,Enzyme name,Fermenter,Enzyme,Stab,MF,Equipment_type,Machine,Start use,End use,Claim time,Release time,Duration use,Duration claim
295,PLS,1,27115,0.0,0.0,Harvest tank V01,V01A,16930.0,16978.379014,16917.1,16978.379014,48.37901399999828,61.279013999999734
296,PLS,1,27115,0.0,0.0,FAM,FAM1,16949.999998,16978.379014,16947.999998,16978.379014,28.379015999998956,30.379015999998956
297,PLS,1,27115,0.0,0.0,UF,UF8/9,16955.369663,16992.864086,16949.999998,16992.864086,37.4944230000001,42.864088000002084
298,PLS,1,27115,0.0,0.0,F+L,V18-19-20,16949.999998,16992.864086,16947.999998,16992.864086,42.864088000002084,44.864088000002084
299,PLS,1,27115,0.0,0.0,UF,UF11/12,16969.55931,17007.053733,16964.189645,17007.053733,37.4944230000001,42.864088000002084
300,PLS,1,27115,0.0,0.0,F+L,V21-22-23,16964.189645,17007.053733,16964.189367,17007.053733,42.864088000002084,42.86436600000161
301,PLS,1,27115,0.0,0.0,V300,V301,16992.864086,17095.053724,16992.864086,17096.053724,102.18963799999983,103.18963799999983
310,MAX,3,4631,100.0,100.0,Harvest tank E,E2,16976.0,16980.1,16960.0,16980.1,4.099999999998545,20.099999999998545
311,MAX,3,4631,100.0,100.0,Harvest tank V01,V01A,17014.0,17091.47538,16960.0,17091.47538,77.47537999999986,131.47537999999986
312,MAX,3,4631,100.0,100.0,Harvest tank E,E1,16960.0,17014.0,16960.0,17014.0,54.0,54.0
313,MAX,3,4631,100.0,100.0,MF,MF1,17014.0,17091.47538,17014.0,17091.47538,77.47537999999986,77.47537999999986
314,MAX,3,4631,100.0,100.0,UF,UF8/9,17019.039596,17108.513989,17014.0,17108.513989,89.47439300000042,94.51398899999913
315,MAX,3,4631,100.0,100.0,F+L,V18-19-20,17014.0,17088.075014,17014.0,17088.075014,74.07501399999819,74.07501399999819
316,MAX,3,4631,100.0,100.0,Fermenter,V200,16919.0,17042.798665,16919.0,17053.798665,123.79866499999844,134.79866499999844
317,MAX,3,4631,100.0,100.0,UF,UF11/12,17027.039261,17077.915521,17021.999665,17077.915521,50.876259999997274,55.91585599999962
318,MAX,3,4631,100.0,100.0,F+L,V21-22-23,17021.999665,17108.513989,17021.999387,17108.513989,86.51432399999976,86.51460199999929
319,MAX,3,4631,100.0,100.0,UF,UF14/15,17032.879099,17088.075014,17029.99933,17088.075014,55.1959149999966,58.075683999999455
320,MAX,3,4631,100.0,100.0,F+L,V25-26-27,17029.99933,17077.915521,17029.999052,17077.915521,47.91619100000025,47.91646899999978
321,MAX,3,4631,100.0,100.0,F+L,V28-29-30,17037.998994,17096.074679,17037.998717,17096.074679,58.075684999999794,58.07596200000262
322,MAX,3,4631,100.0,100.0,UF,UF7,17042.79861,17096.074679,17037.998994,17096.074679,53.27606899999955,58.075684999999794
323,MAX,3,4631,100.0,100.0,V300,V301,17037.998994,17188.074674,17037.998994,17189.074674,150.0756799999981,151.0756799999981
324,MAX,3,4631,100.0,100.0,V300,V302,17072.875925,17188.074674,17072.875925,17189.074674,115.19874899999922,116.19874899999922
325,MAX,3,4631,100.0,100.0,V300,V303,17108.513989,17200.513984,17108.513989,17201.513984,91.99999500000195,92.99999500000195
404,PLN,1,23888,100.0,0.0,Harvest tank V01,V01F,16905.0,16936.775478,16894.6,16936.775478,31.775477999999566,42.17547800000102
405,PLN,1,23888,100.0,0.0,Fermenter,V100,16801.0,16905.0,16801.0,16913.0,104.0,112.0
406,PLN,1,23888,100.0,0.0,FAM,FAM1,16914.999999,16936.775478,16913.999999,16936.775478,21.775478999999905,22.775478999999905
407,PLN,1,23888,100.0,0.0,UF,UF8/9,16919.502185,16939.53532,16914.999999,16939.53532,20.033134999997856,24.535320999999385
408,PLN,1,23888,100.0,0.0,F+L,V18-19-20,16914.999999,16939.53532,16913.999999,16939.53532,24.535320999999385,25.535320999999385
409,PLN,1,23888,100.0,0.0,UF,UF11/12,16930.390064,16950.423198,16925.887877,16950.423198,20.033134000001155,24.535320999999385
410,PLN,1,23888,100.0,0.0,F+L,V21-22-23,16925.887877,16950.423198,16925.8876,16950.423198,24.535320999999385,24.53559800000221
411,PLN,1,23888,100.0,0.0,V300,V301,16939.53532,17042.423189,16939.53532,17043.423189,102.88786900000196,103.88786900000196
412,EPG,1,9938,100.0,0.0,Harvest tank E,E2,16907.0,16923.1,16859.0,16923.1,16.099999999998545,64.09999999999854
413,EPG,1,9938,100.0,0.0,Harvest tank E,E1,16859.0,16971.0,16859.0,16971.0,112.0,112.0
414,EPG,1,9938,100.0,0.0,Harvest tank V01,V01F,16971.0,16995.13535,16859.0,16995.13535,24.13535000000047,136.13535000000047
415,EPG,1,9938,100.0,0.0,Harvest tank V01,V01A,16975.0,16999.135352,16957.6,16999.135352,24.13535200000115,41.535352000002604
416,EPG,1,9938,100.0,0.0,Fermenter,V100,16801.0,16975.0,16801.0,16982.0,174.0,181.0
417,EPG,1,9938,100.0,0.0,FAM,FAM1,16977.999999,16995.13535,16977.299999,16995.13535,17.13535100000081,17.835351000001538
418,EPG,1,9938,100.0,0.0,FAM,FAM2,16981.999999,16999.135352,16981.3,16999.135352,17.135353000001487,17.835352000001876
419,EPG,1,9938,100.0,0.0,UF,UF8/9,16982.54966,17010.513172,16977.999999,17010.513172,27.963511999998445,32.51317299999937
420,EPG,1,9938,100.0,0.0,F+L,V18-19-20,16977.999999,17010.513172,16977.299999,17010.513172,32.51317299999937,33.2131730000001
421,EPG,1,9938,100.0,0.0,UF,UF11/12,16986.549661,17014.513173,16981.999999,17014.513173,27.963511999998445,32.51317399999971
422,EPG,1,9938,100.0,0.0,F+L,V21-22-23,16981.999999,17014.513173,16981.3,17014.513173,32.51317399999971,33.2131730000001
423,EPG,1,9938,100.0,0.0,V300,V301,17010.513172,17106.513164,17010.513172,17107.513164,95.99999200000093,96.99999200000093
486,PNR,2,4625,0.0,0.0,Harvest tank V01,V01F,16873.0,16899.052963,16867.9,16899.052963,26.05296299999827,31.152962999996817
487,PNR,2,4625,0.0,0.0,Fermenter,V140,16822.0,16873.0,16814.0,16880.0,51.0,66.0
488,PNR,2,4625,0.0,0.0,FAM,FAM1,16878.0,16899.052963,16878.0,16899.052963,21.05296299999827,21.05296299999827
489,PNR,2,4625,0.0,0.0,UF,UF8/9,16881.878116,16909.374496,16878.0,16909.374496,27.4963800000005,31.374496000000363
490,PNR,2,4625,0.0,0.0,F+L,V18-19-20,16878.0,16909.374496,16878.0,16909.374496,31.374496000000363,31.374496000000363
491,PNR,2,4625,0.0,0.0,UF,UF11/12,16892.404736,16919.901116,16888.52662,16919.901116,27.4963800000005,31.374496000000363
492,PNR,2,4625,0.0,0.0,F+L,V21-22-23,16888.52662,16919.901116,16888.526342,16919.901116,31.374496000000363,31.37477399999989
493,PNR,2,4625,0.0,0.0,V300,V301,16909.374496,17007.901107,16909.374496,17008.901107,98.52661100000114,99.52661100000114
494,ASP,3,9973,0.0,0.0,Fermenter,V200,16919.0,17030.0,16919.0,17038.0,111.0,119.0
495,ASP,3,9973,0.0,0.0,Harvest tank V01,V01A,17030.0,17079.333358,17018.9,17079.333358,49.33335799999986,60.43335799999841
496,ASP,3,9973,0.0,0.0,Harvest tank V01,V01B,17030.0,17079.33336,17018.9,17079.33336,49.33336000000054,60.433359999999084
497,ASP,3,9973,0.0,0.0,FAM,FAM1,17053.0,17079.333358,17053.0,17079.333358,26.333357999999862,26.333357999999862
498,ASP,3,9973,0.0,0.0,FAM,FAM2,17053.0,17079.33336,17053.0,17079.33336,26.33336000000054,26.33336000000054
499,ASP,3,9973,0.0,0.0,UF,UF8/9,17059.14035,17107.172347,17053.0,17107.172347,48.03199699999823,54.17234699999972
500,ASP,3,9973,0.0,0.0,F+L,V18-19-20,17053.0,17107.172347,17053.0,17107.172347,54.17234699999972,54.17234699999972
501,ASP,3,9973,0.0,0.0,UF,UF11/12,17059.14035,17107.172349,17053.0,17107.172349,48.031998999998905,54.172349000000395
502,ASP,3,9973,0.0,0.0,F+L,V21-22-23,17053.0,17107.172349,17053.0,17107.172349,54.172349000000395,54.172349000000395
503,ASP,3,9973,0.0,0.0,V300,V301,17107.172347,17195.17234,17107.172347,17196.17234,87.99999300000127,88.99999300000127
541,PEC,3,4614,100.0,0.0,Harvest tank V01,V01A,16978.0,17030.947393,16973.0,17030.947393,52.947392999998556,57.947392999998556
542,PEC,3,4614,100.0,0.0,FAM,FAM1,17011.999999,17091.571455,17010.999999,17091.571455,79.57145600000149,80.57145600000149
543,PEC,3,4614,100.0,0.0,Harvest tank E,E1,16973.0,17034.0,16973.0,17034.0,61.0,61.0
544,PEC,3,4614,100.0,0.0,F+L,V18-19-20,17011.999999,17066.045112,17010.999999,17066.045112,54.04511300000013,55.04511300000013
545,PEC,3,4614,100.0,0.0,Harvest tank V01,V01B,17034.0,17091.571455,16973.0,17091.571455,57.57145500000115,118.57145500000115
546,PEC,3,4614,100.0,0.0,Fermenter,V200,16919.0,17038.0,16919.0,17044.0,119.0,125.0
547,PEC,3,4614,100.0,0.0,Harvest tank V01,V01C,17038.0,17064.91732,17026.1,17064.91732,26.917320000000473,38.81732000000193
548,PEC,3,4614,100.0,0.0,Harvest tank V01,V01D,17038.0,17079.947395,17026.1,17079.947395,41.94739499999923,53.84739500000069
549,PEC,3,4614,100.0,0.0,FAM,FAM2,17048.0,17064.91732,17047.0,17064.91732,16.917320000000473,17.917320000000473
550,PEC,3,4614,100.0,0.0,UF,UF8/9,17015.571427,17066.045112,17011.999999,17066.045112,50.47368500000084,54.04511300000013
551,PEC,3,4614,100.0,0.0,F+L,V21-22-23,17048.0,17075.255638,17047.0,17075.255638,27.255637999998726,28.255637999998726
552,PEC,3,4614,100.0,0.0,FAM,FAM3,17048.0,17079.947395,17047.0,17079.947395,31.947394999999233,32.94739499999923
553,PEC,3,4614,100.0,0.0,F+L,V25-26-27,17048.0,17088.518796,17047.0,17088.518796,40.51879600000029,41.51879600000029
554,PEC,3,4614,100.0,0.0,UF,UF11/12,17051.571428,17096.571427,17048.0,17096.571427,44.99999899999966,48.57142699999895
555,PEC,3,4614,100.0,0.0,F+L,V28-29-30,17057.195793,17096.571427,17057.195515,17096.571427,39.37563399999999,39.375911999999516
556,PEC,3,4614,100.0,0.0,V300,V301,17042.097742,17188.571425,17042.097742,17189.571425,146.47368299999653,147.47368299999653
571,ASP,4,9973,50.0,0.0,Fermenter,V218,16938.0,17049.0,16938.0,17057.0,111.0,119.0
572,ASP,4,9973,50.0,0.0,Harvest tank V01,V01A,17049.0,17098.333358,17037.9,17098.333358,49.33335799999986,60.43335799999841
573,ASP,4,9973,50.0,0.0,Harvest tank V01,V01B,17049.0,17098.33336,17037.9,17098.33336,49.33336000000054,60.433359999999084
574,ASP,4,9973,50.0,0.0,FAM,FAM1,17072.0,17098.333358,17072.0,17098.333358,26.333357999999862,26.333357999999862
575,ASP,4,9973,50.0,0.0,FAM,FAM2,17072.0,17098.33336,17072.0,17098.33336,26.33336000000054,26.33336000000054
576,ASP,4,9973,50.0,0.0,UF,UF8/9,17078.14035,17126.172347,17072.0,17126.172347,48.03199699999823,54.17234699999972
577,ASP,4,9973,50.0,0.0,F+L,V18-19-20,17072.0,17126.172347,17072.0,17126.172347,54.17234699999972,54.17234699999972
578,ASP,4,9973,50.0,0.0,UF,UF11/12,17078.14035,17126.172349,17072.0,17126.172349,48.031998999998905,54.172349000000395
579,ASP,4,9973,50.0,0.0,F+L,V21-22-23,17072.0,17126.172349,17072.0,17126.172349,54.172349000000395,54.172349000000395
580,ASP,4,9973,50.0,0.0,V300,V301,17126.172347,17218.172344,17126.172347,17219.172344,91.99999699999898,92.99999699999898
581,ASP,4,9973,50.0,0.0,V300,V302,17126.172347,17218.172344,17126.172347,17219.172344,91.99999699999898,92.99999699999898
627,ASG,1,14469,100.0,100.0,Harvest tank V01,V01A,16955.0,16985.202629,16939.6,16985.202629,30.202628999999433,45.60262900000089
628,ASG,1,14469,100.0,100.0,Fermenter,V100,16801.0,16955.0,16801.0,16963.0,154.0,162.0
629,ASG,1,14469,100.0,100.0,MF,MF1,16955.0,16985.202629,16955.0,16985.202629,30.202628999999433,30.202628999999433
630,ASG,1,14469,100.0,100.0,UF,UF8/9,16957.974341,17008.028686,16955.0,17008.028686,50.05434500000047,53.02868600000147
631,ASG,1,14469,100.0,100.0,F+L,V18-19-20,16955.0,17008.028686,16955.0,17008.028686,53.02868600000147,53.02868600000147
632,ASG,1,14469,100.0,100.0,V300,V301,17008.028686,17100.028676,17008.028686,17101.028676,91.99999000000025,92.99999000000025
652,MAM,1,10998,0.0,0.0,Harvest tank E,E2,16863.0,16868.1,16828.0,16868.1,5.099999999998545,40.099999999998545
653,MAM,1,10998,0.0,0.0,Harvest tank E,E1,16828.0,16896.0,16828.0,16896.0,68.0,68.0
654,MAM,1,10998,0.0,0.0,Fermenter,V100,16801.0,16909.4,16801.0,16924.4,108.40000000000146,123.40000000000146
