Resource_group;Capacity
Fermenter_1;1
Fermenter_2;1
Fermenter_3;1
Fermenter_4;1
Fermenter_5;1
Harvesting tanks B;6
Harvesting tanks A;4
Filters A;3
Microfilter;4
Buffer tanks;4
Filters B;1
Stabilization tanks;11
